ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775343599,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343600,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343601,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343602,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343603,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343604,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343605,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343606,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343607,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343608,38,37,38,3387,39,1051,40,2058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,1443,35,3803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,9476,7895
1775343609,38,37,38,3387,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,6443,35,8803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19476,17895
1775343610,38,37,38,3387,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,6443,35,8803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19476,17895
1775343611,38,37,38,3387,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,6443,35,8803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19476,17895
1775343612,38,37,38,3387,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,275,36,6443,35,8803,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19476,17895
1775343613,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,7831,35,7375,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,18174
1775343614,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,7831,35,7375,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,18174
1775343615,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,7831,35,7375,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,18174
1775343616,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,7000,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,18174
1775343617,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,7000,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,18174
1775343618,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,7000,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,18174
1775343619,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,7000,34,2014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,18174
1775343620,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,7000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,17174
1775343621,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,7000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,17174
1775343622,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,7000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,17174
1775343623,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343624,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343625,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343626,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343627,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,594,36,8206,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343628,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343629,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343630,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343631,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343632,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343633,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343634,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343635,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343636,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343637,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343638,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343639,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343640,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343641,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,60,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,60,29,0,28,0,27,0,19142,16174
1775343642,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343643,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343644,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343645,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343646,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343647,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343648,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343649,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343650,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343651,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343652,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343653,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343654,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
1775343655,38,37,38,3053,39,6051,40,7058,41,2000,42,300,43,60,44,60,45,200,46,0,47,300,48,0,37,911,36,7889,35,6000,34,1014,33,0,32,300,31,0,30,0,29,0,28,0,27,0,19082,16114
