ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775307930,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1775307931,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1775307932,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307933,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307934,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307935,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307936,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307937,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307938,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307939,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
1775307940,57,56,57,24935,58,111233,59,51153,60,34105,61,0,62,0,63,0,64,0,65,0,66,0,67,0,56,3500,55,71032,54,58781,53,81894,52,6802,51,0,50,300,49,0,48,0,47,0,46,0,221426,222309
