ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773590398,46,45,46,3878,47,88,48,47441,49,88183,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145516,145490
1773590399,46,45,46,3878,47,88,48,47441,49,88183,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145516,145490
1773590400,46,45,46,3878,47,88,48,47441,49,88183,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145516,145490
1773590401,46,45,46,3878,47,88,48,47441,49,88183,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145516,145490
1773590402,46,45,46,3878,47,88,48,47673,49,88183,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145748,145490
1773590403,46,45,46,3878,47,88,48,47673,49,87950,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145515,145490
1773590404,46,45,46,3878,47,88,48,47673,49,87950,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145515,145490
1773590405,46,45,46,3878,47,88,48,47673,49,87950,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145515,145490
1773590406,46,45,46,3878,47,88,48,47673,49,87950,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145515,145490
1773590407,46,45,46,3878,47,88,48,47673,49,87950,50,5625,51,101,52,200,53,0,54,0,55,0,56,0,45,81037,44,55114,43,1260,42,4083,41,999,40,999,39,999,38,999,37,0,36,0,35,0,145515,145490
