ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774101599,6,5,6,16185,7,347639,8,207911,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,164886,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,684027,487508
1774101600,6,5,6,16185,7,347639,8,207911,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,164886,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,684027,487508
1774101601,6,5,6,16185,7,347639,8,207911,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,164886,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,684027,487508
1774101602,6,5,6,16185,7,347639,8,207911,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,164886,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,684027,487508
1774101603,6,5,6,16185,7,347639,8,225462,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,164886,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,701578,487508
1774101604,6,5,6,16185,7,347639,8,225462,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,164886,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,701578,487508
1774101605,6,5,6,16185,7,347639,8,225462,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,171035,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,701578,493657
1774101606,6,5,6,16185,7,347639,8,225462,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,171035,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,701578,493657
1774101607,6,5,6,16185,7,347639,8,223502,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,174050,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,699618,496672
1774101608,6,5,6,16185,7,347639,8,223502,9,112000,10,0,11,290,12,2,13,0,14,0,15,0,16,0,5,3604,4,210651,3,174050,2,104300,1,4067,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,699618,496672
