ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774101599,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394642,247650,-0.2289,0,0,32,23,42,41,1
1774101600,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394642,247650,-0.2289,0,0,32,23,42,41,1
1774101601,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,10575,10575,31,23,42,41,1
1774101602,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,10575,10575,31,23,42,41,1
1774101603,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,10575,10575,31,23,42,41,1
1774101604,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,10575,31,23,42,41,1
1774101605,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,10575,31,23,42,41,1
1774101606,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,10575,31,23,42,41,1
1774101607,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,10575,31,23,42,41,1
1774101608,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,10575,31,23,42,41,1
1774101609,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,10575,31,23,42,41,1
1774101610,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,10575,31,23,42,41,1
1774101611,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,0,31,23,42,41,1
1774101612,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405217,247650,-0.2413,0,0,31,23,42,41,1
1774101613,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,-10579,-10579,31,23,42,41,1
1774101614,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,-10579,-10579,31,23,42,41,1
1774101615,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,-10579,-10579,31,23,42,41,1
1774101616,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,-10579,31,23,42,41,1
1774101617,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,-10579,31,23,42,41,1
1774101618,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,-10579,31,23,42,41,1
1774101619,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,-10579,31,23,42,41,1
1774101620,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,-10579,31,23,42,41,1
1774101621,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,-10579,31,23,42,41,1
1774101622,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,-10579,31,23,42,41,1
1774101623,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,0,31,23,42,41,1
1774101624,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,0,31,23,42,41,1
1774101625,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,0,31,23,42,41,1
1774101626,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,0,31,23,42,41,1
1774101627,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,0,31,23,42,41,1
1774101628,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,0,31,23,42,41,1
1774101629,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,394638,247650,-0.2289,0,0,31,23,42,41,1
1774101630,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405810,247650,-0.242,11172,11172,30,23,42,41,1
1774101631,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405810,247650,-0.242,11172,11172,30,23,42,41,1
1774101632,41,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,405810,247650,-0.242,11172,11172,30,23,42,41,1
