ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774195199,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239702,100186,-0.4105,0,0,33,16,34,33,1
1774195200,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239702,100186,-0.4105,0,0,33,16,34,33,1
1774195201,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239702,100186,-0.4105,0,0,33,16,34,33,1
1774195202,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239702,100186,-0.4105,0,0,33,16,34,33,1
1774195203,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239702,100186,-0.4105,0,0,33,16,34,33,1
1774195204,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239653,100186,-0.4104,-49,-49,33,16,34,33,1
1774195205,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239653,100186,-0.4104,-49,-49,33,16,34,33,1
1774195206,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239653,100186,-0.4104,-49,-49,33,16,34,33,1
1774195207,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239653,100186,-0.4104,0,-49,33,16,34,33,1
1774195208,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239653,100186,-0.4104,0,-49,33,16,34,33,1
1774195209,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239653,100186,-0.4104,0,-49,33,16,34,33,1
1774195210,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,239653,100186,-0.4104,0,-49,33,16,34,33,1
1774195211,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,214601,75124,-0.4814,-25052,-25101,33,16,34,33,1
1774195212,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,217138,77624,-0.4733,-22515,-22564,34,16,34,33,1
1774195213,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,217126,77624,-0.4733,-22527,-22576,34,16,34,33,1
1774195214,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,219499,77624,-0.4775,4898,-20154,34,16,34,33,1
1774195215,33,66,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,219236,77624,-0.477,2098,-20417,33,16,34,33,1
1774195216,33,66,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,219236,77624,-0.477,2110,-20417,33,16,34,33,1
1774195217,33,66,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,219236,77624,-0.477,-263,-20417,33,16,34,33,1
1774195218,33,66,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,219236,77624,-0.477,0,-20417,33,16,34,33,1
1774195219,33,66,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,220585,77624,-0.4794,1349,-19068,33,16,34,33,1
1774195220,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,216688,70952,-0.5067,-2548,-22965,33,16,34,33,1
1774195221,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,216688,70952,-0.5067,-2548,2087,33,16,34,33,1
1774195222,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,220585,77670,-0.4792,0,3447,33,16,34,33,1
1774195223,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,220585,77670,-0.4792,3897,3459,33,16,34,33,1
1774195224,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,220585,77670,-0.4792,3897,1086,33,16,34,33,1
1774195225,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,220585,77670,-0.4792,0,1349,33,16,34,33,1
1774195226,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,216688,70697,-0.508,-3897,-2548,33,16,34,33,1
