ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774195199,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,249685,85133,-0.4915,0,0,29,16,36,34,2
1774195200,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,249685,85133,-0.4915,0,0,29,16,36,34,2
1774195201,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,249672,85133,-0.4914,-13,-13,29,16,36,34,2
1774195202,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,249672,85133,-0.4914,-13,-13,29,16,36,34,2
1774195203,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,249672,85133,-0.4914,-13,-13,29,16,36,34,2
1774195204,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,249636,85133,-0.4914,-36,-49,29,16,36,34,2
1774195205,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,249636,85133,-0.4914,-36,-49,29,16,36,34,2
1774195206,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,251355,89713,-0.4739,1683,1670,30,16,36,34,2
1774195207,34,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,254698,89713,-0.479,5062,5013,30,16,36,34,2
1774195208,34,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,254697,89713,-0.479,5061,5012,30,16,36,34,2
1774195209,34,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,254697,89713,-0.479,3342,5012,30,16,36,34,2
1774195210,34,64,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,254697,89713,-0.479,-1,5012,30,16,36,34,2
1774195211,34,64,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,233476,68492,-0.5464,-21221,-16196,31,17,36,34,2
1774195212,35,64,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,234412,72567,-0.5272,-20285,-15260,31,18,36,35,1
1774195213,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,234412,72567,-0.5272,-20285,-15260,31,18,36,35,1
1774195214,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,234412,72567,-0.5272,936,-15224,31,18,36,35,1
1774195215,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,234412,72487,-0.5276,0,-15224,31,18,36,35,1
1774195216,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,234167,72487,-0.5272,-245,-17188,31,18,36,35,1
1774195217,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,234167,72487,-0.5272,-245,-20531,31,18,36,35,1
1774195218,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,233514,81628,-0.482,-898,-21183,31,18,36,35,1
1774195219,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,241019,88178,-0.4643,6852,-13678,31,18,36,35,1
1774195220,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,233514,83147,-0.4749,-653,-21183,31,18,36,35,1
1774195221,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,233514,83147,-0.4749,0,38,31,18,36,35,1
1774195222,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,241019,89755,-0.4573,0,6607,31,18,36,35,1
1774195223,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,241019,89755,-0.4573,7505,6607,31,18,36,35,1
1774195224,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,241019,89755,-0.4573,7505,6607,31,18,36,35,1
1774195225,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,241019,89755,-0.4573,0,6607,31,18,36,35,1
1774195226,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,233514,83193,-0.4746,-7505,-653,31,18,36,35,1
1774195227,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,241019,89755,-0.4573,0,6852,31,18,36,35,1
1774195228,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,233514,83193,-0.4746,-7505,0,31,18,36,35,1
1774195229,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,233514,83193,-0.4746,0,-7505,31,18,36,35,1
1774195230,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,236745,89755,-0.4502,-4274,3231,31,18,36,35,1
1774195231,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,236745,89755,-0.4502,3231,3231,31,18,36,35,1
1774195232,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,240470,89755,-0.4564,6956,-549,31,18,36,35,1
1774195233,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,236984,82938,-0.4815,239,-4035,31,18,36,35,1
1774195234,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,236451,89500,-0.4508,-294,-4568,31,18,36,35,1
1774195235,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,240220,89250,-0.4582,-250,-799,30,17,36,35,1
1774195236,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,240220,89250,-0.4582,3236,6706,30,17,36,35,1
1774195237,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,232965,82938,-0.4749,-3486,-8054,31,18,36,35,1
1774195238,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,232965,82938,-0.4749,-7255,-549,31,18,36,35,1
1774195239,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,-1890,4816,31,18,36,35,1
1774195240,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,5365,1585,31,18,36,35,1
1774195241,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,5365,1585,31,18,36,35,1
1774195242,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,0,-2140,31,18,36,35,1
1774195243,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,0,1346,31,18,36,35,1
1774195244,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,0,1879,31,18,36,35,1
1774195245,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,0,-1890,31,18,36,35,1
1774195246,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,0,-1890,31,18,36,35,1
1774195247,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,0,5365,31,18,36,35,1
1774195248,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,238330,87628,-0.4623,0,5365,31,18,36,35,1
1774195249,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,232965,82938,-0.4749,-5365,-5365,31,18,36,35,1
1774195250,35,64,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,232965,82938,-0.4749,-5365,-5365,31,18,36,35,1
