ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775223000,23,22,23,12777,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46531,25906
1775223001,23,22,23,12777,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46531,25906
1775223002,23,22,23,12777,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46531,25906
1775223003,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223004,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223005,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223006,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223007,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223008,23,22,23,12159,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,45913,25906
1775223009,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223010,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223011,23,22,23,12769,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,46523,25906
1775223012,23,22,23,14531,24,17322,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9745,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,48285,25906
1775223013,23,22,23,14531,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57688,37622
1775223014,23,22,23,14531,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57688,37622
1775223015,23,22,23,14531,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57688,37622
1775223016,23,22,23,14531,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57688,37622
1775223017,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223018,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223019,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223020,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223021,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223022,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223023,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223024,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223025,23,22,23,14539,24,26725,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,21461,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,57696,37622
1775223026,23,22,23,14539,24,18543,25,0,26,15872,27,60,28,500,29,0,30,0,31,0,32,0,33,0,22,50,21,650,20,3034,19,9958,18,7000,17,5127,16,300,15,0,14,0,13,0,12,0,49514,26119
