ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775223000,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223001,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223002,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223003,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223004,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223005,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223006,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223007,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223008,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223009,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223010,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223011,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223012,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223013,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223014,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2381,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26169
1775223015,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26063
1775223016,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10104,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26063
1775223017,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223018,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223019,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223020,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223021,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223022,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223023,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223024,36,35,36,7737,37,24576,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,13474,31,0,30,0,29,0,28,0,27,0,26,0,25,0,64938,26123
1775223025,36,35,36,8589,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74346,35374
1775223026,36,35,36,8589,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74346,35374
1775223027,36,35,36,8589,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74346,35374
1775223028,36,35,36,8589,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74346,35374
1775223029,36,35,36,8589,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74346,35374
1775223030,36,35,36,8589,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74346,35374
1775223031,36,35,36,8589,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74346,35374
1775223032,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223033,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223034,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223035,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223036,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223037,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223038,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223039,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223040,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223041,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223042,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223043,36,35,36,8977,37,33132,38,9150,39,2000,40,16965,41,2010,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74734,35374
1775223044,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223045,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223046,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223047,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223048,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223049,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223050,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223051,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223052,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223053,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223054,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223055,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223056,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223057,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223058,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223059,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223060,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223061,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223062,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223063,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223064,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223065,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223066,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223067,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223068,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223069,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223070,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223071,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223072,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223073,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223074,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,22725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,35374
1775223075,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,10164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,34374
1775223076,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223077,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223078,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223079,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223080,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223081,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223082,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223083,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223084,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223085,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223086,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223087,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223088,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223089,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223090,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223091,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,9164,32,21725,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223092,36,35,36,13977,37,33132,38,9120,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,35,210,34,2275,33,8789,32,22100,31,0,30,0,29,0,28,0,27,0,26,0,25,0,74744,33374
1775223093,36,34,36,13977,37,33297,38,8970,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,46,0,34,2485,33,8789,32,22100,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,74759,33374
1775223094,35,34,35,372,36,13977,37,33297,38,8970,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,34,2485,33,8789,32,22100,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,75131,33374
1775223095,35,34,35,372,36,13977,37,33297,38,8970,39,2000,40,11995,41,2020,42,2500,43,0,44,0,45,0,34,2485,33,8789,32,22100,31,0,30,0,29,0,28,0,27,0,26,0,25,0,24,0,75131,33374
