ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775223000,18,17,18,1261,19,275,20,6700,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,45037,53778
1775223001,18,17,18,1261,19,275,20,6700,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,45037,53778
1775223002,18,17,18,1261,19,275,20,6700,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,45037,53778
1775223003,18,17,18,1261,19,275,20,6700,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,45037,53778
1775223004,18,17,18,1261,19,275,20,6700,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,45037,53778
1775223005,18,17,18,1261,19,275,20,6700,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,45037,53778
1775223006,18,17,18,1261,19,275,20,6700,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,45037,53778
1775223007,18,17,18,448,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44583,53778
1775223008,18,17,18,448,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44583,53778
1775223009,18,17,18,448,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44583,53778
1775223010,18,17,18,448,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44583,53778
1775223011,18,17,18,349,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44484,53778
1775223012,18,17,18,335,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44470,53778
1775223013,18,17,18,335,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44470,53778
1775223014,18,17,18,335,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44470,53778
1775223015,18,17,18,335,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44470,53778
1775223016,18,17,18,255,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44390,53778
1775223017,18,17,18,255,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44390,53778
1775223018,18,17,18,152,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44287,53778
1775223019,18,17,18,152,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44287,53778
1775223020,18,17,18,143,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44278,53778
1775223021,18,17,18,101,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44236,53778
1775223022,18,17,18,101,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44236,53778
1775223023,18,17,18,198,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44333,53778
1775223024,18,17,18,198,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44333,53778
1775223025,18,17,18,198,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44333,53778
1775223026,18,17,18,198,19,275,20,7059,21,7292,22,23659,23,5050,24,800,25,0,26,0,27,0,28,0,17,26689,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,44333,53778
1775223027,18,17,18,198,19,275,20,7059,21,7292,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,15081,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,34838,42170
1775223028,18,17,18,198,19,275,20,7059,21,6431,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,12657,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,33977,39746
1775223029,18,17,18,198,19,275,20,7059,21,6431,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,12657,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,33977,39746
1775223030,18,17,18,198,19,275,20,7059,21,6431,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,12657,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,33977,39746
1775223031,18,17,18,198,19,275,20,7059,21,6431,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,12657,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,33977,39746
1775223032,18,17,18,198,19,275,20,7059,21,6431,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,12657,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,33977,39746
1775223033,18,17,18,198,19,275,20,7059,21,6431,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,12657,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,33977,39746
1775223034,18,17,18,198,19,275,20,7059,21,6431,22,14164,23,5050,24,800,25,0,26,0,27,0,28,0,17,12665,16,9105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,33977,39754
1775223035,18,17,18,198,19,275,20,5059,21,6431,22,12164,23,5050,24,800,25,0,26,0,27,0,28,0,17,10815,16,7105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,29977,35904
1775223036,18,17,18,198,19,275,20,5059,21,6431,22,12164,23,5050,24,800,25,0,26,0,27,0,28,0,17,10815,16,7105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,29977,35904
1775223037,18,17,18,198,19,275,20,5059,21,6431,22,12164,23,5050,24,800,25,0,26,0,27,0,28,0,17,10815,16,7105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,29977,35904
1775223038,18,17,18,198,19,275,20,5059,21,6431,22,12164,23,5050,24,800,25,0,26,0,27,0,28,0,17,10815,16,7105,15,15252,14,2300,13,0,12,0,11,0,10,20,9,12,8,200,7,200,29977,35904
