ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774103399,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86646,19757,-0.6286,0,0,21,16,31,29,2
1774103400,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86646,19757,-0.6286,0,0,21,16,31,29,2
1774103401,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86646,19757,-0.6286,0,0,21,16,31,29,2
1774103402,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86646,19757,-0.6286,0,0,21,16,31,29,2
1774103403,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86646,19757,-0.6286,0,0,21,16,31,29,2
1774103404,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86646,19757,-0.6286,0,0,21,16,31,29,2
1774103405,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86646,19757,-0.6286,0,0,21,16,31,29,2
1774103406,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81099,19757,-0.6082,-5547,-5547,21,16,31,29,2
1774103407,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81099,19757,-0.6082,-5547,-5547,21,16,31,29,2
1774103408,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81099,19757,-0.6082,-5547,-5547,21,16,31,29,2
1774103409,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81099,19757,-0.6082,0,-5547,21,16,31,29,2
1774103410,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81099,19757,-0.6082,0,-5547,21,16,31,29,2
1774103411,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21146,-0.5963,2520,-3027,22,16,31,29,2
1774103412,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21146,-0.5963,2520,-3027,22,16,31,29,2
1774103413,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21146,-0.5963,2520,-3027,22,16,31,29,2
1774103414,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21146,-0.5963,0,-3027,22,16,31,29,2
1774103415,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21146,-0.5963,0,-3027,22,16,31,29,2
1774103416,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21154,-0.5962,0,2520,22,16,31,29,2
1774103417,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21154,-0.5962,0,2520,22,16,31,29,2
1774103418,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21154,-0.5962,0,2520,22,16,31,29,2
1774103419,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21154,-0.5962,0,2520,22,16,31,29,2
1774103420,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83619,21154,-0.5962,0,2520,22,16,31,29,2
1774103421,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82789,21154,-0.593,-830,-830,22,16,31,29,2
1774103422,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82789,21154,-0.593,-830,-830,22,16,31,29,2
1774103423,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82789,21154,-0.593,-830,-830,22,16,31,29,2
1774103424,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82789,21746,-0.5839,0,-830,22,16,31,29,2
1774103425,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82789,21746,-0.5839,0,-830,22,16,31,29,2
1774103426,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83599,21746,-0.5871,810,-20,22,16,31,29,2
1774103427,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,83599,21746,-0.5871,810,-20,22,16,31,29,2
1774103428,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84518,21746,-0.5907,1729,899,22,16,31,29,2
1774103429,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84518,21746,-0.5907,919,899,22,16,31,29,2
1774103430,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84518,21746,-0.5907,919,899,22,16,31,29,2
1774103431,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84518,21746,-0.5907,0,1729,22,16,31,29,2
1774103432,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84518,21746,-0.5907,0,1729,22,16,31,29,2
1774103433,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84600,21746,-0.591,82,1811,22,16,31,29,2
1774103434,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84600,21746,-0.591,82,1811,22,16,31,29,2
1774103435,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,85125,21315,-0.5995,607,2336,22,16,31,29,2
1774103436,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,87046,21315,-0.6066,2446,3447,22,16,31,29,2
1774103437,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86113,21315,-0.6032,1513,2514,22,16,31,29,2
1774103438,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,86039,21315,-0.6029,914,1521,22,16,31,29,2
1774103439,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82574,21315,-0.5897,-4472,-1944,22,16,31,29,2
1774103440,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82574,21315,-0.5897,-3539,-1944,22,16,31,29,2
1774103441,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82157,21315,-0.588,-3882,-2361,22,16,31,29,2
1774103442,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82066,21315,-0.5876,-508,-2452,22,16,31,29,2
1774103443,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82066,21315,-0.5876,-508,-2534,22,16,31,29,2
1774103444,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81777,21315,-0.5865,-380,-2823,22,16,31,29,2
1774103445,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81777,21315,-0.5865,-289,-3348,22,16,31,29,2
1774103446,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81777,21315,-0.5865,-289,-5269,22,16,31,29,2
1774103447,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81777,21315,-0.5865,0,-4336,22,16,31,29,2
1774103448,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81777,21315,-0.5865,0,-4262,22,16,31,29,2
1774103449,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81686,21315,-0.5861,-91,-888,22,16,31,29,2
1774103450,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81686,21315,-0.5861,-91,-888,22,16,31,29,2
1774103451,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81686,21315,-0.5861,-91,-471,22,16,31,29,2
1774103452,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81686,21315,-0.5861,0,-380,22,16,31,29,2
1774103453,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81777,21315,-0.5865,91,-289,22,16,31,29,2
1774103454,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,81785,21307,-0.5866,99,8,22,16,31,29,2
1774103455,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,79717,21307,-0.5782,-1969,-2060,22,16,31,29,2
1774103456,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,79717,21307,-0.5782,-2060,-2060,22,16,31,29,2
1774103457,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,76297,21307,-0.5634,-5488,-5480,22,16,31,29,2
1774103458,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,76297,21307,-0.5634,-3420,-5480,22,16,31,29,2
1774103459,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,76277,21307,-0.5633,-3440,-5409,22,16,31,29,2
1774103460,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82709,21307,-0.5903,6412,1023,22,16,31,29,2
1774103461,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82800,21307,-0.5907,6503,1114,22,16,31,29,2
1774103462,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82800,21307,-0.5907,6523,1114,22,16,31,29,2
1774103463,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82800,21307,-0.5907,91,1023,22,16,31,29,2
1774103464,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82800,21307,-0.5907,0,1015,22,16,31,29,2
1774103465,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82800,21307,-0.5907,0,3083,22,16,31,29,2
1774103466,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82800,21307,-0.5907,0,3083,22,16,31,29,2
1774103467,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,92590,21307,-0.6259,9790,16293,22,16,31,29,2
1774103468,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,92590,21307,-0.6259,9790,16293,22,16,31,29,2
1774103469,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,92590,21307,-0.6259,9790,16313,22,16,31,29,2
1774103470,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,82820,21307,-0.5907,-9770,111,22,16,31,29,2
1774103471,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,72020,21307,-0.5434,-20570,-10780,22,16,31,29,2
1774103472,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,72020,21307,-0.5434,-20570,-10780,22,16,31,29,2
1774103473,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,80756,21307,-0.5825,-2064,-2044,22,16,31,29,2
1774103474,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,80756,21307,-0.5825,8736,-2044,22,16,31,29,2
1774103475,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,80756,21307,-0.5825,8736,-2044,22,16,31,29,2
1774103476,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,80756,21307,-0.5825,0,-2044,22,16,31,29,2
1774103477,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,79926,21307,-0.5791,-830,-12664,22,16,31,29,2
1774103478,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,79926,21307,-0.5791,-830,-12664,22,16,31,29,2
1774103479,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,79926,21307,-0.5791,-830,-12664,22,16,31,29,2
1774103480,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,79926,21307,-0.5791,0,-2894,22,16,31,29,2
1774103481,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,102784,21307,-0.6566,22858,30764,22,16,31,29,2
1774103482,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84823,21307,-0.5985,4897,12803,22,16,31,29,2
1774103483,29,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,84823,21307,-0.5985,4897,4067,22,16,31,29,2
