Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
18781,1775231223,2026-04-03T08:47:03,19,81,yes,21
22056,1775231646,2026-04-03T08:54:06,19,81,yes,48
22285,1775231677,2026-04-03T08:54:37,19,81,yes,73
23648,1775232350,2026-04-03T09:05:50,19,81,yes,74
23788,1775232588,2026-04-03T09:09:48,19,81,yes,68
24009,1775232961,2026-04-03T09:16:01,19,81,yes,11
24010,1775232961,2026-04-03T09:16:01,19,81,yes,47
24028,1775233008,2026-04-03T09:16:48,19,81,yes,498
24084,1775233161,2026-04-03T09:19:21,19,81,yes,199
24194,1775233379,2026-04-03T09:22:59,19,81,yes,23
24251,1775233490,2026-04-03T09:24:50,19,81,yes,24
24287,1775233550,2026-04-03T09:25:50,19,81,yes,9
24327,1775233631,2026-04-03T09:27:11,19,81,yes,50
24469,1775233899,2026-04-03T09:31:39,19,81,yes,239
24524,1775233989,2026-04-03T09:33:09,19,81,yes,227
24666,1775234306,2026-04-03T09:38:26,19,81,yes,76
24740,1775234438,2026-04-03T09:40:38,19,81,yes,414
24806,1775234537,2026-04-03T09:42:17,19,81,yes,30
24807,1775234537,2026-04-03T09:42:17,19,81,yes,135
24808,1775234537,2026-04-03T09:42:17,19,81,yes,62
24812,1775234542,2026-04-03T09:42:22,19,81,yes,9
24926,1775234759,2026-04-03T09:45:59,19,81,yes,202
24927,1775234759,2026-04-03T09:45:59,19,81,yes,252
25021,1775234937,2026-04-03T09:48:57,19,81,yes,113
26507,1775237744,2026-04-03T10:35:44,19,81,yes,100
26565,1775237846,2026-04-03T10:37:26,19,81,yes,14
27006,1775238522,2026-04-03T10:48:42,19,81,yes,51
27018,1775238541,2026-04-03T10:49:01,19,81,yes,95
27095,1775238669,2026-04-03T10:51:09,19,81,yes,82
27096,1775238669,2026-04-03T10:51:09,19,81,yes,17
27463,1775239264,2026-04-03T11:01:04,18,82,yes,262
27621,1775239461,2026-04-03T11:04:21,18,82,yes,10
27802,1775239760,2026-04-03T11:09:20,19,81,yes,95
27815,1775239784,2026-04-03T11:09:44,19,81,yes,57
28066,1775240105,2026-04-03T11:15:05,18,82,yes,200
28212,1775240311,2026-04-03T11:18:31,19,81,yes,23
28368,1775240497,2026-04-03T11:21:37,18,82,yes,95
28487,1775240614,2026-04-03T11:23:34,18,82,yes,15
28634,1775240783,2026-04-03T11:26:23,18,82,yes,210
28665,1775240821,2026-04-03T11:27:01,19,81,yes,89
28759,1775240914,2026-04-03T11:28:34,18,82,yes,73
28847,1775241063,2026-04-03T11:31:03,18,82,yes,13
28848,1775241063,2026-04-03T11:31:03,18,82,yes,187
28862,1775241080,2026-04-03T11:31:20,18,82,yes,28
29151,1775241436,2026-04-03T11:37:16,18,82,yes,15
29362,1775241686,2026-04-03T11:41:26,18,82,yes,50
29511,1775241858,2026-04-03T11:44:18,16,84,no,58
29690,1775242025,2026-04-03T11:47:05,18,82,yes,26
29706,1775242035,2026-04-03T11:47:15,18,82,yes,4
29807,1775242121,2026-04-03T11:48:41,18,82,yes,5
29982,1775242229,2026-04-03T11:50:29,18,82,yes,23
30239,1775242419,2026-04-03T11:53:39,18,82,yes,5
30424,1775242596,2026-04-03T11:56:36,18,82,yes,26
30462,1775242635,2026-04-03T11:57:15,18,82,yes,5
30528,1775242704,2026-04-03T11:58:24,18,82,yes,2
30543,1775242715,2026-04-03T11:58:35,18,82,yes,245
30544,1775242715,2026-04-03T11:58:35,18,82,yes,350
30545,1775242715,2026-04-03T11:58:35,18,82,yes,455
30618,1775242766,2026-04-03T11:59:26,18,82,yes,5
30721,1775242834,2026-04-03T12:00:34,17,83,yes,11
30887,1775242951,2026-04-03T12:02:31,16,84,yes,5
30888,1775242951,2026-04-03T12:02:31,17,83,yes,1
30889,1775242951,2026-04-03T12:02:31,17,83,yes,46
31015,1775243026,2026-04-03T12:03:46,17,83,yes,5
31016,1775243026,2026-04-03T12:03:46,17,83,yes,100
31181,1775243154,2026-04-03T12:05:54,18,82,yes,31
31193,1775243162,2026-04-03T12:06:02,18,82,yes,525
31253,1775243214,2026-04-03T12:06:54,18,82,yes,204
31263,1775243219,2026-04-03T12:06:59,16,84,yes,5
31281,1775243239,2026-04-03T12:07:19,18,82,yes,10
31492,1775243325,2026-04-03T12:08:45,18,82,yes,52
31612,1775243396,2026-04-03T12:09:56,18,82,yes,52
31876,1775243525,2026-04-03T12:12:05,17,83,yes,27
32036,1775243566,2026-04-03T12:12:46,10,90,no,21
32037,1775243566,2026-04-03T12:12:46,10,90,no,8
32038,1775243566,2026-04-03T12:12:46,9,91,no,150
32039,1775243566,2026-04-03T12:12:46,9,91,no,1
32050,1775243569,2026-04-03T12:12:49,10,90,yes,2
32074,1775243573,2026-04-03T12:12:53,10,90,yes,47
32077,1775243574,2026-04-03T12:12:54,9,91,no,1
32078,1775243574,2026-04-03T12:12:54,9,91,no,9
32087,1775243576,2026-04-03T12:12:56,8,92,no,2
32088,1775243576,2026-04-03T12:12:56,8,92,no,3
32089,1775243577,2026-04-03T12:12:57,8,92,no,2
32092,1775243577,2026-04-03T12:12:57,8,92,no,7
32093,1775243577,2026-04-03T12:12:57,8,92,no,3
32094,1775243577,2026-04-03T12:12:57,8,92,no,10
32153,1775243593,2026-04-03T12:13:13,8,92,no,187
32154,1775243593,2026-04-03T12:13:13,8,92,no,1
32157,1775243597,2026-04-03T12:13:17,8,92,yes,92
32168,1775243598,2026-04-03T12:13:18,7,93,no,200
32232,1775243619,2026-04-03T12:13:39,6,94,yes,11
32233,1775243619,2026-04-03T12:13:39,6,94,yes,10
32268,1775243633,2026-04-03T12:13:53,6,94,yes,10
32269,1775243633,2026-04-03T12:13:53,6,94,yes,10
32270,1775243633,2026-04-03T12:13:53,6,94,yes,1
32380,1775243676,2026-04-03T12:14:36,7,93,yes,134
32494,1775243730,2026-04-03T12:15:30,7,93,yes,55
32526,1775243747,2026-04-03T12:15:47,7,93,yes,26
32572,1775243758,2026-04-03T12:15:58,7,93,yes,335
32581,1775243763,2026-04-03T12:16:03,7,93,yes,67
32896,1775243930,2026-04-03T12:18:50,6,94,yes,39
32897,1775243930,2026-04-03T12:18:50,6,94,yes,72
32901,1775243931,2026-04-03T12:18:51,6,94,yes,71
32902,1775243931,2026-04-03T12:18:51,6,94,yes,72
32908,1775243935,2026-04-03T12:18:55,6,94,yes,71
32909,1775243935,2026-04-03T12:18:55,6,94,yes,71
32913,1775243936,2026-04-03T12:18:56,6,94,yes,59
32915,1775243937,2026-04-03T12:18:57,6,94,yes,72
32916,1775243937,2026-04-03T12:18:57,6,94,yes,71
32918,1775243938,2026-04-03T12:18:58,6,94,yes,71
32920,1775243939,2026-04-03T12:18:59,6,94,yes,72
32922,1775243939,2026-04-03T12:18:59,6,94,yes,71
32924,1775243940,2026-04-03T12:19:00,6,94,yes,72
32925,1775243940,2026-04-03T12:19:00,6,94,yes,71
32926,1775243941,2026-04-03T12:19:01,6,94,yes,71
32927,1775243941,2026-04-03T12:19:01,6,94,yes,72
32932,1775243942,2026-04-03T12:19:02,6,94,yes,71
32933,1775243942,2026-04-03T12:19:02,6,94,yes,72
32938,1775243943,2026-04-03T12:19:03,6,94,yes,71
32944,1775243944,2026-04-03T12:19:04,6,94,yes,72
32945,1775243944,2026-04-03T12:19:04,6,94,yes,71
32946,1775243945,2026-04-03T12:19:05,6,94,yes,71
32947,1775243945,2026-04-03T12:19:05,6,94,yes,72
32948,1775243946,2026-04-03T12:19:06,6,94,yes,72
32950,1775243946,2026-04-03T12:19:06,6,94,yes,71
32953,1775243947,2026-04-03T12:19:07,6,94,yes,71
32954,1775243948,2026-04-03T12:19:08,6,94,yes,71
32956,1775243948,2026-04-03T12:19:08,6,94,yes,72
32960,1775243949,2026-04-03T12:19:09,6,94,yes,44
32961,1775243949,2026-04-03T12:19:09,6,94,yes,11
32964,1775243950,2026-04-03T12:19:10,6,94,yes,29
32991,1775243963,2026-04-03T12:19:23,6,94,yes,200
33091,1775244018,2026-04-03T12:20:18,6,94,yes,25
33194,1775244064,2026-04-03T12:21:04,6,94,yes,78
33349,1775244147,2026-04-03T12:22:27,5,95,no,22
33350,1775244147,2026-04-03T12:22:27,5,95,no,5
33351,1775244147,2026-04-03T12:22:27,5,95,no,9
33355,1775244148,2026-04-03T12:22:28,6,94,yes,359
33361,1775244151,2026-04-03T12:22:31,6,94,yes,18
33467,1775244232,2026-04-03T12:23:52,6,94,yes,1
33468,1775244232,2026-04-03T12:23:52,6,94,yes,20
33469,1775244232,2026-04-03T12:23:52,6,94,yes,350
33470,1775244232,2026-04-03T12:23:52,6,94,yes,5
33471,1775244232,2026-04-03T12:23:52,6,94,yes,5
33768,1775244348,2026-04-03T12:25:48,6,94,yes,5
33769,1775244348,2026-04-03T12:25:48,6,94,yes,1
33770,1775244348,2026-04-03T12:25:48,7,93,yes,799
34024,1775244535,2026-04-03T12:28:55,7,93,yes,7
34025,1775244535,2026-04-03T12:28:55,7,93,yes,1
34026,1775244535,2026-04-03T12:28:55,7,93,yes,5
34027,1775244535,2026-04-03T12:28:55,8,92,yes,47
34101,1775244588,2026-04-03T12:29:48,6,94,yes,24
34163,1775244620,2026-04-03T12:30:20,6,94,yes,31
34191,1775244650,2026-04-03T12:30:50,6,94,yes,15
34293,1775244726,2026-04-03T12:32:06,6,94,yes,78
34404,1775244827,2026-04-03T12:33:47,6,94,yes,1563
34451,1775244874,2026-04-03T12:34:34,7,93,yes,5
34452,1775244874,2026-04-03T12:34:34,7,93,yes,5
34480,1775244899,2026-04-03T12:34:59,6,94,no,10
34553,1775244978,2026-04-03T12:36:18,6,94,yes,15
34585,1775245009,2026-04-03T12:36:49,6,94,yes,125
34643,1775245070,2026-04-03T12:37:50,7,93,yes,4
34711,1775245117,2026-04-03T12:38:37,7,93,yes,3
34712,1775245117,2026-04-03T12:38:37,7,93,yes,5
34713,1775245117,2026-04-03T12:38:37,7,93,yes,20
34714,1775245117,2026-04-03T12:38:37,8,92,yes,40
34723,1775245122,2026-04-03T12:38:42,14,86,no,152
34969,1775245232,2026-04-03T12:40:32,18,82,yes,10
34970,1775245232,2026-04-03T12:40:32,18,82,yes,7
35018,1775245254,2026-04-03T12:40:54,19,81,yes,24
35021,1775245255,2026-04-03T12:40:55,18,82,no,142
35022,1775245255,2026-04-03T12:40:55,18,82,no,7
35023,1775245255,2026-04-03T12:40:55,18,82,no,2219
35116,1775245318,2026-04-03T12:41:58,20,80,yes,8
35133,1775245336,2026-04-03T12:42:16,19,81,yes,24
35212,1775245387,2026-04-03T12:43:07,17,83,yes,5
35213,1775245387,2026-04-03T12:43:07,18,82,yes,10
35214,1775245387,2026-04-03T12:43:07,18,82,yes,60
35215,1775245387,2026-04-03T12:43:07,19,81,yes,166
35242,1775245399,2026-04-03T12:43:19,17,83,yes,50
35243,1775245399,2026-04-03T12:43:19,18,82,yes,10
35253,1775245408,2026-04-03T12:43:28,17,83,yes,16
35267,1775245419,2026-04-03T12:43:39,17,83,yes,50
35279,1775245426,2026-04-03T12:43:46,18,82,yes,5
35280,1775245426,2026-04-03T12:43:46,18,82,yes,10
35391,1775245510,2026-04-03T12:45:10,19,81,yes,64
