Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2848,1774012901,2026-03-20T06:21:41,,,yes,
2849,1774012901,2026-03-20T06:21:41,,,yes,
4439,1774013418,2026-03-20T06:30:18,,,yes,
4721,1774013506,2026-03-20T06:31:46,,,yes,
5366,1774013708,2026-03-20T06:35:08,,,yes,
8055,1774014434,2026-03-20T06:47:14,,,yes,
15556,1774016469,2026-03-20T07:21:09,,,yes,
20348,1774017638,2026-03-20T07:40:38,,,yes,
35162,1774020825,2026-03-20T08:33:45,,,yes,
35973,1774020953,2026-03-20T08:35:53,,,yes,
36531,1774021036,2026-03-20T08:37:16,,,yes,
41814,1774021785,2026-03-20T08:49:45,,,yes,
45845,1774022341,2026-03-20T08:59:01,,,yes,
47546,1774022582,2026-03-20T09:03:02,,,yes,
49743,1774022859,2026-03-20T09:07:39,,,yes,
55349,1774023432,2026-03-20T09:17:12,,,yes,
59955,1774023804,2026-03-20T09:23:24,,,yes,
69355,1774024820,2026-03-20T09:40:20,,,yes,
70624,1774024944,2026-03-20T09:42:24,,,yes,
79488,1774025814,2026-03-20T09:56:54,,,yes,
87590,1774026502,2026-03-20T10:08:22,,,yes,
107088,1774028097,2026-03-20T10:34:57,,,yes,
110215,1774028381,2026-03-20T10:39:41,,,no,
113667,1774028678,2026-03-20T10:44:38,,,yes,
113668,1774028678,2026-03-20T10:44:38,,,yes,
113669,1774028678,2026-03-20T10:44:38,,,yes,
130660,1774029628,2026-03-20T11:00:28,,,yes,
158076,1774030637,2026-03-20T11:17:17,,,yes,
200233,1774032092,2026-03-20T11:41:32,,,yes,
205270,1774032353,2026-03-20T11:45:53,,,yes,
209324,1774032571,2026-03-20T11:49:31,,,yes,
217424,1774033079,2026-03-20T11:57:59,,,yes,
217425,1774033079,2026-03-20T11:57:59,,,yes,
217427,1774033079,2026-03-20T11:57:59,,,no,
217543,1774033088,2026-03-20T11:58:08,,,yes,
219009,1774033188,2026-03-20T11:59:48,,,yes,
236946,1774034175,2026-03-20T12:16:15,,,yes,
236947,1774034175,2026-03-20T12:16:15,,,yes,
237343,1774034196,2026-03-20T12:16:36,,,yes,
237344,1774034196,2026-03-20T12:16:36,,,yes,
237720,1774034219,2026-03-20T12:16:59,,,yes,
240561,1774034403,2026-03-20T12:20:03,,,yes,
243261,1774034573,2026-03-20T12:22:53,,,yes,
244586,1774034650,2026-03-20T12:24:10,,,yes,
256248,1774035290,2026-03-20T12:34:50,,,yes,
259811,1774035479,2026-03-20T12:37:59,,,yes,
261486,1774035574,2026-03-20T12:39:34,,,yes,
268001,1774035862,2026-03-20T12:44:22,,,yes,
270884,1774035938,2026-03-20T12:45:38,,,yes,
275457,1774036069,2026-03-20T12:47:49,,,yes,
276920,1774036114,2026-03-20T12:48:34,,,yes,
277628,1774036135,2026-03-20T12:48:55,,,yes,
277630,1774036135,2026-03-20T12:48:55,,,yes,
281386,1774036267,2026-03-20T12:51:07,,,yes,
283530,1774036370,2026-03-20T12:52:50,,,yes,
287066,1774036497,2026-03-20T12:54:57,,,yes,
287102,1774036498,2026-03-20T12:54:58,,,yes,
290397,1774036614,2026-03-20T12:56:54,,,yes,
292515,1774036697,2026-03-20T12:58:17,,,yes,
294997,1774036789,2026-03-20T12:59:49,,,yes,
298364,1774036931,2026-03-20T13:02:11,,,yes,
300195,1774037015,2026-03-20T13:03:35,,,yes,
300677,1774037036,2026-03-20T13:03:56,,,yes,
300798,1774037041,2026-03-20T13:04:01,,,yes,
300799,1774037041,2026-03-20T13:04:01,,,yes,
300800,1774037041,2026-03-20T13:04:01,,,yes,
300997,1774037052,2026-03-20T13:04:12,,,no,
301199,1774037061,2026-03-20T13:04:21,,,yes,
302249,1774037106,2026-03-20T13:05:06,,,yes,
302250,1774037106,2026-03-20T13:05:06,,,yes,
302256,1774037107,2026-03-20T13:05:07,,,yes,
302367,1774037111,2026-03-20T13:05:11,,,yes,
302379,1774037112,2026-03-20T13:05:12,,,yes,
302459,1774037116,2026-03-20T13:05:16,,,yes,
302536,1774037120,2026-03-20T13:05:20,,,yes,
302537,1774037120,2026-03-20T13:05:20,,,yes,
302961,1774037137,2026-03-20T13:05:37,,,yes,
303584,1774037161,2026-03-20T13:06:01,,,yes,
303763,1774037168,2026-03-20T13:06:08,,,yes,
303859,1774037173,2026-03-20T13:06:13,,,yes,
303863,1774037173,2026-03-20T13:06:13,,,no,
304378,1774037198,2026-03-20T13:06:38,,,yes,
304507,1774037204,2026-03-20T13:06:44,,,yes,
304612,1774037208,2026-03-20T13:06:48,,,yes,
304812,1774037215,2026-03-20T13:06:55,,,yes,
304867,1774037218,2026-03-20T13:06:58,,,yes,
305680,1774037251,2026-03-20T13:07:31,,,yes,
