ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774184733,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1774184734,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5540,3,6872,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,19111
1774184735,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5540,3,6872,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,19111
1774184736,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5540,3,8372,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,20611
1774184737,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5540,3,8372,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,20611
1774184738,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5540,3,8372,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,20611
1774184739,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5540,3,9196,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,21435
1774184740,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5540,3,9196,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,21435
1774184741,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5440,3,9149,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,21288
1774184742,5,4,5,8830,6,4017,7,4079,8,0,9,0,10,0,11,0,12,0,13,0,14,1,15,0,4,5440,3,9149,2,1663,1,5036,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,16927,21288
