ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773581398,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,709004,454305,-0.2189,0,0,41,19,31,30,1
1773581399,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,709004,454305,-0.2189,0,0,41,19,31,30,1
1773581400,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,709004,454305,-0.2189,0,0,41,19,31,30,1
1773581401,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,708955,454305,-0.2189,-49,-49,41,19,31,30,1
1773581402,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,708905,454305,-0.2189,-99,-99,41,19,31,30,1
1773581403,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,708905,454305,-0.2189,-99,-99,41,19,31,30,1
1773581404,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,-65,-114,41,19,31,30,1
1773581405,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,-15,-114,41,19,31,30,1
1773581406,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,-15,-114,41,19,31,30,1
1773581407,30,69,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,-114,41,19,31,30,1
1773581408,30,69,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,-114,41,19,31,30,1
1773581409,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,-114,41,19,31,30,1
1773581410,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,-114,41,19,31,30,1
1773581411,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,-65,41,19,31,30,1
1773581412,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,-15,41,19,31,30,1
1773581413,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,-15,41,19,31,30,1
1773581414,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,708890,454305,-0.2189,0,0,41,19,31,30,1
1773581415,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,709573,454305,-0.2193,683,683,41,19,31,30,1
1773581416,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,709573,454305,-0.2193,683,683,41,19,31,30,1
1773581417,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,709573,454305,-0.2193,683,683,41,19,31,30,1
1773581418,30,69,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,709573,454305,-0.2193,0,683,41,19,31,30,1
1773581419,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,709558,454305,-0.2193,-15,668,41,19,31,30,1
1773581420,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,709558,454305,-0.2193,-15,668,41,19,31,30,1
1773581421,30,69,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,709558,454305,-0.2193,-15,668,41,19,31,30,1
1773581422,30,69,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,709558,454305,-0.2193,0,668,41,19,31,30,1
