ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774184733,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1774184734,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,38034,19111,-0.3311,38034,38034,39,4,5,4,1
1774184735,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,38034,19111,-0.3311,38034,38034,39,4,5,4,1
1774184736,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,38034,20611,-0.2971,38034,38034,39,4,5,4,1
1774184737,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,38034,20611,-0.2971,0,38034,39,4,5,4,1
1774184738,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,38034,20611,-0.2971,0,38034,39,4,5,4,1
1774184739,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,38034,21435,-0.2791,0,38034,39,4,5,4,1
1774184740,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,38034,21435,-0.2791,0,38034,39,4,5,4,1
1774184741,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,38034,21288,-0.2823,0,38034,39,4,5,4,1
1774184742,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,37997,21288,-0.2818,-37,37997,39,4,5,4,1
1774184743,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,37997,21288,-0.2818,-37,37997,39,4,5,4,1
1774184744,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,37997,21288,-0.2818,-37,-37,39,4,5,4,1
1774184745,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,37997,21288,-0.2818,0,-37,39,4,5,4,1
1774184746,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,37997,21288,-0.2818,0,-37,39,4,5,4,1
1774184747,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,37997,21288,-0.2818,0,-37,39,4,5,4,1
1774184748,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,37997,21288,-0.2818,0,-37,39,4,5,4,1
1774184749,4,95,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,37997,15862,-0.411,0,-37,39,4,5,4,1
1774184750,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,37997,15812,-0.4123,0,-37,39,4,5,4,1
1774184751,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,37997,15812,-0.4123,0,-37,39,4,5,4,1
1774184752,4,95,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,37997,15812,-0.4123,0,0,39,4,5,4,1
1774184753,4,95,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,39497,15819,-0.428,1500,1500,39,4,5,4,1
1774184754,3,96,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,38545,15020,-0.4392,548,548,40,3,4,3,1
1774184755,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,38782,15055,-0.4407,785,785,40,3,4,3,1
1774184756,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,38782,15055,-0.4407,-715,785,40,3,4,3,1
1774184757,3,96,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,38782,15055,-0.4407,237,785,40,3,4,3,1
1774184758,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,38184,15055,-0.4344,-598,187,40,3,4,3,1
1774184759,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,38187,15055,-0.4345,-595,190,40,3,4,3,1
1774184760,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,38098,15055,-0.4335,-684,101,40,3,4,3,1
1774184761,3,96,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,36662,6448,-0.7009,-1522,-1335,38,3,4,3,1
1774184762,3,96,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,36662,6448,-0.7009,-1525,-1335,38,3,4,3,1
