Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
19286,1773522756,2026-03-14T14:12:36,,,yes,
30616,1773523543,2026-03-14T14:25:43,,,yes,
62595,1773525760,2026-03-14T15:02:40,,,yes,
69134,1773526149,2026-03-14T15:09:09,,,yes,
72148,1773526404,2026-03-14T15:13:24,,,yes,
76483,1773526803,2026-03-14T15:20:03,,,yes,
85757,1773527617,2026-03-14T15:33:37,,,no,
88988,1773527967,2026-03-14T15:39:27,,,yes,
89717,1773528072,2026-03-14T15:41:12,,,yes,
92209,1773528387,2026-03-14T15:46:27,,,yes,
98943,1773529058,2026-03-14T15:57:38,,,yes,
104214,1773529598,2026-03-14T16:06:38,,,yes,
109421,1773530165,2026-03-14T16:16:05,,,yes,
113582,1773530614,2026-03-14T16:23:34,,,yes,
115348,1773530905,2026-03-14T16:28:25,,,yes,
115775,1773530965,2026-03-14T16:29:25,,,yes,
121487,1773532076,2026-03-14T16:47:56,,,yes,
123195,1773532662,2026-03-14T16:57:42,,,yes,
123672,1773532770,2026-03-14T16:59:30,,,yes,
126806,1773533566,2026-03-14T17:12:46,,,yes,
128555,1773533834,2026-03-14T17:17:14,,,yes,
133575,1773534479,2026-03-14T17:27:59,,,yes,
134424,1773534598,2026-03-14T17:29:58,,,no,
137247,1773534943,2026-03-14T17:35:43,,,no,
138301,1773535084,2026-03-14T17:38:04,,,yes,
168269,1773538582,2026-03-14T18:36:22,,,yes,
174784,1773539649,2026-03-14T18:54:09,,,yes,
178942,1773540180,2026-03-14T19:03:00,,,yes,
188068,1773541185,2026-03-14T19:19:45,,,yes,
190291,1773541374,2026-03-14T19:22:54,,,yes,
193081,1773541581,2026-03-14T19:26:21,,,yes,
193958,1773541633,2026-03-14T19:27:13,,,yes,
198952,1773541956,2026-03-14T19:32:36,,,no,
202060,1773542135,2026-03-14T19:35:35,,,yes,
207239,1773542414,2026-03-14T19:40:14,,,yes,
207846,1773542450,2026-03-14T19:40:50,,,yes,
211374,1773542627,2026-03-14T19:43:47,,,yes,
213315,1773542702,2026-03-14T19:45:02,,,no,
214162,1773542738,2026-03-14T19:45:38,,,yes,
226450,1773543396,2026-03-14T19:56:36,,,no,
233331,1773543641,2026-03-14T20:00:41,,,yes,
234101,1773543667,2026-03-14T20:01:07,,,yes,
267311,1773545015,2026-03-14T20:23:35,,,yes,
279340,1773545484,2026-03-14T20:31:24,,,yes,
280255,1773545554,2026-03-14T20:32:34,,,yes,
286813,1773546116,2026-03-14T20:41:56,,,yes,
287492,1773546168,2026-03-14T20:42:48,,,yes,
291514,1773546488,2026-03-14T20:48:08,,,yes,
292009,1773546543,2026-03-14T20:49:03,,,yes,
292134,1773546561,2026-03-14T20:49:21,,,yes,
293796,1773546767,2026-03-14T20:52:47,,,yes,
295143,1773546986,2026-03-14T20:56:26,,,yes,
296690,1773547246,2026-03-14T21:00:46,,,yes,
297887,1773547408,2026-03-14T21:03:28,,,yes,
301570,1773547711,2026-03-14T21:08:31,,,yes,
306528,1773548173,2026-03-14T21:16:13,,,yes,
308778,1773548389,2026-03-14T21:19:49,,,yes,
314296,1773548883,2026-03-14T21:28:03,,,yes,
315058,1773549013,2026-03-14T21:30:13,,,yes,
319061,1773549463,2026-03-14T21:37:43,,,yes,
324194,1773549943,2026-03-14T21:45:43,,,yes,
325914,1773550043,2026-03-14T21:47:23,,,yes,
337836,1773550675,2026-03-14T21:57:55,,,yes,
344656,1773551678,2026-03-14T22:14:38,,,yes,
344710,1773551761,2026-03-14T22:16:01,,,yes,
344743,1773551838,2026-03-14T22:17:18,,,yes,
344825,1773552039,2026-03-14T22:20:39,,,yes,
344835,1773552066,2026-03-14T22:21:06,,,yes,
344880,1773552160,2026-03-14T22:22:40,,,yes,
344952,1773552370,2026-03-14T22:26:10,,,yes,
345058,1773552729,2026-03-14T22:32:09,,,no,
345127,1773553036,2026-03-14T22:37:16,,,yes,
345188,1773553244,2026-03-14T22:40:44,,,yes,
