Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
34,1774098342,2026-03-21T06:05:42,,,yes,
52,1774098347,2026-03-21T06:05:47,,,no,
53,1774098347,2026-03-21T06:05:47,,,no,
54,1774098348,2026-03-21T06:05:48,,,yes,
56,1774098348,2026-03-21T06:05:48,,,yes,
109,1774098362,2026-03-21T06:06:02,,,yes,
148,1774098371,2026-03-21T06:06:11,,,yes,
209,1774098392,2026-03-21T06:06:32,,,yes,
218,1774098394,2026-03-21T06:06:34,,,yes,
222,1774098395,2026-03-21T06:06:35,,,yes,
224,1774098395,2026-03-21T06:06:35,,,yes,
229,1774098396,2026-03-21T06:06:36,,,yes,
237,1774098399,2026-03-21T06:06:39,,,yes,
250,1774098403,2026-03-21T06:06:43,,,no,
270,1774098411,2026-03-21T06:06:51,,,yes,
272,1774098413,2026-03-21T06:06:53,,,yes,
276,1774098415,2026-03-21T06:06:55,,,yes,
277,1774098415,2026-03-21T06:06:55,,,no,
278,1774098415,2026-03-21T06:06:55,,,no,
310,1774098422,2026-03-21T06:07:02,,,yes,
315,1774098423,2026-03-21T06:07:03,,,yes,
349,1774098434,2026-03-21T06:07:14,,,yes,
350,1774098434,2026-03-21T06:07:14,,,yes,
351,1774098434,2026-03-21T06:07:14,,,yes,
365,1774098437,2026-03-21T06:07:17,,,yes,
368,1774098437,2026-03-21T06:07:17,,,yes,
372,1774098438,2026-03-21T06:07:18,,,no,
373,1774098438,2026-03-21T06:07:18,,,no,
399,1774098445,2026-03-21T06:07:25,,,yes,
451,1774098466,2026-03-21T06:07:46,,,yes,
452,1774098466,2026-03-21T06:07:46,,,yes,
455,1774098466,2026-03-21T06:07:46,,,no,
456,1774098466,2026-03-21T06:07:46,,,no,
457,1774098466,2026-03-21T06:07:46,,,no,
458,1774098466,2026-03-21T06:07:46,,,no,
459,1774098466,2026-03-21T06:07:46,,,no,
460,1774098466,2026-03-21T06:07:46,,,no,
461,1774098466,2026-03-21T06:07:46,,,no,
462,1774098467,2026-03-21T06:07:47,,,yes,
466,1774098469,2026-03-21T06:07:49,,,yes,
467,1774098469,2026-03-21T06:07:49,,,yes,
476,1774098472,2026-03-21T06:07:52,,,yes,
485,1774098475,2026-03-21T06:07:55,,,yes,
535,1774098486,2026-03-21T06:08:06,,,yes,
567,1774098492,2026-03-21T06:08:12,,,yes,
572,1774098493,2026-03-21T06:08:13,,,yes,
590,1774098496,2026-03-21T06:08:16,,,yes,
606,1774098502,2026-03-21T06:08:22,,,no,
607,1774098502,2026-03-21T06:08:22,,,no,
608,1774098502,2026-03-21T06:08:22,,,no,
609,1774098502,2026-03-21T06:08:22,,,no,
610,1774098502,2026-03-21T06:08:22,,,no,
641,1774098508,2026-03-21T06:08:28,,,yes,
656,1774098514,2026-03-21T06:08:34,,,yes,
686,1774098519,2026-03-21T06:08:39,,,no,
698,1774098522,2026-03-21T06:08:42,,,yes,
704,1774098524,2026-03-21T06:08:44,,,no,
711,1774098525,2026-03-21T06:08:45,,,yes,
714,1774098527,2026-03-21T06:08:47,,,yes,
715,1774098527,2026-03-21T06:08:47,,,yes,
753,1774098534,2026-03-21T06:08:54,,,yes,
