Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
281,1774184826,2026-03-22T06:07:06,,,yes,
282,1774184826,2026-03-22T06:07:06,,,no,
1169,1774184958,2026-03-22T06:09:18,,,yes,
1170,1774184958,2026-03-22T06:09:18,,,no,
1508,1774185037,2026-03-22T06:10:37,,,no,
2217,1774185249,2026-03-22T06:14:09,,,yes,
2219,1774185249,2026-03-22T06:14:09,,,no,
2960,1774185441,2026-03-22T06:17:21,,,yes,
2961,1774185441,2026-03-22T06:17:21,,,no,
3280,1774185531,2026-03-22T06:18:51,,,yes,
3784,1774185667,2026-03-22T06:21:07,,,yes,
3785,1774185667,2026-03-22T06:21:07,,,no,
4511,1774185888,2026-03-22T06:24:48,,,yes,
4513,1774185888,2026-03-22T06:24:48,,,no,
4687,1774185942,2026-03-22T06:25:42,,,yes,
4754,1774185964,2026-03-22T06:26:04,,,yes,
5830,1774186221,2026-03-22T06:30:21,,,yes,
5831,1774186221,2026-03-22T06:30:21,,,no,
5867,1774186232,2026-03-22T06:30:32,,,yes,
6432,1774186323,2026-03-22T06:32:03,,,yes,
8659,1774186678,2026-03-22T06:37:58,,,yes,
8661,1774186678,2026-03-22T06:37:58,,,no,
8878,1774186723,2026-03-22T06:38:43,,,yes,
8999,1774186753,2026-03-22T06:39:13,,,yes,
9032,1774186760,2026-03-22T06:39:20,,,yes,
9776,1774186950,2026-03-22T06:42:30,,,yes,
9778,1774186950,2026-03-22T06:42:30,,,no,
9824,1774186962,2026-03-22T06:42:42,,,no,
9971,1774187003,2026-03-22T06:43:23,,,yes,
10027,1774187014,2026-03-22T06:43:34,,,no,
10076,1774187031,2026-03-22T06:43:51,,,yes,
10322,1774187093,2026-03-22T06:44:53,,,yes,
10324,1774187093,2026-03-22T06:44:53,,,no,
13579,1774187472,2026-03-22T06:51:12,,,yes,
13580,1774187472,2026-03-22T06:51:12,,,no,
13821,1774187508,2026-03-22T06:51:48,,,yes,
13884,1774187515,2026-03-22T06:51:55,,,yes,
14043,1774187545,2026-03-22T06:52:25,,,yes,
14450,1774187609,2026-03-22T06:53:29,,,yes,
14471,1774187609,2026-03-22T06:53:29,,,no,
14540,1774187619,2026-03-22T06:53:39,,,no,
14606,1774187630,2026-03-22T06:53:50,,,yes,
14607,1774187631,2026-03-22T06:53:51,,,yes,
14626,1774187633,2026-03-22T06:53:53,,,yes,
15084,1774187721,2026-03-22T06:55:21,,,yes,
15406,1774187786,2026-03-22T06:56:26,,,yes,
15407,1774187786,2026-03-22T06:56:26,,,no,
15431,1774187792,2026-03-22T06:56:32,,,yes,
15685,1774187864,2026-03-22T06:57:44,,,yes,
15746,1774187881,2026-03-22T06:58:01,,,yes,
15774,1774187888,2026-03-22T06:58:08,,,yes,
16003,1774187949,2026-03-22T06:59:09,,,yes,
16004,1774187949,2026-03-22T06:59:09,,,no,
16033,1774187957,2026-03-22T06:59:17,,,yes,
16197,1774187997,2026-03-22T06:59:57,,,yes,
16488,1774188063,2026-03-22T07:01:03,,,yes,
16602,1774188097,2026-03-22T07:01:37,,,yes,
16603,1774188097,2026-03-22T07:01:37,,,no,
16669,1774188113,2026-03-22T07:01:53,,,yes,
16881,1774188168,2026-03-22T07:02:48,,,yes,
16939,1774188183,2026-03-22T07:03:03,,,yes,
17056,1774188209,2026-03-22T07:03:29,,,yes,
17057,1774188209,2026-03-22T07:03:29,,,yes,
17132,1774188224,2026-03-22T07:03:44,,,yes,
17133,1774188224,2026-03-22T07:03:44,,,no,
17203,1774188240,2026-03-22T07:04:00,,,yes,
17296,1774188257,2026-03-22T07:04:17,,,yes,
17353,1774188270,2026-03-22T07:04:30,,,yes,
17515,1774188311,2026-03-22T07:05:11,,,yes,
17549,1774188320,2026-03-22T07:05:20,,,yes,
17772,1774188377,2026-03-22T07:06:17,,,yes,
17773,1774188377,2026-03-22T07:06:17,,,no,
17799,1774188383,2026-03-22T07:06:23,,,yes,
17842,1774188394,2026-03-22T07:06:34,,,yes,
17903,1774188414,2026-03-22T07:06:54,,,yes,
18005,1774188444,2026-03-22T07:07:24,,,yes,
18026,1774188447,2026-03-22T07:07:27,,,yes,
18038,1774188449,2026-03-22T07:07:29,,,yes,
18188,1774188492,2026-03-22T07:08:12,,,yes,
18208,1774188498,2026-03-22T07:08:18,,,yes,
18209,1774188498,2026-03-22T07:08:18,,,no,
18226,1774188501,2026-03-22T07:08:21,,,yes,
18233,1774188503,2026-03-22T07:08:23,,,yes,
18524,1774188579,2026-03-22T07:09:39,,,no,
18541,1774188584,2026-03-22T07:09:44,,,yes,
18660,1774188616,2026-03-22T07:10:16,,,yes,
18793,1774188655,2026-03-22T07:10:55,,,yes,
18795,1774188656,2026-03-22T07:10:56,,,no,
18946,1774188703,2026-03-22T07:11:43,,,yes,
19045,1774188725,2026-03-22T07:12:05,,,yes,
19227,1774188765,2026-03-22T07:12:45,,,yes,
19305,1774188780,2026-03-22T07:13:00,,,yes,
19306,1774188780,2026-03-22T07:13:00,,,no,
19765,1774188887,2026-03-22T07:14:47,,,yes,
19766,1774188887,2026-03-22T07:14:47,,,yes,
19767,1774188887,2026-03-22T07:14:47,,,yes,
19816,1774188898,2026-03-22T07:14:58,,,yes,
19915,1774188925,2026-03-22T07:15:25,,,yes,
19918,1774188925,2026-03-22T07:15:25,,,no,
20382,1774189026,2026-03-22T07:17:06,,,yes,
20418,1774189031,2026-03-22T07:17:11,,,yes,
20451,1774189037,2026-03-22T07:17:17,,,yes,
20482,1774189044,2026-03-22T07:17:24,,,yes,
20553,1774189061,2026-03-22T07:17:41,,,yes,
20554,1774189061,2026-03-22T07:17:41,,,no,
20593,1774189071,2026-03-22T07:17:51,,,yes,
20663,1774189086,2026-03-22T07:18:06,,,yes,
20687,1774189093,2026-03-22T07:18:13,,,no,
20739,1774189104,2026-03-22T07:18:24,,,yes,
20803,1774189121,2026-03-22T07:18:41,,,yes,
20945,1774189161,2026-03-22T07:19:21,,,yes,
20962,1774189166,2026-03-22T07:19:26,,,yes,
20986,1774189173,2026-03-22T07:19:33,,,yes,
21005,1774189180,2026-03-22T07:19:40,,,yes,
21031,1774189187,2026-03-22T07:19:47,,,yes,
21032,1774189187,2026-03-22T07:19:47,,,no,
21087,1774189199,2026-03-22T07:19:59,,,yes,
21121,1774189207,2026-03-22T07:20:07,,,yes,
21137,1774189210,2026-03-22T07:20:10,,,yes,
21193,1774189225,2026-03-22T07:20:25,,,no,
21317,1774189257,2026-03-22T07:20:57,,,yes,
21458,1774189293,2026-03-22T07:21:33,,,yes,
21464,1774189295,2026-03-22T07:21:35,,,yes,
21491,1774189303,2026-03-22T07:21:43,,,yes,
21518,1774189311,2026-03-22T07:21:51,,,no,
21524,1774189312,2026-03-22T07:21:52,,,yes,
21563,1774189320,2026-03-22T07:22:00,,,yes,
21564,1774189320,2026-03-22T07:22:00,,,yes,
21603,1774189330,2026-03-22T07:22:10,,,yes,
21604,1774189330,2026-03-22T07:22:10,,,yes,
21649,1774189342,2026-03-22T07:22:22,,,yes,
21650,1774189342,2026-03-22T07:22:22,,,yes,
21664,1774189345,2026-03-22T07:22:25,,,yes,
21762,1774189369,2026-03-22T07:22:49,,,yes,
21768,1774189370,2026-03-22T07:22:50,,,no,
21962,1774189419,2026-03-22T07:23:39,,,yes,
22014,1774189428,2026-03-22T07:23:48,,,yes,
22024,1774189430,2026-03-22T07:23:50,,,yes,
22209,1774189470,2026-03-22T07:24:30,,,yes,
22347,1774189501,2026-03-22T07:25:01,,,yes,
22369,1774189508,2026-03-22T07:25:08,,,yes,
22776,1774189610,2026-03-22T07:26:50,,,yes,
22786,1774189613,2026-03-22T07:26:53,,,yes,
22918,1774189641,2026-03-22T07:27:21,,,yes,
22919,1774189641,2026-03-22T07:27:21,,,yes,
23010,1774189660,2026-03-22T07:27:40,,,yes,
23123,1774189685,2026-03-22T07:28:05,,,yes,
23202,1774189709,2026-03-22T07:28:29,,,yes,
23259,1774189724,2026-03-22T07:28:44,,,yes,
23372,1774189746,2026-03-22T07:29:06,,,no,
23396,1774189753,2026-03-22T07:29:13,,,yes,
23488,1774189777,2026-03-22T07:29:37,,,no,
23503,1774189782,2026-03-22T07:29:42,,,yes,
23600,1774189807,2026-03-22T07:30:07,,,yes,
23657,1774189817,2026-03-22T07:30:17,,,yes,
23659,1774189818,2026-03-22T07:30:18,,,yes,
23660,1774189818,2026-03-22T07:30:18,,,yes,
23661,1774189818,2026-03-22T07:30:18,,,yes,
23766,1774189840,2026-03-22T07:30:40,,,no,
23777,1774189840,2026-03-22T07:30:40,,,no,
23778,1774189840,2026-03-22T07:30:40,,,no,
23779,1774189840,2026-03-22T07:30:40,,,no,
23792,1774189840,2026-03-22T07:30:40,,,yes,
23793,1774189840,2026-03-22T07:30:40,,,yes,
23874,1774189856,2026-03-22T07:30:56,,,yes,
23875,1774189856,2026-03-22T07:30:56,,,yes,
23876,1774189856,2026-03-22T07:30:56,,,yes,
23877,1774189856,2026-03-22T07:30:56,,,yes,
24000,1774189878,2026-03-22T07:31:18,,,yes,
24002,1774189880,2026-03-22T07:31:20,,,yes,
24011,1774189882,2026-03-22T07:31:22,,,yes,
24038,1774189888,2026-03-22T07:31:28,,,yes,
24039,1774189888,2026-03-22T07:31:28,,,yes,
24101,1774189898,2026-03-22T07:31:38,,,yes,
24102,1774189898,2026-03-22T07:31:38,,,yes,
24104,1774189898,2026-03-22T07:31:38,,,yes,
24174,1774189911,2026-03-22T07:31:51,,,no,
24294,1774189933,2026-03-22T07:32:13,,,yes,
24296,1774189933,2026-03-22T07:32:13,,,yes,
24308,1774189935,2026-03-22T07:32:15,,,yes,
24334,1774189940,2026-03-22T07:32:20,,,yes,
24347,1774189943,2026-03-22T07:32:23,,,yes,
24504,1774189974,2026-03-22T07:32:54,,,yes,
24510,1774189977,2026-03-22T07:32:57,,,yes,
24528,1774189981,2026-03-22T07:33:01,,,yes,
24539,1774189982,2026-03-22T07:33:02,,,no,
24566,1774189987,2026-03-22T07:33:07,,,yes,
24580,1774189989,2026-03-22T07:33:09,,,yes,
24583,1774189990,2026-03-22T07:33:10,,,yes,
24606,1774189997,2026-03-22T07:33:17,,,yes,
24642,1774190006,2026-03-22T07:33:26,,,yes,
24643,1774190006,2026-03-22T07:33:26,,,yes,
24723,1774190024,2026-03-22T07:33:44,,,yes,
24744,1774190029,2026-03-22T07:33:49,,,yes,
24913,1774190065,2026-03-22T07:34:25,,,yes,
24953,1774190075,2026-03-22T07:34:35,,,yes,
24955,1774190075,2026-03-22T07:34:35,,,yes,
24964,1774190077,2026-03-22T07:34:37,,,yes,
24995,1774190083,2026-03-22T07:34:43,,,yes,
25021,1774190088,2026-03-22T07:34:48,,,yes,
25067,1774190098,2026-03-22T07:34:58,,,yes,
25100,1774190107,2026-03-22T07:35:07,,,yes,
25179,1774190121,2026-03-22T07:35:21,,,yes,
25233,1774190134,2026-03-22T07:35:34,,,yes,
25265,1774190139,2026-03-22T07:35:39,,,yes,
25267,1774190139,2026-03-22T07:35:39,,,yes,
25378,1774190161,2026-03-22T07:36:01,,,yes,
25391,1774190164,2026-03-22T07:36:04,,,yes,
25432,1774190172,2026-03-22T07:36:12,,,yes,
25459,1774190178,2026-03-22T07:36:18,,,yes,
25477,1774190180,2026-03-22T07:36:20,,,yes,
25561,1774190197,2026-03-22T07:36:37,,,yes,
25608,1774190203,2026-03-22T07:36:43,,,yes,
25657,1774190210,2026-03-22T07:36:50,,,yes,
25787,1774190228,2026-03-22T07:37:08,,,yes,
25799,1774190230,2026-03-22T07:37:10,,,yes,
25816,1774190235,2026-03-22T07:37:15,,,yes,
25945,1774190251,2026-03-22T07:37:31,,,yes,
26012,1774190260,2026-03-22T07:37:40,,,yes,
26021,1774190261,2026-03-22T07:37:41,,,yes,
26027,1774190263,2026-03-22T07:37:43,,,yes,
26090,1774190273,2026-03-22T07:37:53,,,yes,
26126,1774190280,2026-03-22T07:38:00,,,yes,
26201,1774190290,2026-03-22T07:38:10,,,yes,
26258,1774190303,2026-03-22T07:38:23,,,yes,
26260,1774190303,2026-03-22T07:38:23,,,yes,
26309,1774190313,2026-03-22T07:38:33,,,yes,
26321,1774190317,2026-03-22T07:38:37,,,yes,
26354,1774190326,2026-03-22T07:38:46,,,yes,
26381,1774190333,2026-03-22T07:38:53,,,yes,
26382,1774190333,2026-03-22T07:38:53,,,yes,
26414,1774190341,2026-03-22T07:39:01,,,yes,
26462,1774190351,2026-03-22T07:39:11,,,yes,
26703,1774190393,2026-03-22T07:39:53,,,yes,
26722,1774190395,2026-03-22T07:39:55,,,yes,
26747,1774190400,2026-03-22T07:40:00,,,yes,
26810,1774190417,2026-03-22T07:40:17,,,yes,
26894,1774190435,2026-03-22T07:40:35,,,yes,
27045,1774190472,2026-03-22T07:41:12,,,yes,
27096,1774190479,2026-03-22T07:41:19,,,yes,
27116,1774190485,2026-03-22T07:41:25,,,yes,
27134,1774190490,2026-03-22T07:41:30,,,yes,
27202,1774190503,2026-03-22T07:41:43,,,yes,
27334,1774190531,2026-03-22T07:42:11,,,yes,
27335,1774190531,2026-03-22T07:42:11,,,yes,
27364,1774190539,2026-03-22T07:42:19,,,yes,
27371,1774190539,2026-03-22T07:42:19,,,no,
27372,1774190539,2026-03-22T07:42:19,,,no,
27385,1774190542,2026-03-22T07:42:22,,,no,
27401,1774190544,2026-03-22T07:42:24,,,yes,
27404,1774190544,2026-03-22T07:42:24,,,yes,
27405,1774190544,2026-03-22T07:42:24,,,yes,
27408,1774190544,2026-03-22T07:42:24,,,yes,
27410,1774190544,2026-03-22T07:42:24,,,yes,
27412,1774190544,2026-03-22T07:42:24,,,yes,
27413,1774190544,2026-03-22T07:42:24,,,yes,
27414,1774190544,2026-03-22T07:42:24,,,yes,
27415,1774190545,2026-03-22T07:42:25,,,yes,
27451,1774190552,2026-03-22T07:42:32,,,yes,
27453,1774190552,2026-03-22T07:42:32,,,yes,
27454,1774190552,2026-03-22T07:42:32,,,yes,
27486,1774190558,2026-03-22T07:42:38,,,no,
27498,1774190560,2026-03-22T07:42:40,,,yes,
27559,1774190566,2026-03-22T07:42:46,,,no,
27561,1774190566,2026-03-22T07:42:46,,,no,
27588,1774190572,2026-03-22T07:42:52,,,yes,
27589,1774190572,2026-03-22T07:42:52,,,yes,
27590,1774190572,2026-03-22T07:42:52,,,yes,
27601,1774190575,2026-03-22T07:42:55,,,yes,
27630,1774190581,2026-03-22T07:43:01,,,yes,
27631,1774190581,2026-03-22T07:43:01,,,yes,
27643,1774190582,2026-03-22T07:43:02,,,yes,
27696,1774190593,2026-03-22T07:43:13,,,yes,
27725,1774190598,2026-03-22T07:43:18,,,no,
27836,1774190620,2026-03-22T07:43:40,,,no,
27837,1774190620,2026-03-22T07:43:40,,,no,
27838,1774190620,2026-03-22T07:43:40,,,no,
27839,1774190620,2026-03-22T07:43:40,,,no,
27840,1774190620,2026-03-22T07:43:40,,,no,
27841,1774190620,2026-03-22T07:43:40,,,no,
27842,1774190620,2026-03-22T07:43:40,,,no,
27843,1774190620,2026-03-22T07:43:40,,,no,
27855,1774190623,2026-03-22T07:43:43,,,yes,
27856,1774190623,2026-03-22T07:43:43,,,yes,
27910,1774190631,2026-03-22T07:43:51,,,yes,
27911,1774190631,2026-03-22T07:43:51,,,yes,
27912,1774190631,2026-03-22T07:43:51,,,yes,
27913,1774190631,2026-03-22T07:43:51,,,yes,
27914,1774190631,2026-03-22T07:43:51,,,yes,
27928,1774190633,2026-03-22T07:43:53,,,yes,
27929,1774190633,2026-03-22T07:43:53,,,yes,
28017,1774190654,2026-03-22T07:44:14,,,yes,
28018,1774190654,2026-03-22T07:44:14,,,yes,
28039,1774190659,2026-03-22T07:44:19,,,yes,
28040,1774190659,2026-03-22T07:44:19,,,yes,
28158,1774190681,2026-03-22T07:44:41,,,yes,
28319,1774190706,2026-03-22T07:45:06,,,yes,
28320,1774190706,2026-03-22T07:45:06,,,yes,
28412,1774190719,2026-03-22T07:45:19,,,yes,
28413,1774190719,2026-03-22T07:45:19,,,yes,
28477,1774190730,2026-03-22T07:45:30,,,yes,
28480,1774190731,2026-03-22T07:45:31,,,yes,
28511,1774190736,2026-03-22T07:45:36,,,yes,
28639,1774190762,2026-03-22T07:46:02,,,yes,
28695,1774190771,2026-03-22T07:46:11,,,yes,
28719,1774190777,2026-03-22T07:46:17,,,yes,
28753,1774190782,2026-03-22T07:46:22,,,no,
28759,1774190783,2026-03-22T07:46:23,,,yes,
28820,1774190792,2026-03-22T07:46:32,,,yes,
28821,1774190792,2026-03-22T07:46:32,,,yes,
28848,1774190795,2026-03-22T07:46:35,,,yes,
28954,1774190812,2026-03-22T07:46:52,,,yes,
28986,1774190817,2026-03-22T07:46:57,,,yes,
29065,1774190832,2026-03-22T07:47:12,,,yes,
29166,1774190850,2026-03-22T07:47:30,,,yes,
29240,1774190864,2026-03-22T07:47:44,,,yes,
29263,1774190869,2026-03-22T07:47:49,,,no,
29264,1774190869,2026-03-22T07:47:49,,,no,
29289,1774190873,2026-03-22T07:47:53,,,yes,
29564,1774190929,2026-03-22T07:48:49,,,yes,
29580,1774190932,2026-03-22T07:48:52,,,yes,
29599,1774190935,2026-03-22T07:48:55,,,yes,
29685,1774190952,2026-03-22T07:49:12,,,yes,
29838,1774190983,2026-03-22T07:49:43,,,yes,
