ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773520173,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773520174,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773520175,70,69,70,11491,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5603,67,4009,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,18081,10947
1773520176,70,69,70,10679,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,310,67,3010,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,17269,4655
1773520177,70,69,70,21766,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,310,67,3010,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,28356,4655
1773520178,70,69,70,21766,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5237,67,351,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,28356,7082
1773520179,70,69,70,21766,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,28356,8030
1773520180,70,69,70,22569,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29159,8030
1773520181,70,69,70,22569,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29159,8030
1773520182,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,10593
1773520183,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,8030
1773520184,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,8030
1773520185,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,10593
1773520186,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,10593
1773520187,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,10593
1773520188,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,10593
1773520189,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,10593
1773520190,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,8030
1773520191,70,69,70,22431,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,29021,8030
1773520192,70,69,70,11344,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,1509,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,9,17934,8030
1773520193,70,69,70,10529,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,341,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,17944,7021
1773520194,70,69,70,10529,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,341,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,17944,7021
1773520195,70,69,70,26713,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,341,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,34128,7021
1773520196,70,69,70,26713,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,341,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,34128,7021
1773520197,70,69,70,26713,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5186,67,341,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,34128,7021
1773520198,70,69,70,15529,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5237,67,341,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,22944,7072
1773520199,70,69,70,26707,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5237,67,341,66,292,65,36,64,0,63,0,62,0,61,0,60,200,59,168,34122,7072
1773520200,70,69,70,26707,71,6983,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,798,68,5237,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,34122,9584
1773520201,70,69,70,27550,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6246,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,34140,10574
1773520202,70,69,70,27550,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6246,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,34140,10574
1773520203,70,69,70,26933,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6506,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,33523,10834
1773520204,70,69,70,26933,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6506,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,33523,10834
1773520205,70,69,70,26933,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6506,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,33523,10834
1773520206,70,69,70,26933,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6506,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,33523,10834
1773520207,70,69,70,26933,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6506,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,33523,10834
1773520208,70,69,70,26933,71,6158,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6506,67,449,66,2855,65,36,64,0,63,0,62,0,61,0,60,200,59,9,33523,10834
1773520209,70,69,70,24433,71,7002,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,31867,10814
1773520210,70,69,70,7766,71,643,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,5487,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,8841,9815
1773520211,70,69,70,7766,71,643,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,5487,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,8841,9815
1773520212,70,69,70,7766,71,643,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,5487,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,8841,9815
1773520213,70,69,70,7766,71,643,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,8841,10814
1773520214,70,69,70,7766,71,643,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,8841,10814
1773520215,70,69,70,7766,71,643,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,8841,10814
1773520216,70,69,70,7766,71,643,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,8841,10814
1773520217,70,69,70,24272,71,1480,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,779,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,26184,10814
1773520218,70,69,70,24173,71,635,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,776,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,25240,10811
1773520219,70,69,70,24173,71,635,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,776,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,25240,10811
1773520220,70,69,70,24173,71,635,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,776,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,25240,10811
1773520221,70,69,70,24173,71,635,72,290,73,0,74,0,75,134,76,0,77,0,78,6,79,1,80,1,69,776,68,6486,67,290,66,3014,65,36,64,0,63,0,62,0,61,0,60,200,59,9,25240,10811
ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773521000,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773521001,88,86,88,6138,89,65,90,265,91,566,92,37,93,57,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,14226,10914
1773521002,88,86,88,6138,89,339,90,214,91,566,92,1287,93,57,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,15699,10914
1773521003,88,86,88,6138,89,339,90,479,91,566,92,1287,93,57,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,15964,10914
1773521004,88,86,88,6138,89,339,90,479,91,807,92,1287,93,57,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,16205,10914
1773521005,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,16711,10914
1773521006,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,16711,10914
1773521007,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,16711,10914
1773521008,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,470,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,16711,10914
1773521009,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,2551,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,18792,10914
1773521010,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,2551,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,18792,10914
1773521011,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,2551,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,18792,10914
1773521012,88,86,88,6138,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,2551,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,18792,10914
1773521013,88,86,88,5918,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,2551,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,18572,10914
1773521014,88,86,88,5918,89,339,90,479,91,807,92,1287,93,563,94,811,95,640,96,2551,97,3781,98,1396,86,2073,85,7768,84,293,83,281,82,250,81,249,80,0,79,0,78,0,77,0,76,0,18572,10914
1773521015,88,86,88,5918,89,65,90,265,91,566,92,1287,93,563,94,811,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,0,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17843,9403
1773521016,88,86,88,5968,89,65,90,265,91,566,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,0,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17777,9403
1773521017,88,86,88,5968,89,65,90,265,91,566,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,0,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17777,9403
1773521018,88,86,88,5968,89,65,90,265,91,566,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,0,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17777,9403
1773521019,88,86,88,5968,89,65,90,265,91,566,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,0,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17777,9403
1773521020,88,86,88,5968,89,65,90,265,91,566,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,0,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17777,9403
1773521021,88,86,88,5968,89,65,90,265,91,66,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,500,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17277,9903
1773521022,88,86,88,5968,89,65,90,265,91,66,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,500,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17277,9903
1773521023,88,86,88,5968,89,65,90,265,91,66,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,500,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17277,9903
1773521024,88,86,88,5968,89,65,90,265,91,66,92,1287,93,57,94,1201,95,640,96,2551,97,3781,98,1396,86,1828,85,7525,84,50,83,500,82,0,81,0,80,0,79,0,78,0,77,0,76,0,17277,9903
