ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773585898,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585899,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585900,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585901,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585902,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585903,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585904,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585905,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585906,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,649875,567227,-0.0679,0,0,47,10,11,10,1
1773585907,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,646518,567227,-0.0653,-3357,-3357,47,10,11,10,1
1773585908,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,-5888,-5888,47,10,11,10,1
1773585909,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,-5888,-5888,47,10,11,10,1
1773585910,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,-2531,-5888,47,10,11,10,1
1773585911,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,0,-5888,47,10,11,10,1
1773585912,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,0,-5888,47,10,11,10,1
1773585913,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,0,-5888,47,10,11,10,1
1773585914,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,0,-5888,47,10,11,10,1
1773585915,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,0,-5888,47,10,11,10,1
1773585916,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,643987,567227,-0.0634,0,-5888,47,10,11,10,1
1773585917,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,643725,567227,-0.0632,-262,-2793,47,10,11,10,1
1773585918,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,643725,567227,-0.0632,-262,-262,47,10,11,10,1
1773585919,10,89,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,643725,567227,-0.0632,-262,-262,47,10,11,10,1
1773585920,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,643725,567227,-0.0632,0,-262,47,10,11,10,1
1773585921,10,89,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,646665,567227,-0.0654,2940,2678,47,10,11,10,1
1773585922,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,646665,567227,-0.0654,2940,2678,47,10,11,10,1
1773585923,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,646665,567227,-0.0654,2940,2678,47,10,11,10,1
1773585924,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,646665,567227,-0.0654,0,2678,47,10,11,10,1
1773585925,10,89,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,646665,567227,-0.0654,0,2678,47,10,11,10,1
