Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
13603,1773522306,2026-03-14T14:05:06,,,yes,
34567,1773523851,2026-03-14T14:30:51,,,yes,
37565,1773524072,2026-03-14T14:34:32,,,yes,
65738,1773525933,2026-03-14T15:05:33,,,yes,
66836,1773526011,2026-03-14T15:06:51,,,yes,
88328,1773527870,2026-03-14T15:37:50,,,yes,
103161,1773529466,2026-03-14T16:04:26,,,yes,
107205,1773529906,2026-03-14T16:11:46,,,yes,
113685,1773530632,2026-03-14T16:23:52,,,yes,
125958,1773533372,2026-03-14T17:09:32,,,yes,
132037,1773534197,2026-03-14T17:23:17,,,yes,
136857,1773534899,2026-03-14T17:34:59,,,yes,
138316,1773535085,2026-03-14T17:38:05,,,yes,
160104,1773537513,2026-03-14T18:18:33,,,yes,
168270,1773538582,2026-03-14T18:36:22,,,yes,
168464,1773538608,2026-03-14T18:36:48,,,yes,
168465,1773538608,2026-03-14T18:36:48,,,yes,
175906,1773539788,2026-03-14T18:56:28,,,yes,
178214,1773540076,2026-03-14T19:01:16,,,yes,
178305,1773540093,2026-03-14T19:01:33,,,yes,
187161,1773541100,2026-03-14T19:18:20,,,yes,
201744,1773542119,2026-03-14T19:35:19,,,yes,
219330,1773543087,2026-03-14T19:51:27,,,yes,
240418,1773543851,2026-03-14T20:04:11,,,yes,
255546,1773544526,2026-03-14T20:15:26,,,yes,
275129,1773545255,2026-03-14T20:27:35,,,yes,
288546,1773546259,2026-03-14T20:44:19,,,yes,
288687,1773546273,2026-03-14T20:44:33,,,yes,
292303,1773546584,2026-03-14T20:49:44,,,yes,
292670,1773546638,2026-03-14T20:50:38,,,yes,
295107,1773546981,2026-03-14T20:56:21,,,yes,
295975,1773547123,2026-03-14T20:58:43,,,yes,
296108,1773547144,2026-03-14T20:59:04,,,yes,
296824,1773547272,2026-03-14T21:01:12,,,yes,
297084,1773547313,2026-03-14T21:01:53,,,no,
297689,1773547385,2026-03-14T21:03:05,,,yes,
309397,1773548445,2026-03-14T21:20:45,,,yes,
320045,1773549562,2026-03-14T21:39:22,,,yes,
322022,1773549733,2026-03-14T21:42:13,,,yes,
330922,1773550265,2026-03-14T21:51:05,,,yes,
338961,1773550780,2026-03-14T21:59:40,,,yes,
343075,1773551282,2026-03-14T22:08:02,,,yes,
344785,1773551913,2026-03-14T22:18:33,,,yes,
344849,1773552097,2026-03-14T22:21:37,,,yes,
344892,1773552200,2026-03-14T22:23:20,,,yes,
345180,1773553185,2026-03-14T22:39:45,,,yes,
345208,1773553323,2026-03-14T22:42:03,,,yes,
345234,1773553449,2026-03-14T22:44:09,,,yes,
345288,1773553734,2026-03-14T22:48:54,,,yes,
345299,1773553797,2026-03-14T22:49:57,,,yes,
345341,1773554037,2026-03-14T22:53:57,,,yes,
345376,1773554272,2026-03-14T22:57:52,,,yes,
345391,1773554415,2026-03-14T23:00:15,,,yes,
345584,1773555391,2026-03-14T23:16:31,,,yes,
345634,1773555540,2026-03-14T23:19:00,,,yes,
345876,1773556238,2026-03-14T23:30:38,,,yes,
345921,1773556409,2026-03-14T23:33:29,,,yes,
346057,1773556998,2026-03-14T23:43:18,,,yes,
346233,1773557648,2026-03-14T23:54:08,,,yes,
346257,1773557738,2026-03-14T23:55:38,,,yes,
346278,1773557834,2026-03-14T23:57:14,,,yes,
346388,1773558383,2026-03-15T00:06:23,,,yes,
346507,1773558893,2026-03-15T00:14:53,,,yes,
346581,1773559150,2026-03-15T00:19:10,,,yes,
346639,1773559453,2026-03-15T00:24:13,,,yes,
346742,1773559871,2026-03-15T00:31:11,,,yes,
346931,1773560851,2026-03-15T00:47:31,,,yes,
346984,1773561206,2026-03-15T00:53:26,,,yes,
347029,1773561494,2026-03-15T00:58:14,,,yes,
347033,1773561507,2026-03-15T00:58:27,,,yes,
347042,1773561542,2026-03-15T00:59:02,,,yes,
347053,1773561614,2026-03-15T01:00:14,,,yes,
347215,1773562811,2026-03-15T01:20:11,,,yes,
347242,1773562989,2026-03-15T01:23:09,,,yes,
347431,1773564244,2026-03-15T01:44:04,,,yes,
347436,1773564300,2026-03-15T01:45:00,,,no,
347515,1773564834,2026-03-15T01:53:54,,,yes,
347530,1773564995,2026-03-15T01:56:35,,,yes,
347842,1773567321,2026-03-15T02:35:21,,,yes,
347915,1773567909,2026-03-15T02:45:09,,,yes,
347916,1773567909,2026-03-15T02:45:09,,,yes,
348009,1773568559,2026-03-15T02:55:59,,,yes,
348064,1773569167,2026-03-15T03:06:07,,,yes,
348065,1773569173,2026-03-15T03:06:13,,,yes,
348101,1773569452,2026-03-15T03:10:52,,,yes,
348117,1773569650,2026-03-15T03:14:10,,,yes,
348522,1773572746,2026-03-15T04:05:46,,,yes,
348622,1773573419,2026-03-15T04:16:59,,,yes,
93,1773574384,2026-03-15T04:33:04,,,yes,
281,1773575240,2026-03-15T04:47:20,,,yes,
302,1773575341,2026-03-15T04:49:01,,,yes,
