Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1464,1774185024,2026-03-22T06:10:24,,,yes,
1465,1774185024,2026-03-22T06:10:24,,,no,
5685,1774186181,2026-03-22T06:29:41,,,yes,
5686,1774186181,2026-03-22T06:29:41,,,no,
6052,1774186276,2026-03-22T06:31:16,,,yes,
11320,1774187253,2026-03-22T06:47:33,,,yes,
11321,1774187253,2026-03-22T06:47:33,,,no,
13870,1774187514,2026-03-22T06:51:54,,,yes,
13871,1774187514,2026-03-22T06:51:54,,,no,
16846,1774188160,2026-03-22T07:02:40,,,yes,
16847,1774188160,2026-03-22T07:02:40,,,no,
17199,1774188240,2026-03-22T07:04:00,,,yes,
18375,1774188536,2026-03-22T07:08:56,,,yes,
18377,1774188536,2026-03-22T07:08:56,,,no,
22156,1774189457,2026-03-22T07:24:17,,,yes,
22157,1774189457,2026-03-22T07:24:17,,,no,
23252,1774189723,2026-03-22T07:28:43,,,yes,
26614,1774190376,2026-03-22T07:39:36,,,yes,
26615,1774190376,2026-03-22T07:39:36,,,no,
28241,1774190693,2026-03-22T07:44:53,,,yes,
28243,1774190693,2026-03-22T07:44:53,,,no,
29411,1774190897,2026-03-22T07:48:17,,,yes,
29412,1774190897,2026-03-22T07:48:17,,,no,
34529,1774191841,2026-03-22T08:04:01,,,yes,
34530,1774191841,2026-03-22T08:04:01,,,no,
38177,1774192524,2026-03-22T08:15:24,,,yes,
38178,1774192524,2026-03-22T08:15:24,,,no,
38410,1774192572,2026-03-22T08:16:12,,,yes,
42457,1774193304,2026-03-22T08:28:24,,,yes,
42458,1774193304,2026-03-22T08:28:24,,,no,
51435,1774194377,2026-03-22T08:46:17,,,yes,
51808,1774194424,2026-03-22T08:47:04,,,yes,
52720,1774194544,2026-03-22T08:49:04,,,yes,
53068,1774194587,2026-03-22T08:49:47,,,yes,
53069,1774194587,2026-03-22T08:49:47,,,yes,
53452,1774194642,2026-03-22T08:50:42,,,yes,
54496,1774194785,2026-03-22T08:53:05,,,yes,
56392,1774195048,2026-03-22T08:57:28,,,yes,
57127,1774195159,2026-03-22T08:59:19,,,yes,
57804,1774195247,2026-03-22T09:00:47,,,yes,
59854,1774195492,2026-03-22T09:04:52,,,yes,
59857,1774195492,2026-03-22T09:04:52,,,no,
60540,1774195550,2026-03-22T09:05:50,,,yes,
62038,1774195696,2026-03-22T09:08:16,,,yes,
62147,1774195707,2026-03-22T09:08:27,,,yes,
64674,1774195940,2026-03-22T09:12:20,,,yes,
64781,1774195946,2026-03-22T09:12:26,,,yes,
65270,1774195979,2026-03-22T09:12:59,,,yes,
65405,1774195987,2026-03-22T09:13:07,,,yes,
67082,1774196107,2026-03-22T09:15:07,,,yes,
67084,1774196107,2026-03-22T09:15:07,,,no,
69796,1774196354,2026-03-22T09:19:14,,,yes,
72323,1774196536,2026-03-22T09:22:16,,,yes,
73380,1774196632,2026-03-22T09:23:52,,,yes,
75671,1774196814,2026-03-22T09:26:54,,,yes,
76070,1774196848,2026-03-22T09:27:28,,,yes,
76907,1774196932,2026-03-22T09:28:52,,,yes,
78618,1774197131,2026-03-22T09:32:11,,,yes,
78947,1774197164,2026-03-22T09:32:44,,,yes,
79074,1774197177,2026-03-22T09:32:57,,,yes,
82737,1774197508,2026-03-22T09:38:28,,,yes,
82738,1774197508,2026-03-22T09:38:28,,,no,
84666,1774197723,2026-03-22T09:42:03,,,yes,
84667,1774197723,2026-03-22T09:42:03,,,no,
86584,1774197902,2026-03-22T09:45:02,,,yes,
86586,1774197902,2026-03-22T09:45:02,,,no,
90257,1774198163,2026-03-22T09:49:23,,,yes,
90258,1774198164,2026-03-22T09:49:24,,,no,
90540,1774198187,2026-03-22T09:49:47,,,yes,
93560,1774198352,2026-03-22T09:52:32,,,yes,
93563,1774198352,2026-03-22T09:52:32,,,no,
94587,1774198402,2026-03-22T09:53:22,,,yes,
95409,1774198441,2026-03-22T09:54:01,,,yes,
101240,1774198848,2026-03-22T10:00:48,,,yes,
101437,1774198866,2026-03-22T10:01:06,,,yes,
101579,1774198876,2026-03-22T10:01:16,,,yes,
102883,1774198978,2026-03-22T10:02:58,,,yes,
103234,1774199003,2026-03-22T10:03:23,,,yes,
105421,1774199179,2026-03-22T10:06:19,,,yes,
110910,1774199602,2026-03-22T10:13:22,,,yes,
110912,1774199602,2026-03-22T10:13:22,,,no,
111845,1774199685,2026-03-22T10:14:45,,,yes,
115445,1774199926,2026-03-22T10:18:46,,,yes,
115456,1774199926,2026-03-22T10:18:46,,,no,
116314,1774199991,2026-03-22T10:19:51,,,yes,
116599,1774200017,2026-03-22T10:20:17,,,yes,
119689,1774200253,2026-03-22T10:24:13,,,yes,
119692,1774200253,2026-03-22T10:24:13,,,no,
120298,1774200288,2026-03-22T10:24:48,,,yes,
120740,1774200314,2026-03-22T10:25:14,,,yes,
121447,1774200359,2026-03-22T10:25:59,,,yes,
123791,1774200515,2026-03-22T10:28:35,,,yes,
123792,1774200515,2026-03-22T10:28:35,,,no,
124759,1774200583,2026-03-22T10:29:43,,,yes,
