Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
7,1774184736,2026-03-22T06:05:36,,,yes,
14,1774184739,2026-03-22T06:05:39,,,yes,
17,1774184739,2026-03-22T06:05:39,,,yes,
23,1774184740,2026-03-22T06:05:40,,,yes,
25,1774184740,2026-03-22T06:05:40,,,yes,
28,1774184741,2026-03-22T06:05:41,,,yes,
60,1774184755,2026-03-22T06:05:55,,,yes,
79,1774184759,2026-03-22T06:05:59,,,yes,
80,1774184760,2026-03-22T06:06:00,,,yes,
88,1774184764,2026-03-22T06:06:04,,,yes,
106,1774184770,2026-03-22T06:06:10,,,yes,
123,1774184774,2026-03-22T06:06:14,,,yes,
131,1774184779,2026-03-22T06:06:19,,,yes,
143,1774184783,2026-03-22T06:06:23,,,yes,
149,1774184787,2026-03-22T06:06:27,,,yes,
189,1774184799,2026-03-22T06:06:39,,,yes,
190,1774184799,2026-03-22T06:06:39,,,yes,
196,1774184800,2026-03-22T06:06:40,,,yes,
214,1774184807,2026-03-22T06:06:47,,,yes,
216,1774184808,2026-03-22T06:06:48,,,yes,
217,1774184808,2026-03-22T06:06:48,,,yes,
252,1774184816,2026-03-22T06:06:56,,,yes,
263,1774184818,2026-03-22T06:06:58,,,yes,
280,1774184825,2026-03-22T06:07:05,,,yes,
304,1774184831,2026-03-22T06:07:11,,,no,
315,1774184834,2026-03-22T06:07:14,,,yes,
335,1774184843,2026-03-22T06:07:23,,,yes,
346,1774184849,2026-03-22T06:07:29,,,yes,
366,1774184855,2026-03-22T06:07:35,,,yes,
368,1774184855,2026-03-22T06:07:35,,,yes,
403,1774184867,2026-03-22T06:07:47,,,no,
413,1774184870,2026-03-22T06:07:50,,,yes,
420,1774184873,2026-03-22T06:07:53,,,yes,
421,1774184873,2026-03-22T06:07:53,,,yes,
428,1774184876,2026-03-22T06:07:56,,,yes,
432,1774184877,2026-03-22T06:07:57,,,yes,
447,1774184881,2026-03-22T06:08:01,,,yes,
450,1774184882,2026-03-22T06:08:02,,,yes,
451,1774184882,2026-03-22T06:08:02,,,yes,
452,1774184882,2026-03-22T06:08:02,,,yes,
453,1774184882,2026-03-22T06:08:02,,,yes,
454,1774184882,2026-03-22T06:08:02,,,yes,
455,1774184882,2026-03-22T06:08:02,,,yes,
463,1774184884,2026-03-22T06:08:04,,,yes,
464,1774184884,2026-03-22T06:08:04,,,yes,
469,1774184884,2026-03-22T06:08:04,,,no,
486,1774184887,2026-03-22T06:08:07,,,yes,
487,1774184887,2026-03-22T06:08:07,,,yes,
488,1774184887,2026-03-22T06:08:07,,,yes,
489,1774184887,2026-03-22T06:08:07,,,yes,
490,1774184887,2026-03-22T06:08:07,,,yes,
495,1774184888,2026-03-22T06:08:08,,,yes,
513,1774184895,2026-03-22T06:08:15,,,yes,
514,1774184895,2026-03-22T06:08:15,,,yes,
536,1774184903,2026-03-22T06:08:23,,,yes,
544,1774184906,2026-03-22T06:08:26,,,yes,
556,1774184909,2026-03-22T06:08:29,,,yes,
560,1774184909,2026-03-22T06:08:29,,,yes,
566,1774184910,2026-03-22T06:08:30,,,no,
569,1774184911,2026-03-22T06:08:31,,,yes,
596,1774184917,2026-03-22T06:08:37,,,yes,
597,1774184917,2026-03-22T06:08:37,,,yes,
601,1774184919,2026-03-22T06:08:39,,,yes,
602,1774184919,2026-03-22T06:08:39,,,yes,
636,1774184930,2026-03-22T06:08:50,,,yes,
637,1774184930,2026-03-22T06:08:50,,,yes,
647,1774184933,2026-03-22T06:08:53,,,yes,
648,1774184933,2026-03-22T06:08:53,,,yes,
655,1774184937,2026-03-22T06:08:57,,,yes,
656,1774184937,2026-03-22T06:08:57,,,yes,
