Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1724,1775222328,2026-04-03T06:18:48,19,81,yes,14
2346,1775222820,2026-04-03T06:27:00,19,81,yes,24
14310,1775230220,2026-04-03T08:30:20,19,81,yes,49
23888,1775232718,2026-04-03T09:11:58,19,81,yes,90
26249,1775237215,2026-04-03T10:26:55,19,81,yes,124
29108,1775241387,2026-04-03T11:36:27,19,81,yes,8
29688,1775242024,2026-04-03T11:47:04,19,81,yes,14
29971,1775242220,2026-04-03T11:50:20,19,81,yes,88
29972,1775242220,2026-04-03T11:50:20,19,81,yes,25
34206,1775244660,2026-04-03T12:31:00,19,81,yes,227
36491,1775246248,2026-04-03T12:57:28,19,81,yes,23
36985,1775246555,2026-04-03T13:02:35,19,81,yes,49
38147,1775247134,2026-04-03T13:12:14,19,81,yes,4
41479,1775248436,2026-04-03T13:33:56,19,81,yes,70
41480,1775248436,2026-04-03T13:33:56,19,81,yes,79
46604,1775251104,2026-04-03T14:18:24,19,81,yes,44
46605,1775251104,2026-04-03T14:18:24,19,81,yes,205
47046,1775251558,2026-04-03T14:25:58,19,81,yes,49
47068,1775251578,2026-04-03T14:26:18,19,81,yes,24
47500,1775252010,2026-04-03T14:33:30,19,81,yes,23
47644,1775252162,2026-04-03T14:36:02,19,81,yes,49
47688,1775252196,2026-04-03T14:36:36,19,81,yes,149
48145,1775252612,2026-04-03T14:43:32,19,81,yes,44
48238,1775252690,2026-04-03T14:44:50,19,81,yes,9
48861,1775253197,2026-04-03T14:53:17,19,81,yes,24
49805,1775253970,2026-04-03T15:06:10,19,81,yes,255
49806,1775253970,2026-04-03T15:06:10,19,81,yes,145
49993,1775254091,2026-04-03T15:08:11,19,81,yes,51
49994,1775254091,2026-04-03T15:08:11,19,81,yes,30
49995,1775254091,2026-04-03T15:08:11,19,81,yes,49
50008,1775254102,2026-04-03T15:08:22,19,81,yes,14
50060,1775254138,2026-04-03T15:08:58,19,81,yes,72
50061,1775254138,2026-04-03T15:08:58,19,81,yes,18
50457,1775254398,2026-04-03T15:13:18,19,81,yes,14
50694,1775254570,2026-04-03T15:16:10,19,81,yes,24
50745,1775254593,2026-04-03T15:16:33,19,81,yes,22
51670,1775255181,2026-04-03T15:26:21,19,81,yes,99
52124,1775255452,2026-04-03T15:30:52,19,81,yes,4
52256,1775255539,2026-04-03T15:32:19,19,81,yes,99
52280,1775255551,2026-04-03T15:32:31,19,81,yes,94
53007,1775255951,2026-04-03T15:39:11,19,81,yes,25
54703,1775256653,2026-04-03T15:50:53,19,81,yes,9
54710,1775256657,2026-04-03T15:50:57,19,81,yes,45
55949,1775257067,2026-04-03T15:57:47,19,81,yes,74
57577,1775257474,2026-04-03T16:04:34,19,81,yes,49
64375,1775258452,2026-04-03T16:20:52,19,81,yes,28
64819,1775258515,2026-04-03T16:21:55,19,81,yes,11
64820,1775258515,2026-04-03T16:21:55,19,81,yes,38
66780,1775258782,2026-04-03T16:26:22,19,81,yes,24
66975,1775258809,2026-04-03T16:26:49,19,81,yes,24
70134,1775259184,2026-04-03T16:33:04,19,81,yes,15
70135,1775259184,2026-04-03T16:33:04,19,81,yes,9
71139,1775259284,2026-04-03T16:34:44,19,81,yes,49
73072,1775259450,2026-04-03T16:37:30,19,81,yes,24
73471,1775259493,2026-04-03T16:38:13,19,81,yes,20
73472,1775259493,2026-04-03T16:38:13,19,81,yes,63
73479,1775259494,2026-04-03T16:38:14,19,81,yes,14
75046,1775259598,2026-04-03T16:39:58,19,81,yes,747
75379,1775259625,2026-04-03T16:40:25,19,81,yes,24
86245,1775260649,2026-04-03T16:57:29,19,81,yes,24
86956,1775260709,2026-04-03T16:58:29,19,81,yes,508
88309,1775260875,2026-04-03T17:01:15,19,81,yes,14
89537,1775261010,2026-04-03T17:03:30,18,82,no,27
89547,1775261012,2026-04-03T17:03:32,18,82,no,273
89548,1775261012,2026-04-03T17:03:32,18,82,no,1
90816,1775261150,2026-04-03T17:05:50,18,82,yes,201
90817,1775261150,2026-04-03T17:05:50,18,82,yes,61
93082,1775261420,2026-04-03T17:10:20,18,82,yes,109
93160,1775261429,2026-04-03T17:10:29,18,82,yes,131
101394,1775261942,2026-04-03T17:19:02,18,82,yes,105
101757,1775261967,2026-04-03T17:19:27,18,82,yes,90
106706,1775262292,2026-04-03T17:24:52,18,82,yes,52
107457,1775262350,2026-04-03T17:25:50,18,82,yes,52
111970,1775262614,2026-04-03T17:30:14,18,82,yes,47
112917,1775262659,2026-04-03T17:30:59,18,82,yes,73
118897,1775263057,2026-04-03T17:37:37,18,82,yes,23
121047,1775263218,2026-04-03T17:40:18,18,82,yes,21
125058,1775263491,2026-04-03T17:44:51,18,82,yes,26
130416,1775263785,2026-04-03T17:49:45,18,82,yes,10
132160,1775263890,2026-04-03T17:51:30,18,82,yes,3
133167,1775263941,2026-04-03T17:52:21,18,82,yes,1
133168,1775263941,2026-04-03T17:52:21,18,82,yes,4
136767,1775264089,2026-04-03T17:54:49,18,82,yes,78
137629,1775264113,2026-04-03T17:55:13,18,82,yes,52
139914,1775264181,2026-04-03T17:56:21,18,82,yes,26
147322,1775264617,2026-04-03T18:03:37,18,82,yes,26
151485,1775264942,2026-04-03T18:09:02,17,83,no,100
153770,1775265133,2026-04-03T18:12:13,18,82,yes,95
155527,1775265298,2026-04-03T18:14:58,18,82,yes,10
156166,1775265360,2026-04-03T18:16:00,18,82,yes,26
157269,1775265462,2026-04-03T18:17:42,18,82,yes,18
157270,1775265462,2026-04-03T18:17:42,18,82,yes,34
157971,1775265517,2026-04-03T18:18:37,18,82,yes,23
158831,1775265609,2026-04-03T18:20:09,17,83,no,50
158832,1775265609,2026-04-03T18:20:09,17,83,no,16
158924,1775265618,2026-04-03T18:20:18,17,83,yes,55
160874,1775265801,2026-04-03T18:23:21,17,83,yes,111
162717,1775265992,2026-04-03T18:26:32,17,83,yes,277
164176,1775266140,2026-04-03T18:29:00,17,83,yes,27
165334,1775266272,2026-04-03T18:31:12,17,83,yes,13
166608,1775266455,2026-04-03T18:34:15,17,83,yes,13
166774,1775266481,2026-04-03T18:34:41,17,83,yes,111
167286,1775266558,2026-04-03T18:35:58,17,83,yes,11
168160,1775266693,2026-04-03T18:38:13,17,83,yes,13
169217,1775266872,2026-04-03T18:41:12,17,83,yes,27
170026,1775266964,2026-04-03T18:42:44,17,83,yes,27
170775,1775267039,2026-04-03T18:43:59,16,84,no,20
171180,1775267067,2026-04-03T18:44:27,17,83,no,50
171314,1775267075,2026-04-03T18:44:35,17,83,no,50
172994,1775267208,2026-04-03T18:46:48,17,83,yes,275
172995,1775267208,2026-04-03T18:46:48,18,82,yes,2
174116,1775267346,2026-04-03T18:49:06,17,83,yes,27
175117,1775267488,2026-04-03T18:51:28,17,83,yes,100
176178,1775267584,2026-04-03T18:53:04,17,83,yes,5
178368,1775267784,2026-04-03T18:56:24,17,83,yes,11
180594,1775268061,2026-04-03T19:01:01,18,82,yes,50
181940,1775268263,2026-04-03T19:04:23,18,82,yes,50
182509,1775268360,2026-04-03T19:06:00,18,82,yes,52
184647,1775268638,2026-04-03T19:10:38,18,82,yes,239
186066,1775268821,2026-04-03T19:13:41,18,82,yes,26
186302,1775268852,2026-04-03T19:14:12,18,82,yes,163
186303,1775268852,2026-04-03T19:14:12,18,82,yes,27
187839,1775268982,2026-04-03T19:16:22,18,82,yes,74
187840,1775268982,2026-04-03T19:16:22,18,82,yes,64
187841,1775268982,2026-04-03T19:16:22,18,82,yes,364
188506,1775269030,2026-04-03T19:17:10,18,82,yes,10
188507,1775269030,2026-04-03T19:17:10,18,82,yes,11
188670,1775269040,2026-04-03T19:17:20,18,82,yes,68
188671,1775269040,2026-04-03T19:17:20,18,82,yes,37
190541,1775269198,2026-04-03T19:19:58,18,82,yes,5
190766,1775269221,2026-04-03T19:20:21,18,82,yes,210
191311,1775269278,2026-04-03T19:21:18,18,82,yes,105
191490,1775269297,2026-04-03T19:21:37,18,82,yes,100
191884,1775269347,2026-04-03T19:22:27,18,82,yes,60
192842,1775269450,2026-04-03T19:24:10,18,82,yes,52
193730,1775269544,2026-04-03T19:25:44,18,82,yes,50
194229,1775269604,2026-04-03T19:26:44,17,83,no,5
194676,1775269658,2026-04-03T19:27:38,18,82,yes,50
194844,1775269679,2026-04-03T19:27:59,18,82,yes,78
195067,1775269708,2026-04-03T19:28:28,18,82,yes,26
195264,1775269734,2026-04-03T19:28:54,18,82,yes,40
195798,1775269817,2026-04-03T19:30:17,18,82,yes,10
196322,1775269887,2026-04-03T19:31:27,18,82,yes,52
196552,1775269916,2026-04-03T19:31:56,18,82,yes,115
197488,1775270025,2026-04-03T19:33:45,18,82,yes,25
198035,1775270093,2026-04-03T19:34:53,18,82,yes,20
198040,1775270094,2026-04-03T19:34:54,18,82,yes,18
200994,1775270500,2026-04-03T19:41:40,18,82,yes,15
201148,1775270522,2026-04-03T19:42:02,18,82,yes,52
201240,1775270533,2026-04-03T19:42:13,18,82,yes,26
201396,1775270548,2026-04-03T19:42:28,18,82,yes,52
202290,1775270621,2026-04-03T19:43:41,18,82,yes,199
202356,1775270626,2026-04-03T19:43:46,18,82,yes,52
202362,1775270626,2026-04-03T19:43:46,18,82,yes,28
202678,1775270651,2026-04-03T19:44:11,18,82,yes,15
203689,1775270746,2026-04-03T19:45:46,18,82,yes,17
203821,1775270760,2026-04-03T19:46:00,18,82,yes,14
203822,1775270760,2026-04-03T19:46:00,18,82,yes,12
204087,1775270785,2026-04-03T19:46:25,18,82,yes,52
