Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2663,1775223262,2026-04-03T06:34:22,28,72,yes,32
22303,1775231679,2026-04-03T08:54:39,28,72,yes,20
24490,1775233937,2026-04-03T09:32:17,28,72,yes,3
24496,1775233954,2026-04-03T09:32:34,28,72,yes,3
24970,1775234849,2026-04-03T09:47:29,28,72,yes,14
24971,1775234849,2026-04-03T09:47:29,28,72,yes,71
24999,1775234902,2026-04-03T09:48:22,28,72,yes,3
26204,1775237119,2026-04-03T10:25:19,28,72,yes,10
26315,1775237369,2026-04-03T10:29:29,28,72,yes,17
27654,1775239517,2026-04-03T11:05:17,28,72,yes,16
27732,1775239655,2026-04-03T11:07:35,28,72,yes,64
28113,1775240189,2026-04-03T11:16:29,28,72,yes,3
29607,1775241961,2026-04-03T11:46:01,28,72,yes,34
38565,1775247379,2026-04-03T13:16:19,28,72,yes,17
42528,1775248727,2026-04-03T13:38:47,28,72,yes,34
45603,1775250013,2026-04-03T14:00:13,28,72,yes,3
45835,1775250256,2026-04-03T14:04:16,28,72,yes,34
46016,1775250479,2026-04-03T14:07:59,28,72,yes,64
46347,1775250844,2026-04-03T14:14:04,28,72,yes,53
46657,1775251150,2026-04-03T14:19:10,28,72,yes,10
47169,1775251685,2026-04-03T14:28:05,28,72,yes,85
47953,1775252458,2026-04-03T14:40:58,28,72,yes,19
48045,1775252531,2026-04-03T14:42:11,28,72,yes,8
48151,1775252619,2026-04-03T14:43:39,28,72,yes,3
48487,1775252881,2026-04-03T14:48:01,28,72,yes,34
48952,1775253294,2026-04-03T14:54:54,28,72,yes,85
49372,1775253664,2026-04-03T15:01:04,28,72,yes,17
49515,1775253758,2026-04-03T15:02:38,28,72,yes,54
49535,1775253767,2026-04-03T15:02:47,28,72,yes,17
50545,1775254470,2026-04-03T15:14:30,28,72,yes,6
51292,1775254965,2026-04-03T15:22:45,26,74,no,2
51654,1775255171,2026-04-03T15:26:11,28,72,yes,3
52012,1775255394,2026-04-03T15:29:54,28,72,yes,6
52088,1775255441,2026-04-03T15:30:41,28,72,yes,6
52376,1775255615,2026-04-03T15:33:35,28,72,yes,17
53981,1775256389,2026-04-03T15:46:29,28,72,yes,10
53982,1775256389,2026-04-03T15:46:29,28,72,yes,10
54954,1775256756,2026-04-03T15:52:36,28,72,yes,32
55520,1775256943,2026-04-03T15:55:43,28,72,yes,64
60826,1775258045,2026-04-03T16:14:05,28,72,yes,17
61238,1775258095,2026-04-03T16:14:55,28,72,yes,34
66698,1775258774,2026-04-03T16:26:14,28,72,yes,17
66889,1775258795,2026-04-03T16:26:35,28,72,yes,23
66890,1775258795,2026-04-03T16:26:35,28,72,yes,43
68341,1775258957,2026-04-03T16:29:17,28,72,yes,257
68342,1775258957,2026-04-03T16:29:17,28,72,yes,9
68409,1775258963,2026-04-03T16:29:23,28,72,yes,6
81563,1775260260,2026-04-03T16:51:00,28,72,yes,16
84201,1775260488,2026-04-03T16:54:48,28,72,yes,32
84456,1775260506,2026-04-03T16:55:06,28,72,yes,34
86943,1775260708,2026-04-03T16:58:28,28,72,yes,101
87483,1775260766,2026-04-03T16:59:26,28,72,yes,10
89235,1775260983,2026-04-03T17:03:03,28,72,yes,10
93630,1775261488,2026-04-03T17:11:28,28,72,yes,51
94974,1775261606,2026-04-03T17:13:26,28,72,yes,12
