Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
8172,1775311065,2026-04-04T06:57:45,19,81,yes,26
37746,1775315832,2026-04-04T08:17:12,18,82,no,9
70048,1775320027,2026-04-04T09:27:07,19,81,yes,75
70049,1775320027,2026-04-04T09:27:07,19,81,yes,11
70050,1775320027,2026-04-04T09:27:07,19,81,yes,4
75635,1775321440,2026-04-04T09:50:40,19,81,yes,49
76767,1775321702,2026-04-04T09:55:02,19,81,yes,947
76768,1775321702,2026-04-04T09:55:02,19,81,yes,172
77204,1775321793,2026-04-04T09:56:33,19,81,yes,18
78669,1775322139,2026-04-04T10:02:19,19,81,yes,49
95232,1775325024,2026-04-04T10:50:24,19,81,yes,10
110396,1775326957,2026-04-04T11:22:37,20,80,yes,7
113504,1775327250,2026-04-04T11:27:30,20,80,yes,47
114539,1775327407,2026-04-04T11:30:07,20,80,yes,116
114540,1775327407,2026-04-04T11:30:07,20,80,yes,56
114541,1775327407,2026-04-04T11:30:07,20,80,yes,64
122911,1775328509,2026-04-04T11:48:29,20,80,yes,14
127003,1775328920,2026-04-04T11:55:20,20,80,yes,155
150795,1775331238,2026-04-04T12:33:58,20,80,yes,23
161905,1775332258,2026-04-04T12:50:58,19,81,no,10
167081,1775332746,2026-04-04T12:59:06,20,80,yes,9
178018,1775334015,2026-04-04T13:20:15,19,81,yes,12
185397,1775334798,2026-04-04T13:33:18,19,81,yes,6
187469,1775335039,2026-04-04T13:37:19,19,81,yes,49
188729,1775335175,2026-04-04T13:39:35,19,81,yes,45
194108,1775335671,2026-04-04T13:47:51,19,81,yes,49
194967,1775335722,2026-04-04T13:48:42,19,81,yes,14
204259,1775336288,2026-04-04T13:58:08,19,81,yes,22
207434,1775336591,2026-04-04T14:03:11,19,81,yes,126
209607,1775336768,2026-04-04T14:06:08,19,81,yes,74
215698,1775337209,2026-04-04T14:13:29,20,80,yes,21
215758,1775337213,2026-04-04T14:13:33,20,80,yes,108
219204,1775337416,2026-04-04T14:16:56,20,80,yes,47
221025,1775337504,2026-04-04T14:18:24,20,80,yes,94
226169,1775337785,2026-04-04T14:23:05,20,80,yes,336
226170,1775337785,2026-04-04T14:23:05,20,80,yes,58
226171,1775337785,2026-04-04T14:23:05,20,80,yes,79
230323,1775338044,2026-04-04T14:27:24,20,80,yes,69
241911,1775338468,2026-04-04T14:34:28,20,80,yes,23
247762,1775338715,2026-04-04T14:38:35,20,80,yes,47
275455,1775339636,2026-04-04T14:53:56,20,80,yes,22
297124,1775340295,2026-04-04T15:04:55,20,80,yes,2
304790,1775340663,2026-04-04T15:11:03,20,80,yes,22
339011,1775342081,2026-04-04T15:34:41,20,80,yes,23
339440,1775342112,2026-04-04T15:35:12,20,80,yes,22
339950,1775342148,2026-04-04T15:35:48,20,80,yes,43
345820,1775342463,2026-04-04T15:41:03,20,80,yes,1
346143,1775342477,2026-04-04T15:41:17,20,80,yes,4
354568,1775342872,2026-04-04T15:47:52,20,80,yes,50
361936,1775343237,2026-04-04T15:53:57,20,80,yes,43
370888,1775343646,2026-04-04T16:00:46,20,80,yes,23
373013,1775343735,2026-04-04T16:02:15,20,80,yes,23
376954,1775343920,2026-04-04T16:05:20,20,80,yes,47
383334,1775344165,2026-04-04T16:09:25,20,80,yes,108
391002,1775344656,2026-04-04T16:17:36,20,80,yes,23
