Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
11452,1774015407,2026-03-20T07:03:27,,,yes,
12274,1774015604,2026-03-20T07:06:44,,,yes,
15423,1774016432,2026-03-20T07:20:32,,,yes,
25196,1774018784,2026-03-20T07:59:44,,,yes,
25203,1774018786,2026-03-20T07:59:46,,,yes,
25204,1774018786,2026-03-20T07:59:46,,,yes,
59371,1774023749,2026-03-20T09:22:29,,,yes,
63194,1774024141,2026-03-20T09:29:01,,,yes,
102282,1774027790,2026-03-20T10:29:50,,,yes,
194918,1774031873,2026-03-20T11:37:53,,,yes,
244763,1774034662,2026-03-20T12:24:22,,,yes,
250988,1774035013,2026-03-20T12:30:13,,,yes,
339231,1774039199,2026-03-20T13:39:59,,,yes,
346586,1774039675,2026-03-20T13:47:55,,,yes,
348908,1774039836,2026-03-20T13:50:36,,,yes,
420496,1774043724,2026-03-20T14:55:24,,,yes,
425205,1774044009,2026-03-20T15:00:09,,,yes,
434253,1774044524,2026-03-20T15:08:44,,,yes,
449690,1774045201,2026-03-20T15:20:01,,,yes,
457828,1774045502,2026-03-20T15:25:02,,,yes,
460175,1774045651,2026-03-20T15:27:31,,,yes,
468844,1774046258,2026-03-20T15:37:38,,,yes,
474486,1774046669,2026-03-20T15:44:29,,,yes,
474702,1774046684,2026-03-20T15:44:44,,,yes,
478639,1774046922,2026-03-20T15:48:42,,,yes,
492159,1774047871,2026-03-20T16:04:31,,,yes,
495743,1774048082,2026-03-20T16:08:02,,,yes,
497235,1774048176,2026-03-20T16:09:36,,,yes,
505722,1774048692,2026-03-20T16:18:12,,,yes,
520616,1774049608,2026-03-20T16:33:28,,,yes,
522450,1774049699,2026-03-20T16:34:59,,,yes,
523221,1774049730,2026-03-20T16:35:30,,,yes,
526011,1774049853,2026-03-20T16:37:33,,,yes,
550615,1774051244,2026-03-20T17:00:44,,,yes,
550616,1774051244,2026-03-20T17:00:44,,,yes,
572697,1774052387,2026-03-20T17:19:47,,,yes,
574178,1774052466,2026-03-20T17:21:06,,,yes,
574702,1774052495,2026-03-20T17:21:35,,,yes,
