Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
11026,1775311761,2026-04-04T07:09:21,24,76,yes,28
11027,1775311761,2026-04-04T07:09:21,24,76,yes,96
11028,1775311761,2026-04-04T07:09:21,24,76,yes,30
15827,1775312852,2026-04-04T07:27:32,25,75,yes,4
16120,1775312940,2026-04-04T07:29:00,25,75,yes,4
17689,1775313332,2026-04-04T07:35:32,24,76,no,10
17762,1775313352,2026-04-04T07:35:52,25,75,yes,7
22372,1775314068,2026-04-04T07:47:48,24,76,no,12
23052,1775314180,2026-04-04T07:49:40,24,76,no,15
25677,1775314582,2026-04-04T07:56:22,25,75,yes,35
25678,1775314582,2026-04-04T07:56:22,25,75,yes,965
26408,1775314715,2026-04-04T07:58:35,25,75,yes,50
30481,1775315051,2026-04-04T08:04:11,25,75,no,8
30754,1775315074,2026-04-04T08:04:34,26,74,no,2
31263,1775315128,2026-04-04T08:05:28,26,74,no,1
34047,1775315412,2026-04-04T08:10:12,26,74,yes,358
35502,1775315588,2026-04-04T08:13:08,27,73,yes,4
35774,1775315620,2026-04-04T08:13:40,26,74,no,13
36218,1775315666,2026-04-04T08:14:26,27,73,yes,96
36219,1775315666,2026-04-04T08:14:26,27,73,yes,80
37273,1775315778,2026-04-04T08:16:18,28,72,yes,17
37626,1775315821,2026-04-04T08:17:01,28,72,yes,6
39843,1775316079,2026-04-04T08:21:19,31,69,yes,18
39844,1775316079,2026-04-04T08:21:19,32,68,yes,30
39845,1775316079,2026-04-04T08:21:19,33,67,yes,11
40304,1775316129,2026-04-04T08:22:09,28,72,yes,266
41511,1775316220,2026-04-04T08:23:40,27,73,yes,1
41512,1775316220,2026-04-04T08:23:40,27,73,yes,16
41513,1775316220,2026-04-04T08:23:40,27,73,yes,17
42601,1775316276,2026-04-04T08:24:36,27,73,yes,7
43793,1775316355,2026-04-04T08:25:55,27,73,yes,20
44110,1775316380,2026-04-04T08:26:20,27,73,yes,1
44339,1775316402,2026-04-04T08:26:42,27,73,yes,25
44784,1775316452,2026-04-04T08:27:32,25,75,no,17
44785,1775316452,2026-04-04T08:27:32,24,76,no,18
44786,1775316452,2026-04-04T08:27:32,23,77,no,16
44787,1775316452,2026-04-04T08:27:32,21,79,no,60
44788,1775316452,2026-04-04T08:27:32,21,79,no,60
44789,1775316452,2026-04-04T08:27:32,21,79,no,150
44790,1775316452,2026-04-04T08:27:32,20,80,no,40
44797,1775316453,2026-04-04T08:27:33,17,83,yes,35
44806,1775316454,2026-04-04T08:27:34,17,83,yes,2
44819,1775316457,2026-04-04T08:27:37,14,86,no,2
44878,1775316463,2026-04-04T08:27:43,16,84,yes,1
44879,1775316463,2026-04-04T08:27:43,16,84,yes,28
44894,1775316465,2026-04-04T08:27:45,16,84,yes,5
44960,1775316471,2026-04-04T08:27:51,16,84,yes,23
45031,1775316477,2026-04-04T08:27:57,14,86,no,10
45032,1775316477,2026-04-04T08:27:57,14,86,no,8
45033,1775316477,2026-04-04T08:27:57,14,86,no,14
45065,1775316478,2026-04-04T08:27:58,14,86,no,26
45066,1775316478,2026-04-04T08:27:58,13,87,no,22
45067,1775316478,2026-04-04T08:27:58,13,87,no,1
45068,1775316478,2026-04-04T08:27:58,13,87,no,49
45087,1775316480,2026-04-04T08:28:00,12,88,no,200
45142,1775316482,2026-04-04T08:28:02,12,88,no,1
45143,1775316482,2026-04-04T08:28:02,12,88,no,22
45179,1775316487,2026-04-04T08:28:07,13,87,no,10
45180,1775316487,2026-04-04T08:28:07,12,88,no,1
45190,1775316489,2026-04-04T08:28:09,12,88,no,1
45191,1775316489,2026-04-04T08:28:09,12,88,no,22
45490,1775316520,2026-04-04T08:28:40,12,88,yes,1
45491,1775316520,2026-04-04T08:28:40,13,87,yes,11
45492,1775316520,2026-04-04T08:28:40,13,87,yes,2
45692,1775316535,2026-04-04T08:28:55,11,89,no,23
46044,1775316577,2026-04-04T08:29:37,11,89,no,6
46061,1775316580,2026-04-04T08:29:40,11,89,no,171
46062,1775316580,2026-04-04T08:29:40,11,89,no,60
46160,1775316594,2026-04-04T08:29:54,10,90,no,5
47068,1775316645,2026-04-04T08:30:45,9,91,yes,120
47089,1775316647,2026-04-04T08:30:47,8,92,no,1
47101,1775316647,2026-04-04T08:30:47,9,91,yes,50
47129,1775316651,2026-04-04T08:30:51,9,91,yes,3
47130,1775316651,2026-04-04T08:30:51,9,91,yes,60
47177,1775316655,2026-04-04T08:30:55,9,91,yes,3
47178,1775316655,2026-04-04T08:30:55,9,91,yes,60
47184,1775316655,2026-04-04T08:30:55,10,90,yes,94
47262,1775316662,2026-04-04T08:31:02,9,91,yes,3
47263,1775316662,2026-04-04T08:31:02,9,91,yes,60
47268,1775316662,2026-04-04T08:31:02,10,90,yes,50
47484,1775316684,2026-04-04T08:31:24,9,91,yes,3
47485,1775316684,2026-04-04T08:31:24,9,91,yes,35
47504,1775316686,2026-04-04T08:31:26,9,91,yes,43
47519,1775316687,2026-04-04T08:31:27,9,91,yes,43
47531,1775316689,2026-04-04T08:31:29,9,91,yes,43
47562,1775316692,2026-04-04T08:31:32,9,91,yes,43
47573,1775316694,2026-04-04T08:31:34,9,91,yes,43
47583,1775316695,2026-04-04T08:31:35,9,91,yes,35
