ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773592498,45,44,45,131,46,500,47,2824,48,325,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7216,7400
1773592499,45,44,45,131,46,500,47,2824,48,325,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7216,7400
1773592500,45,44,45,131,46,500,47,2824,48,325,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7216,7400
1773592501,45,44,45,131,46,500,47,2824,48,325,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7216,7400
1773592502,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
1773592503,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
1773592504,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
1773592505,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
1773592506,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
1773592507,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
1773592508,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
1773592509,45,44,45,131,46,500,47,2824,48,845,49,0,50,528,51,720,52,0,53,0,54,0,55,2188,44,1311,43,674,42,2000,41,0,40,0,39,0,38,991,37,1924,36,500,35,0,34,0,7736,7400
