ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774199099,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199100,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199101,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199102,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199103,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199104,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199105,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199106,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199107,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199108,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199109,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199110,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199111,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199112,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199113,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199114,60,59,60,3,61,2190,62,2705,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,8715,20218
1774199115,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199116,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199117,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199118,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199119,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199120,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199121,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199122,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199123,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199124,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199125,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199126,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199127,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199128,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199129,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199130,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199131,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199132,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199133,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199134,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199135,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
1774199136,60,59,60,3,61,937,62,2658,63,1000,64,5,65,800,66,461,67,1051,68,500,69,0,70,0,59,663,58,1231,57,1365,56,1584,55,1200,54,1407,53,1605,52,3025,51,2000,50,3738,49,2400,7415,20218
