ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,8593,-0.1948,12752,12752,39,14,49,48,1
1773520176,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,12752,12752,39,15,49,48,1
1773520177,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,12752,12752,39,15,49,48,1
1773520178,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,12752,39,15,49,48,1
1773520179,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,12752,39,15,49,48,1
1773520180,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,12752,39,15,49,48,1
1773520181,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,12752,39,15,49,48,1
1773520182,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,12752,39,15,49,48,1
1773520183,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,12752,39,15,49,48,1
1773520184,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,12752,39,15,49,48,1
1773520185,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520186,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520187,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520188,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520189,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520190,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520191,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520192,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520193,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520194,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520195,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520196,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520197,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520198,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520199,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12752,9593,-0.1414,0,0,39,15,49,48,1
1773520200,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12883,9593,-0.1464,131,131,38,15,49,48,1
1773520201,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12775,9593,-0.1423,23,23,37,15,49,48,1
1773520202,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,6658,-0.3141,4,4,38,12,49,48,1
1773520203,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9756,9658,-0.005,-3127,-2996,38,14,49,48,1
1773520204,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,9658,-0.0538,-2019,-1996,38,14,49,48,1
1773520205,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,9658,-0.0538,-2000,-1996,38,14,49,48,1
1773520206,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,3000,4,38,14,49,48,1
1773520207,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,2000,4,38,14,49,48,1
1773520208,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,2000,4,38,14,49,48,1
1773520209,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,4,38,14,49,48,1
1773520210,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,-127,38,14,49,48,1
1773520211,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,-19,38,15,49,48,1
1773520212,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,0,38,15,49,48,1
1773520213,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,3000,38,15,49,48,1
1773520214,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,2000,38,15,49,48,1
1773520215,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,2000,38,15,49,48,1
1773520216,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,0,38,15,49,48,1
1773520217,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,0,38,15,49,48,1
1773520218,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,0,38,15,49,48,1
1773520219,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,0,38,15,49,48,1
1773520220,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,0,38,15,49,48,1
1773520221,48,51,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12756,9658,-0.1382,0,0,38,15,49,48,1
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,12281,12281,39,14,48,38,10
1773521002,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,12281,12281,39,14,48,38,10
1773521003,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,12281,12281,39,14,48,38,10
1773521004,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,12281,39,14,48,38,10
1773521005,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,12281,39,14,48,38,10
1773521006,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,12281,39,14,48,38,10
1773521007,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,12281,39,14,48,38,10
1773521008,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,12281,39,14,48,38,10
1773521009,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,12281,39,14,48,38,10
1773521010,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,12281,39,14,48,38,10
1773521011,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,0,39,14,48,38,10
1773521012,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,0,39,14,48,38,10
1773521013,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,0,39,14,48,38,10
1773521014,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12281,9579,-0.1236,0,0,39,14,48,38,10
1773521015,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9590,-0.124,24,24,39,14,48,38,10
1773521016,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,24,24,39,14,48,38,10
1773521017,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,24,24,39,14,48,38,10
1773521018,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,24,39,14,48,38,10
1773521019,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,24,39,14,48,38,10
1773521020,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,24,39,14,48,38,10
1773521021,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,24,39,14,48,38,10
1773521022,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,24,39,14,48,38,10
1773521023,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,24,39,14,48,38,10
1773521024,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,24,39,14,48,38,10
1773521025,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521026,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521027,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521028,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521029,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521030,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521031,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521032,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521033,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521034,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12305,9585,-0.1243,0,0,39,14,48,38,10
1773521035,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9586,-0.1242,1,1,39,14,48,38,10
1773521036,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9586,-0.1242,1,1,39,14,48,38,10
1773521037,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9169,-0.1461,1,1,39,13,48,38,10
1773521038,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9590,-0.124,0,1,39,14,48,38,10
1773521039,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9590,-0.124,0,1,39,14,48,38,10
1773521040,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,1,39,14,48,38,10
1773521041,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,1,39,14,48,38,10
1773521042,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,1,39,14,48,38,10
1773521043,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,1,39,14,48,38,10
1773521044,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,1,39,14,48,38,10
1773521045,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,0,39,14,48,38,10
1773521046,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,0,39,14,48,38,10
1773521047,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,0,39,14,48,38,10
1773521048,38,52,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12306,9595,-0.1238,0,0,39,14,48,38,10
