ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773520173,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520174,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773520175,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9135,-0.1478,12303,12303,32,13,60,56,4
1773520176,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,12303,12303,32,14,60,56,4
1773520177,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,12303,12303,32,14,60,56,4
1773520178,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,12303,32,14,60,56,4
1773520179,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,12303,32,14,60,56,4
1773520180,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,12303,32,14,60,56,4
1773520181,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,12303,32,14,60,56,4
1773520182,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,12303,32,14,60,56,4
1773520183,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,12303,32,14,60,56,4
1773520184,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,12303,32,14,60,56,4
1773520185,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9124,-0.1484,0,0,32,14,60,56,4
1773520186,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520187,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520188,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520189,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520190,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520191,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520192,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520193,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520194,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520195,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520196,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9116,-0.1488,0,0,32,14,60,56,4
1773520197,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520198,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520199,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520200,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520201,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520202,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520203,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520204,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520205,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520206,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520207,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520208,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520209,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520210,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520211,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520212,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9108,-0.1492,0,0,32,14,60,56,4
1773520213,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,9129,-0.1481,0,0,32,14,60,56,4
1773520214,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,9303,7575,-0.1024,-3000,-3000,32,13,60,56,4
1773520215,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,8964,-0.157,0,0,32,14,60,56,4
1773520216,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,8964,-0.157,0,0,32,14,60,56,4
1773520217,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,8964,-0.157,3000,0,32,14,60,56,4
1773520218,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,8964,-0.157,0,0,32,14,60,56,4
1773520219,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,8964,-0.157,0,0,32,14,60,56,4
1773520220,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,8964,-0.157,0,0,32,14,60,56,4
1773520221,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12303,8964,-0.157,0,0,32,14,60,56,4
ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773521000,,,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1773521001,37,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11474,8971,-0.1224,11474,11474,30,14,42,37,5
1773521002,38,57,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,10514,9471,-0.0522,10514,10514,29,15,43,38,5
1773521003,38,57,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,11514,9441,-0.0989,11514,11514,30,15,43,38,5
1773521004,38,57,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,11514,9441,-0.0989,40,11514,30,15,43,38,5
1773521005,38,58,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,11695,9487,-0.1042,1181,11695,30,16,42,38,4
1773521006,36,58,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,11715,8511,-0.1584,201,11715,31,14,42,36,6
1773521007,36,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11714,9521,-0.1033,200,11714,31,15,42,36,6
1773521008,36,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11714,9521,-0.1033,19,11714,31,15,42,36,6
1773521009,36,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11714,9521,-0.1033,-1,11714,31,15,42,36,6
1773521010,36,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11714,9521,-0.1033,0,11714,31,15,42,36,6
1773521011,36,58,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11647,9521,-0.1004,-67,173,31,15,42,36,6
1773521012,36,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10443,8520,-0.1014,-1271,-71,31,14,41,36,5
1773521013,36,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,9484,9520,0.0019,-2230,-2030,32,15,41,36,5
1773521014,36,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,9484,9489,0.0003,-2163,-2030,33,15,41,36,5
1773521015,35,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11515,9549,-0.0933,1072,-180,33,15,41,35,6
1773521016,36,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11485,9515,-0.0938,2001,-230,33,17,41,36,5
1773521017,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8485,9515,0.0572,-999,-3229,31,17,41,37,4
1773521018,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10485,9490,-0.0498,-1030,-1229,31,16,41,37,4
1773521019,35,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10485,9566,-0.0458,-1000,-1229,31,16,41,35,6
1773521020,36,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10622,9516,-0.0549,2137,-1092,32,17,41,36,5
1773521021,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10475,9503,-0.0487,-10,-1172,31,14,41,37,4
1773521022,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10622,9501,-0.0557,137,179,32,17,41,37,4
1773521023,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8532,9500,0.0537,-2090,-952,30,16,41,37,4
1773521024,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10553,9516,-0.0517,78,1069,31,16,41,37,4
1773521025,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,8690,9516,0.0454,-1932,-2825,32,16,41,37,4
1773521026,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11553,9516,-0.0967,3021,68,32,16,41,37,4
1773521027,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11553,9516,-0.0967,1000,3068,32,17,41,37,4
1773521028,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11565,9517,-0.0971,2875,1080,32,17,41,37,4
1773521029,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,10544,9517,-0.0512,-1009,59,31,17,41,37,4
1773521030,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,11545,9518,-0.0962,-8,923,32,17,41,37,4
1773521031,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,9682,9539,-0.0074,-1883,-793,32,17,41,37,4
1773521032,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11547,9541,-0.0951,1003,925,31,17,41,37,4
1773521033,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10545,9542,-0.0499,-1000,2013,30,17,41,37,4
1773521034,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11545,9542,-0.095,1863,992,31,17,41,37,4
1773521035,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11682,9522,-0.1019,135,2992,32,17,41,37,4
1773521036,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11569,8556,-0.1497,1024,16,30,16,41,37,4
1773521037,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11569,9566,-0.0948,24,16,30,17,41,37,4
1773521038,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11569,9566,-0.0948,-113,4,30,17,41,37,4
1773521040,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11571,9525,-0.097,2,26,31,16,41,37,4
1773521041,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11573,9490,-0.0989,4,1891,31,16,41,37,4
1773521042,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11573,9490,-0.0989,2,26,31,16,41,37,4
1773521043,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11573,9490,-0.0989,2,1028,31,16,41,37,4
1773521044,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8573,9487,0.0506,-3000,-2972,30,16,41,37,4
1773521045,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,8571,9487,0.0507,-3002,-3111,29,16,41,37,4
1773521046,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11573,9487,-0.0991,0,4,31,16,41,37,4
1773521047,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11573,9525,-0.0971,3000,4,31,16,41,37,4
1773521048,37,59,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,11573,9490,-0.0989,3002,4,31,16,41,37,4
