ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774042499,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7791,-0.1599,0,0,38,13,37,33,4
1774042500,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7791,-0.1599,0,0,38,13,37,33,4
1774042501,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10809,7556,-0.1771,53,53,38,13,37,33,4
1774042502,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10809,7848,-0.1587,53,53,38,13,37,33,4
1774042503,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7606,-0.1715,0,0,38,13,37,33,4
1774042504,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7707,-0.1651,-53,0,38,13,37,33,4
1774042505,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7707,-0.1651,-53,0,38,13,37,33,4
1774042506,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7707,-0.1651,0,0,38,13,37,33,4
1774042507,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7707,-0.1651,0,0,38,13,37,33,4
1774042508,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10756,7547,-0.1753,0,0,38,13,37,33,4
1774042509,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10809,7928,-0.1538,53,53,38,13,37,33,4
1774042510,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10809,7928,-0.1538,53,53,38,13,37,33,4
1774042511,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10877,7923,-0.1571,121,68,38,13,37,33,4
1774042512,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10869,7556,-0.1798,60,60,38,13,37,33,4
1774042513,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10801,7556,-0.1768,-8,45,38,13,37,33,4
1774042514,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10838,7608,-0.1751,-39,82,38,13,37,33,4
1774042515,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10838,7710,-0.1686,-31,82,38,13,37,33,4
1774042516,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10838,8109,-0.144,37,82,38,13,37,33,4
1774042517,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10838,8109,-0.144,0,82,38,13,37,33,4
1774042518,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10838,7562,-0.178,0,82,38,13,37,33,4
1774042519,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10793,7562,-0.176,-45,-16,38,13,37,33,4
1774042520,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10793,7562,-0.176,-45,-16,38,13,37,33,4
1774042521,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10293,7562,-0.153,-545,-584,37,13,37,33,4
1774042522,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10293,7562,-0.153,-500,-576,37,13,37,33,4
1774042523,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,-494,-502,36,12,37,33,4
1774042524,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,6,-539,36,12,37,33,4
1774042525,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,6,-539,36,12,37,33,4
1774042526,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,-539,36,12,37,33,4
1774042527,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,-539,36,12,37,33,4
1774042528,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,-539,36,12,37,33,4
1774042529,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,-494,36,12,37,33,4
1774042530,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,-494,36,12,37,33,4
1774042531,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,6,36,12,37,33,4
1774042532,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,6,36,12,37,33,4
1774042533,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042534,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042535,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042536,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042537,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042538,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042539,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042540,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042541,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042542,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042543,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
1774042544,33,63,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,10299,7403,-0.1636,0,0,36,12,37,33,4
