ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774046399,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046400,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046401,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046402,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046403,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046404,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046405,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046406,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046407,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046408,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046409,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046410,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046411,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046412,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046413,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046414,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046415,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046416,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046417,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046418,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046419,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046420,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046421,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046422,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046423,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046424,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046425,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046426,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046427,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046428,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046429,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046430,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046431,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046432,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046433,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046434,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046435,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046436,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046437,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046438,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046439,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046440,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046441,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046442,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046443,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046444,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046445,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046446,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046447,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046448,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046449,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12562,9679,-0.1296,0,0,26,19,65,60,5
1774046450,60,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,-1,-1,26,19,65,60,5
1774046451,60,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,-1,-1,26,19,65,60,5
1774046452,60,35,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,-1,-1,26,19,65,60,5
1774046453,60,35,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,-1,26,19,65,60,5
1774046454,60,35,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,-1,26,19,65,60,5
1774046455,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,-1,26,19,65,60,5
1774046456,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,-1,26,19,65,60,5
1774046457,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,-1,26,19,65,60,5
1774046458,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,-1,26,19,65,60,5
1774046459,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,-1,26,19,65,60,5
1774046460,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,0,26,19,65,60,5
1774046461,60,35,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12561,9679,-0.1296,0,0,26,19,65,60,5
