ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1774053599,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12244,9553,-0.1235,0,0,28,23,60,56,4
1774053600,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12244,9553,-0.1235,0,0,28,23,60,56,4
1774053601,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12244,9553,-0.1235,0,0,28,23,60,56,4
1774053602,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,12244,9553,-0.1235,0,0,28,23,60,56,4
1774053603,56,40,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,11412,9588,-0.0869,-832,-832,28,23,60,56,4
1774053604,56,40,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12017,7629,-0.2234,-227,-227,28,21,60,56,4
1774053605,56,40,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12249,7698,-0.2282,5,5,29,20,60,56,4
1774053606,56,40,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,842,10,29,21,60,56,4
1774053607,56,40,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,237,10,29,21,60,56,4
1774053608,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,5,10,29,21,60,56,4
1774053609,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,10,29,21,60,56,4
1774053610,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,10,29,21,60,56,4
1774053611,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,10,29,21,60,56,4
1774053612,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,10,29,21,60,56,4
1774053613,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,842,29,21,60,56,4
1774053614,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,237,29,21,60,56,4
1774053615,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,5,29,21,60,56,4
1774053616,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053617,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053618,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053619,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053620,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053621,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053622,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053623,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053624,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053625,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053626,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053627,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053628,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053629,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053630,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
1774053631,56,40,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,0,0,0,12254,9673,-0.1177,0,0,29,21,60,56,4
