Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
86,1773521163,2026-03-14T13:46:03,,,no,
175,1773521172,2026-03-14T13:46:12,,,no,
176,1773521172,2026-03-14T13:46:12,,,no,
177,1773521172,2026-03-14T13:46:12,,,no,
178,1773521172,2026-03-14T13:46:12,,,no,
2335,1773521389,2026-03-14T13:49:49,,,yes,
2494,1773521407,2026-03-14T13:50:07,,,yes,
2618,1773521421,2026-03-14T13:50:21,,,yes,
2815,1773521440,2026-03-14T13:50:40,,,yes,
2817,1773521440,2026-03-14T13:50:40,,,yes,
2895,1773521447,2026-03-14T13:50:47,,,yes,
2896,1773521447,2026-03-14T13:50:47,,,yes,
4912,1773521615,2026-03-14T13:53:35,,,yes,
4913,1773521615,2026-03-14T13:53:35,,,yes,
4914,1773521615,2026-03-14T13:53:35,,,yes,
5172,1773521637,2026-03-14T13:53:57,,,yes,
5492,1773521669,2026-03-14T13:54:29,,,yes,
5493,1773521669,2026-03-14T13:54:29,,,yes,
5815,1773521693,2026-03-14T13:54:53,,,yes,
5876,1773521698,2026-03-14T13:54:58,,,yes,
5878,1773521698,2026-03-14T13:54:58,,,yes,
5881,1773521698,2026-03-14T13:54:58,,,yes,
5882,1773521698,2026-03-14T13:54:58,,,yes,
5883,1773521698,2026-03-14T13:54:58,,,yes,
5884,1773521698,2026-03-14T13:54:58,,,yes,
5885,1773521698,2026-03-14T13:54:58,,,yes,
5886,1773521698,2026-03-14T13:54:58,,,yes,
5887,1773521698,2026-03-14T13:54:58,,,yes,
5888,1773521698,2026-03-14T13:54:58,,,yes,
6746,1773521771,2026-03-14T13:56:11,,,yes,
6747,1773521771,2026-03-14T13:56:11,,,yes,
6926,1773521789,2026-03-14T13:56:29,,,yes,
7138,1773521806,2026-03-14T13:56:46,,,no,
7472,1773521836,2026-03-14T13:57:16,,,no,
8620,1773521936,2026-03-14T13:58:56,,,yes,
9766,1773522037,2026-03-14T14:00:37,,,no,
9767,1773522037,2026-03-14T14:00:37,,,no,
9768,1773522037,2026-03-14T14:00:37,,,no,
9769,1773522037,2026-03-14T14:00:37,,,no,
