Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
552,1773521055,2026-03-14T13:44:15,,,no,
553,1773521055,2026-03-14T13:44:15,,,no,
595,1773521058,2026-03-14T13:44:18,,,yes,
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
260,1773521176,2026-03-14T13:46:16,,,yes,
764,1773521223,2026-03-14T13:47:03,,,no,
765,1773521223,2026-03-14T13:47:03,,,no,
1575,1773521314,2026-03-14T13:48:34,,,no,
2962,1773521453,2026-03-14T13:50:53,,,yes,
3575,1773521511,2026-03-14T13:51:51,,,no,
5802,1773521692,2026-03-14T13:54:52,,,yes,
5986,1773521704,2026-03-14T13:55:04,,,yes,
6226,1773521722,2026-03-14T13:55:22,,,yes,
7092,1773521802,2026-03-14T13:56:42,,,yes,
7098,1773521802,2026-03-14T13:56:42,,,yes,
8314,1773521907,2026-03-14T13:58:27,,,yes,
8315,1773521907,2026-03-14T13:58:27,,,yes,
8371,1773521912,2026-03-14T13:58:32,,,yes,
8489,1773521925,2026-03-14T13:58:45,,,yes,
9219,1773521987,2026-03-14T13:59:47,,,yes,
9220,1773521987,2026-03-14T13:59:47,,,yes,
9867,1773522045,2026-03-14T14:00:45,,,yes,
9873,1773522045,2026-03-14T14:00:45,,,yes,
9874,1773522045,2026-03-14T14:00:45,,,yes,
9875,1773522045,2026-03-14T14:00:45,,,yes,
9876,1773522045,2026-03-14T14:00:45,,,yes,
9877,1773522045,2026-03-14T14:00:45,,,yes,
9878,1773522045,2026-03-14T14:00:45,,,yes,
9879,1773522045,2026-03-14T14:00:45,,,yes,
9880,1773522045,2026-03-14T14:00:45,,,yes,
9966,1773522050,2026-03-14T14:00:50,,,yes,
9967,1773522050,2026-03-14T14:00:50,,,yes,
10083,1773522060,2026-03-14T14:01:00,,,yes,
10203,1773522071,2026-03-14T14:01:11,,,yes,
10306,1773522081,2026-03-14T14:01:21,,,yes,
10458,1773522093,2026-03-14T14:01:33,,,yes,
10614,1773522109,2026-03-14T14:01:49,,,yes,
10620,1773522109,2026-03-14T14:01:49,,,no,
11095,1773522147,2026-03-14T14:02:27,,,yes,
11096,1773522147,2026-03-14T14:02:27,,,yes,
12408,1773522236,2026-03-14T14:03:56,,,yes,
12409,1773522236,2026-03-14T14:03:56,,,yes,
15015,1773522423,2026-03-14T14:07:03,,,yes,
16564,1773522534,2026-03-14T14:08:54,,,yes,
16829,1773522557,2026-03-14T14:09:17,,,yes,
17035,1773522575,2026-03-14T14:09:35,,,no,
19636,1773522785,2026-03-14T14:13:05,,,yes,
20194,1773522838,2026-03-14T14:13:58,,,yes,
21464,1773522928,2026-03-14T14:15:28,,,no,
23035,1773523038,2026-03-14T14:17:18,,,yes,
23039,1773523039,2026-03-14T14:17:19,,,yes,
27123,1773523259,2026-03-14T14:20:59,,,no,
27175,1773523263,2026-03-14T14:21:03,,,yes,
27176,1773523263,2026-03-14T14:21:03,,,yes,
27177,1773523263,2026-03-14T14:21:03,,,yes,
27178,1773523263,2026-03-14T14:21:03,,,yes,
27179,1773523263,2026-03-14T14:21:03,,,yes,
27180,1773523263,2026-03-14T14:21:03,,,yes,
27846,1773523316,2026-03-14T14:21:56,,,no,
28516,1773523376,2026-03-14T14:22:56,,,yes,
28596,1773523384,2026-03-14T14:23:04,,,yes,
30763,1773523557,2026-03-14T14:25:57,,,yes,
30985,1773523575,2026-03-14T14:26:15,,,yes,
33619,1773523765,2026-03-14T14:29:25,,,yes,
34392,1773523832,2026-03-14T14:30:32,,,yes,
34398,1773523833,2026-03-14T14:30:33,,,yes,
34399,1773523833,2026-03-14T14:30:33,,,yes,
34608,1773523855,2026-03-14T14:30:55,,,yes,
35134,1773523906,2026-03-14T14:31:46,,,yes,
35624,1773523945,2026-03-14T14:32:25,,,yes,
36627,1773524008,2026-03-14T14:33:28,,,yes,
36628,1773524008,2026-03-14T14:33:28,,,yes,
36670,1773524010,2026-03-14T14:33:30,,,yes,
36709,1773524012,2026-03-14T14:33:32,,,yes,
36948,1773524026,2026-03-14T14:33:46,,,yes,
36971,1773524029,2026-03-14T14:33:49,,,yes,
38073,1773524112,2026-03-14T14:35:12,,,yes,
38074,1773524112,2026-03-14T14:35:12,,,yes,
38075,1773524112,2026-03-14T14:35:12,,,yes,
38076,1773524112,2026-03-14T14:35:12,,,yes,
38185,1773524122,2026-03-14T14:35:22,,,yes,
38281,1773524132,2026-03-14T14:35:32,,,yes,
38327,1773524137,2026-03-14T14:35:37,,,yes,
38385,1773524141,2026-03-14T14:35:41,,,yes,
38733,1773524170,2026-03-14T14:36:10,,,yes,
38734,1773524170,2026-03-14T14:36:10,,,yes,
38833,1773524178,2026-03-14T14:36:18,,,yes,
38834,1773524178,2026-03-14T14:36:18,,,yes,
39328,1773524218,2026-03-14T14:36:58,,,yes,
39329,1773524218,2026-03-14T14:36:58,,,yes,
39425,1773524228,2026-03-14T14:37:08,,,yes,
40036,1773524287,2026-03-14T14:38:07,,,yes,
40637,1773524349,2026-03-14T14:39:09,,,yes,
40638,1773524349,2026-03-14T14:39:09,,,yes,
40639,1773524349,2026-03-14T14:39:09,,,yes,
40640,1773524349,2026-03-14T14:39:09,,,yes,
40727,1773524357,2026-03-14T14:39:17,,,yes,
40728,1773524357,2026-03-14T14:39:17,,,yes,
40752,1773524358,2026-03-14T14:39:18,,,yes,
40753,1773524358,2026-03-14T14:39:18,,,yes,
40966,1773524370,2026-03-14T14:39:30,,,yes,
40967,1773524370,2026-03-14T14:39:30,,,yes,
40968,1773524370,2026-03-14T14:39:30,,,yes,
40969,1773524370,2026-03-14T14:39:30,,,yes,
42035,1773524469,2026-03-14T14:41:09,,,no,
42036,1773524469,2026-03-14T14:41:09,,,no,
42037,1773524469,2026-03-14T14:41:09,,,no,
42509,1773524517,2026-03-14T14:41:57,,,yes,
45277,1773524718,2026-03-14T14:45:18,,,no,
45337,1773524724,2026-03-14T14:45:24,,,yes,
45400,1773524730,2026-03-14T14:45:30,,,yes,
45401,1773524730,2026-03-14T14:45:30,,,yes,
45402,1773524730,2026-03-14T14:45:30,,,yes,
45403,1773524730,2026-03-14T14:45:30,,,yes,
45404,1773524730,2026-03-14T14:45:30,,,yes,
45551,1773524742,2026-03-14T14:45:42,,,yes,
47016,1773524878,2026-03-14T14:47:58,,,no,
47017,1773524878,2026-03-14T14:47:58,,,no,
47067,1773524879,2026-03-14T14:47:59,,,yes,
47247,1773524893,2026-03-14T14:48:13,,,yes,
47875,1773524937,2026-03-14T14:48:57,,,yes,
47876,1773524937,2026-03-14T14:48:57,,,yes,
47877,1773524937,2026-03-14T14:48:57,,,yes,
48343,1773524977,2026-03-14T14:49:37,,,yes,
49555,1773525053,2026-03-14T14:50:53,,,no,
49695,1773525059,2026-03-14T14:50:59,,,no,
49696,1773525059,2026-03-14T14:50:59,,,no,
49755,1773525061,2026-03-14T14:51:01,,,yes,
55395,1773525314,2026-03-14T14:55:14,,,no,
55984,1773525349,2026-03-14T14:55:49,,,no,
56456,1773525375,2026-03-14T14:56:15,,,no,
58330,1773525464,2026-03-14T14:57:44,,,yes,
58331,1773525464,2026-03-14T14:57:44,,,yes,
58333,1773525464,2026-03-14T14:57:44,,,no,
58468,1773525471,2026-03-14T14:57:51,,,yes,
58498,1773525472,2026-03-14T14:57:52,,,yes,
58529,1773525474,2026-03-14T14:57:54,,,yes,
58647,1773525480,2026-03-14T14:58:00,,,yes,
58683,1773525482,2026-03-14T14:58:02,,,yes,
59039,1773525496,2026-03-14T14:58:16,,,yes,
59166,1773525503,2026-03-14T14:58:23,,,yes,
63608,1773525802,2026-03-14T15:03:22,,,yes,
63731,1773525809,2026-03-14T15:03:29,,,yes,
63780,1773525811,2026-03-14T15:03:31,,,yes,
63872,1773525814,2026-03-14T15:03:34,,,yes,
63917,1773525816,2026-03-14T15:03:36,,,yes,
63935,1773525817,2026-03-14T15:03:37,,,yes,
64269,1773525835,2026-03-14T15:03:55,,,yes,
65489,1773525912,2026-03-14T15:05:12,,,yes,
66390,1773525979,2026-03-14T15:06:19,,,yes,
66445,1773525982,2026-03-14T15:06:22,,,yes,
66446,1773525982,2026-03-14T15:06:22,,,yes,
66447,1773525982,2026-03-14T15:06:22,,,yes,
67208,1773526031,2026-03-14T15:07:11,,,yes,
67282,1773526034,2026-03-14T15:07:14,,,yes,
67622,1773526050,2026-03-14T15:07:30,,,yes,
67971,1773526061,2026-03-14T15:07:41,,,yes,
67972,1773526061,2026-03-14T15:07:41,,,yes,
67973,1773526061,2026-03-14T15:07:41,,,yes,
67974,1773526061,2026-03-14T15:07:41,,,yes,
68193,1773526069,2026-03-14T15:07:49,,,yes,
68194,1773526069,2026-03-14T15:07:49,,,yes,
69230,1773526157,2026-03-14T15:09:17,,,yes,
69231,1773526157,2026-03-14T15:09:17,,,yes,
69232,1773526157,2026-03-14T15:09:17,,,yes,
69233,1773526157,2026-03-14T15:09:17,,,yes,
69234,1773526157,2026-03-14T15:09:17,,,yes,
69235,1773526157,2026-03-14T15:09:17,,,yes,
69236,1773526157,2026-03-14T15:09:17,,,yes,
69237,1773526157,2026-03-14T15:09:17,,,yes,
72512,1773526449,2026-03-14T15:14:09,,,yes,
73662,1773526564,2026-03-14T15:16:04,,,yes,
73663,1773526564,2026-03-14T15:16:04,,,yes,
73760,1773526571,2026-03-14T15:16:11,,,yes,
73804,1773526574,2026-03-14T15:16:14,,,yes,
73805,1773526574,2026-03-14T15:16:14,,,yes,
73806,1773526574,2026-03-14T15:16:14,,,yes,
73807,1773526574,2026-03-14T15:16:14,,,yes,
73808,1773526574,2026-03-14T15:16:14,,,yes,
73809,1773526574,2026-03-14T15:16:14,,,yes,
73811,1773526575,2026-03-14T15:16:15,,,no,
74252,1773526615,2026-03-14T15:16:55,,,yes,
74445,1773526633,2026-03-14T15:17:13,,,yes,
74446,1773526633,2026-03-14T15:17:13,,,yes,
74536,1773526638,2026-03-14T15:17:18,,,yes,
74908,1773526668,2026-03-14T15:17:48,,,yes,
76191,1773526775,2026-03-14T15:19:35,,,no,
76695,1773526822,2026-03-14T15:20:22,,,no,
76696,1773526822,2026-03-14T15:20:22,,,no,
77212,1773526870,2026-03-14T15:21:10,,,yes,
77213,1773526870,2026-03-14T15:21:10,,,yes,
77435,1773526896,2026-03-14T15:21:36,,,yes,
77665,1773526922,2026-03-14T15:22:02,,,yes,
79126,1773527034,2026-03-14T15:23:54,,,yes,
79127,1773527034,2026-03-14T15:23:54,,,yes,
79128,1773527034,2026-03-14T15:23:54,,,yes,
79129,1773527034,2026-03-14T15:23:54,,,yes,
79130,1773527034,2026-03-14T15:23:54,,,yes,
79131,1773527034,2026-03-14T15:23:54,,,yes,
79132,1773527034,2026-03-14T15:23:54,,,yes,
79133,1773527034,2026-03-14T15:23:54,,,yes,
79134,1773527034,2026-03-14T15:23:54,,,yes,
79135,1773527034,2026-03-14T15:23:54,,,yes,
79136,1773527034,2026-03-14T15:23:54,,,yes,
79137,1773527034,2026-03-14T15:23:54,,,yes,
79350,1773527060,2026-03-14T15:24:20,,,yes,
79806,1773527105,2026-03-14T15:25:05,,,no,
79962,1773527120,2026-03-14T15:25:20,,,no,
79963,1773527120,2026-03-14T15:25:20,,,no,
80372,1773527159,2026-03-14T15:25:59,,,yes,
81296,1773527255,2026-03-14T15:27:35,,,yes,
81297,1773527255,2026-03-14T15:27:35,,,yes,
81323,1773527258,2026-03-14T15:27:38,,,yes,
81542,1773527283,2026-03-14T15:28:03,,,yes,
81723,1773527303,2026-03-14T15:28:23,,,yes,
81940,1773527325,2026-03-14T15:28:45,,,yes,
82079,1773527338,2026-03-14T15:28:58,,,yes,
82080,1773527338,2026-03-14T15:28:58,,,yes,
82081,1773527338,2026-03-14T15:28:58,,,yes,
82082,1773527338,2026-03-14T15:28:58,,,yes,
82083,1773527338,2026-03-14T15:28:58,,,yes,
82152,1773527343,2026-03-14T15:29:03,,,yes,
82153,1773527343,2026-03-14T15:29:03,,,yes,
82334,1773527363,2026-03-14T15:29:23,,,yes,
82521,1773527383,2026-03-14T15:29:43,,,yes,
82900,1773527403,2026-03-14T15:30:03,,,yes,
83096,1773527422,2026-03-14T15:30:22,,,no,
83099,1773527423,2026-03-14T15:30:23,,,yes,
83100,1773527423,2026-03-14T15:30:23,,,yes,
83101,1773527423,2026-03-14T15:30:23,,,yes,
83102,1773527423,2026-03-14T15:30:23,,,yes,
83142,1773527429,2026-03-14T15:30:29,,,no,
83278,1773527439,2026-03-14T15:30:39,,,no,
83279,1773527439,2026-03-14T15:30:39,,,no,
