Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
124522,1773533013,2026-03-14T17:03:33,,,yes,
158834,1773537320,2026-03-14T18:15:20,,,yes,
164188,1773538105,2026-03-14T18:28:25,,,yes,
167859,1773538527,2026-03-14T18:35:27,,,yes,
202143,1773542140,2026-03-14T19:35:40,,,yes,
234372,1773543676,2026-03-14T20:01:16,,,yes,
240552,1773543856,2026-03-14T20:04:16,,,yes,
264794,1773544916,2026-03-14T20:21:56,,,no,
267863,1773545041,2026-03-14T20:24:01,,,yes,
281549,1773545680,2026-03-14T20:34:40,,,yes,
296520,1773547214,2026-03-14T21:00:14,,,yes,
302820,1773547852,2026-03-14T21:10:52,,,yes,
304272,1773547973,2026-03-14T21:12:53,,,no,
314899,1773548984,2026-03-14T21:29:44,,,yes,
315380,1773549062,2026-03-14T21:31:02,,,yes,
317260,1773549271,2026-03-14T21:34:31,,,yes,
318654,1773549434,2026-03-14T21:37:14,,,yes,
322785,1773549789,2026-03-14T21:43:09,,,yes,
325381,1773550009,2026-03-14T21:46:49,,,yes,
339017,1773550786,2026-03-14T21:59:46,,,yes,
344587,1773551583,2026-03-14T22:13:03,,,yes,
344815,1773552011,2026-03-14T22:20:11,,,yes,
344890,1773552190,2026-03-14T22:23:10,,,yes,
345000,1773552518,2026-03-14T22:28:38,,,yes,
345320,1773553922,2026-03-14T22:52:02,,,yes,
345345,1773554072,2026-03-14T22:54:32,,,yes,
345364,1773554201,2026-03-14T22:56:41,,,no,
345377,1773554302,2026-03-14T22:58:22,,,yes,
345442,1773554606,2026-03-14T23:03:26,,,yes,
345478,1773554765,2026-03-14T23:06:05,,,yes,
345608,1773555466,2026-03-14T23:17:46,,,yes,
345695,1773555700,2026-03-14T23:21:40,,,yes,
345992,1773556719,2026-03-14T23:38:39,,,yes,
346028,1773556919,2026-03-14T23:41:59,,,yes,
346040,1773556957,2026-03-14T23:42:37,,,yes,
346990,1773561243,2026-03-15T00:54:03,,,yes,
347003,1773561344,2026-03-15T00:55:44,,,yes,
347293,1773563193,2026-03-15T01:26:33,,,yes,
347451,1773564364,2026-03-15T01:46:04,,,yes,
347503,1773564730,2026-03-15T01:52:10,,,yes,
347721,1773566653,2026-03-15T02:24:13,,,yes,
347971,1773568257,2026-03-15T02:50:57,,,yes,
348149,1773569985,2026-03-15T03:19:45,,,yes,
348231,1773570664,2026-03-15T03:31:04,,,yes,
