Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
39,1773666489,2026-03-16T06:08:09,,,yes,
666,1773668198,2026-03-16T06:36:38,,,yes,
933,1773668819,2026-03-16T06:46:59,,,yes,
968,1773668904,2026-03-16T06:48:24,,,yes,
974,1773668924,2026-03-16T06:48:44,,,yes,
1017,1773668996,2026-03-16T06:49:56,,,yes,
1074,1773669099,2026-03-16T06:51:39,,,yes,
1102,1773669157,2026-03-16T06:52:37,,,yes,
1136,1773669203,2026-03-16T06:53:23,,,no,
1137,1773669203,2026-03-16T06:53:23,,,no,
1138,1773669203,2026-03-16T06:53:23,,,no,
1155,1773669237,2026-03-16T06:53:57,,,yes,
1161,1773669260,2026-03-16T06:54:20,,,yes,
1534,1773670090,2026-03-16T07:08:10,,,yes,
1679,1773670422,2026-03-16T07:13:42,,,yes,
1691,1773670442,2026-03-16T07:14:02,,,yes,
1797,1773670705,2026-03-16T07:18:25,,,yes,
1914,1773671006,2026-03-16T07:23:26,,,yes,
2132,1773671521,2026-03-16T07:32:01,,,yes,
2244,1773671746,2026-03-16T07:35:46,,,yes,
2651,1773672542,2026-03-16T07:49:02,,,yes,
2773,1773672758,2026-03-16T07:52:38,,,yes,
2816,1773672850,2026-03-16T07:54:10,,,yes,
2947,1773673052,2026-03-16T07:57:32,,,yes,
2989,1773673108,2026-03-16T07:58:28,,,yes,
2993,1773673124,2026-03-16T07:58:44,,,yes,
3248,1773673535,2026-03-16T08:05:35,,,yes,
3351,1773673678,2026-03-16T08:07:58,,,yes,
3436,1773673816,2026-03-16T08:10:16,,,yes,
3455,1773673855,2026-03-16T08:10:55,,,yes,
3502,1773673934,2026-03-16T08:12:14,,,yes,
3503,1773673934,2026-03-16T08:12:14,,,yes,
3642,1773674168,2026-03-16T08:16:08,,,yes,
3781,1773674384,2026-03-16T08:19:44,,,yes,
3924,1773674648,2026-03-16T08:24:08,,,yes,
3992,1773674766,2026-03-16T08:26:06,,,yes,
4138,1773675018,2026-03-16T08:30:18,,,yes,
4165,1773675068,2026-03-16T08:31:08,,,yes,
4238,1773675195,2026-03-16T08:33:15,,,yes,
4269,1773675244,2026-03-16T08:34:04,,,yes,
4398,1773675414,2026-03-16T08:36:54,,,yes,
4497,1773675549,2026-03-16T08:39:09,,,yes,
4527,1773675595,2026-03-16T08:39:55,,,yes,
4579,1773675672,2026-03-16T08:41:12,,,yes,
4929,1773676205,2026-03-16T08:50:05,,,yes,
4994,1773676284,2026-03-16T08:51:24,,,yes,
4999,1773676292,2026-03-16T08:51:32,,,yes,
5000,1773676292,2026-03-16T08:51:32,,,yes,
5070,1773676371,2026-03-16T08:52:51,,,yes,
5071,1773676371,2026-03-16T08:52:51,,,yes,
5210,1773676567,2026-03-16T08:56:07,,,yes,
5391,1773676802,2026-03-16T09:00:02,,,yes,
5426,1773676868,2026-03-16T09:01:08,,,yes,
5427,1773676868,2026-03-16T09:01:08,,,yes,
5661,1773677195,2026-03-16T09:06:35,,,yes,
5663,1773677196,2026-03-16T09:06:36,,,yes,
5832,1773677458,2026-03-16T09:10:58,,,yes,
6114,1773677836,2026-03-16T09:17:16,,,yes,
6124,1773677852,2026-03-16T09:17:32,,,yes,
6282,1773678094,2026-03-16T09:21:34,,,yes,
6443,1773678333,2026-03-16T09:25:33,,,no,
6444,1773678333,2026-03-16T09:25:33,,,no,
6463,1773678372,2026-03-16T09:26:12,,,yes,
6552,1773678479,2026-03-16T09:27:59,,,yes,
6581,1773678519,2026-03-16T09:28:39,,,yes,
6768,1773678768,2026-03-16T09:32:48,,,yes,
6769,1773678768,2026-03-16T09:32:48,,,yes,
6770,1773678768,2026-03-16T09:32:48,,,yes,
6945,1773678987,2026-03-16T09:36:27,,,yes,
6946,1773678987,2026-03-16T09:36:27,,,yes,
7093,1773679202,2026-03-16T09:40:02,,,yes,
7124,1773679248,2026-03-16T09:40:48,,,yes,
7210,1773679347,2026-03-16T09:42:27,,,yes,
7227,1773679374,2026-03-16T09:42:54,,,yes,
7267,1773679411,2026-03-16T09:43:31,,,yes,
7282,1773679425,2026-03-16T09:43:45,,,yes,
7290,1773679431,2026-03-16T09:43:51,,,yes,
7306,1773679453,2026-03-16T09:44:13,,,yes,
7352,1773679501,2026-03-16T09:45:01,,,yes,
7364,1773679518,2026-03-16T09:45:18,,,yes,
7432,1773679600,2026-03-16T09:46:40,,,yes,
7526,1773679711,2026-03-16T09:48:31,,,yes,
7565,1773679751,2026-03-16T09:49:11,,,yes,
7566,1773679751,2026-03-16T09:49:11,,,yes,
7690,1773679906,2026-03-16T09:51:46,,,yes,
7803,1773680023,2026-03-16T09:53:43,,,yes,
7865,1773680104,2026-03-16T09:55:04,,,yes,
7866,1773680104,2026-03-16T09:55:04,,,yes,
7922,1773680154,2026-03-16T09:55:54,,,yes,
7923,1773680154,2026-03-16T09:55:54,,,yes,
7933,1773680160,2026-03-16T09:56:00,,,yes,
7976,1773680176,2026-03-16T09:56:16,,,yes,
8005,1773680204,2026-03-16T09:56:44,,,yes,
8006,1773680204,2026-03-16T09:56:44,,,yes,
8007,1773680204,2026-03-16T09:56:44,,,yes,
8034,1773680227,2026-03-16T09:57:07,,,yes,
8035,1773680227,2026-03-16T09:57:07,,,yes,
8036,1773680227,2026-03-16T09:57:07,,,yes,
8038,1773680231,2026-03-16T09:57:11,,,yes,
8094,1773680298,2026-03-16T09:58:18,,,yes,
8151,1773680351,2026-03-16T09:59:11,,,yes,
8256,1773680454,2026-03-16T10:00:54,,,yes,
8257,1773680454,2026-03-16T10:00:54,,,yes,
8414,1773680613,2026-03-16T10:03:33,,,yes,
8574,1773680765,2026-03-16T10:06:05,,,yes,
8575,1773680765,2026-03-16T10:06:05,,,yes,
8576,1773680765,2026-03-16T10:06:05,,,yes,
8577,1773680765,2026-03-16T10:06:05,,,yes,
8591,1773680768,2026-03-16T10:06:08,,,yes,
8592,1773680769,2026-03-16T10:06:09,,,yes,
8593,1773680769,2026-03-16T10:06:09,,,yes,
8594,1773680769,2026-03-16T10:06:09,,,yes,
8595,1773680769,2026-03-16T10:06:09,,,yes,
8596,1773680769,2026-03-16T10:06:09,,,yes,
8597,1773680769,2026-03-16T10:06:09,,,yes,
8642,1773680808,2026-03-16T10:06:48,,,yes,
8643,1773680808,2026-03-16T10:06:48,,,yes,
8686,1773680831,2026-03-16T10:07:11,,,no,
8687,1773680832,2026-03-16T10:07:12,,,yes,
8688,1773680832,2026-03-16T10:07:12,,,yes,
8694,1773680834,2026-03-16T10:07:14,,,yes,
8695,1773680834,2026-03-16T10:07:14,,,yes,
8703,1773680841,2026-03-16T10:07:21,,,yes,
8704,1773680841,2026-03-16T10:07:21,,,yes,
8705,1773680841,2026-03-16T10:07:21,,,yes,
8731,1773680863,2026-03-16T10:07:43,,,yes,
8744,1773680866,2026-03-16T10:07:46,,,no,
8901,1773680950,2026-03-16T10:09:10,,,yes,
8902,1773680950,2026-03-16T10:09:10,,,yes,
8903,1773680950,2026-03-16T10:09:10,,,yes,
8904,1773680950,2026-03-16T10:09:10,,,yes,
8905,1773680950,2026-03-16T10:09:10,,,yes,
8906,1773680950,2026-03-16T10:09:10,,,yes,
8907,1773680950,2026-03-16T10:09:10,,,yes,
8908,1773680950,2026-03-16T10:09:10,,,yes,
8909,1773680950,2026-03-16T10:09:10,,,yes,
8910,1773680950,2026-03-16T10:09:10,,,yes,
8911,1773680950,2026-03-16T10:09:10,,,yes,
8912,1773680950,2026-03-16T10:09:10,,,yes,
8913,1773680950,2026-03-16T10:09:10,,,yes,
8932,1773680958,2026-03-16T10:09:18,,,yes,
8953,1773680973,2026-03-16T10:09:33,,,yes,
8954,1773680973,2026-03-16T10:09:33,,,yes,
8955,1773680973,2026-03-16T10:09:33,,,yes,
8956,1773680973,2026-03-16T10:09:33,,,yes,
9046,1773681023,2026-03-16T10:10:23,,,yes,
9055,1773681031,2026-03-16T10:10:31,,,yes,
9056,1773681031,2026-03-16T10:10:31,,,yes,
9057,1773681031,2026-03-16T10:10:31,,,yes,
9058,1773681031,2026-03-16T10:10:31,,,yes,
9093,1773681057,2026-03-16T10:10:57,,,yes,
9106,1773681061,2026-03-16T10:11:01,,,yes,
9107,1773681061,2026-03-16T10:11:01,,,yes,
9108,1773681061,2026-03-16T10:11:01,,,yes,
9186,1773681093,2026-03-16T10:11:33,,,yes,
9187,1773681093,2026-03-16T10:11:33,,,yes,
9206,1773681105,2026-03-16T10:11:45,,,yes,
9207,1773681105,2026-03-16T10:11:45,,,yes,
9226,1773681112,2026-03-16T10:11:52,,,yes,
9265,1773681131,2026-03-16T10:12:11,,,yes,
9266,1773681131,2026-03-16T10:12:11,,,yes,
9267,1773681131,2026-03-16T10:12:11,,,yes,
9330,1773681162,2026-03-16T10:12:42,,,yes,
9339,1773681165,2026-03-16T10:12:45,,,yes,
9357,1773681177,2026-03-16T10:12:57,,,yes,
9358,1773681177,2026-03-16T10:12:57,,,yes,
9359,1773681177,2026-03-16T10:12:57,,,yes,
9360,1773681178,2026-03-16T10:12:58,,,yes,
9361,1773681178,2026-03-16T10:12:58,,,yes,
9449,1773681211,2026-03-16T10:13:31,,,yes,
9459,1773681215,2026-03-16T10:13:35,,,yes,
9470,1773681218,2026-03-16T10:13:38,,,no,
9471,1773681218,2026-03-16T10:13:38,,,no,
9472,1773681218,2026-03-16T10:13:38,,,no,
9555,1773681249,2026-03-16T10:14:09,,,yes,
9556,1773681249,2026-03-16T10:14:09,,,yes,
9622,1773681274,2026-03-16T10:14:34,,,yes,
9648,1773681298,2026-03-16T10:14:58,,,yes,
9677,1773681312,2026-03-16T10:15:12,,,yes,
9678,1773681312,2026-03-16T10:15:12,,,yes,
9679,1773681312,2026-03-16T10:15:12,,,yes,
9680,1773681312,2026-03-16T10:15:12,,,yes,
9681,1773681312,2026-03-16T10:15:12,,,yes,
9682,1773681312,2026-03-16T10:15:12,,,yes,
9683,1773681312,2026-03-16T10:15:12,,,yes,
9696,1773681319,2026-03-16T10:15:19,,,yes,
9702,1773681324,2026-03-16T10:15:24,,,yes,
9703,1773681324,2026-03-16T10:15:24,,,yes,
9704,1773681324,2026-03-16T10:15:24,,,yes,
9705,1773681324,2026-03-16T10:15:24,,,yes,
