Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
899,1773668732,2026-03-16T06:45:32,,,yes,
3977,1773674749,2026-03-16T08:25:49,,,yes,
4029,1773674814,2026-03-16T08:26:54,,,yes,
5604,1773677122,2026-03-16T09:05:22,,,yes,
6802,1773678820,2026-03-16T09:33:40,,,yes,
6852,1773678868,2026-03-16T09:34:28,,,yes,
6853,1773678868,2026-03-16T09:34:28,,,yes,
6854,1773678868,2026-03-16T09:34:28,,,yes,
11666,1773682097,2026-03-16T10:28:17,,,no,
14138,1773682923,2026-03-16T10:42:03,,,yes,
14742,1773683116,2026-03-16T10:45:16,,,yes,
16228,1773683631,2026-03-16T10:53:51,,,yes,
16701,1773683782,2026-03-16T10:56:22,,,yes,
21649,1773685632,2026-03-16T11:27:12,,,yes,
27901,1773688559,2026-03-16T12:15:59,,,yes,
28020,1773688631,2026-03-16T12:17:11,,,yes,
28732,1773689149,2026-03-16T12:25:49,,,yes,
38926,1773693159,2026-03-16T13:32:39,,,yes,
43266,1773694095,2026-03-16T13:48:15,,,yes,
44021,1773694323,2026-03-16T13:52:03,,,yes,
45293,1773694685,2026-03-16T13:58:05,,,yes,
48298,1773695418,2026-03-16T14:10:18,,,yes,
51811,1773696131,2026-03-16T14:22:11,,,yes,
52521,1773696285,2026-03-16T14:24:45,,,yes,
58542,1773697269,2026-03-16T14:41:09,,,yes,
59298,1773697370,2026-03-16T14:42:50,,,yes,
59540,1773697391,2026-03-16T14:43:11,,,no,
60434,1773697498,2026-03-16T14:44:58,,,yes,
65083,1773697980,2026-03-16T14:53:00,,,yes,
65084,1773697980,2026-03-16T14:53:00,,,yes,
65085,1773697980,2026-03-16T14:53:00,,,yes,
65086,1773697980,2026-03-16T14:53:00,,,yes,
68805,1773698296,2026-03-16T14:58:16,,,yes,
70822,1773698446,2026-03-16T15:00:46,,,yes,
71638,1773698612,2026-03-16T15:03:32,,,yes,
72213,1773698716,2026-03-16T15:05:16,,,yes,
72455,1773698758,2026-03-16T15:05:58,,,yes,
73819,1773699014,2026-03-16T15:10:14,,,yes,
73820,1773699014,2026-03-16T15:10:14,,,yes,
74828,1773699211,2026-03-16T15:13:31,,,yes,
74829,1773699211,2026-03-16T15:13:31,,,yes,
74830,1773699211,2026-03-16T15:13:31,,,yes,
74923,1773699236,2026-03-16T15:13:56,,,no,
74924,1773699236,2026-03-16T15:13:56,,,no,
74925,1773699236,2026-03-16T15:13:56,,,no,
74926,1773699236,2026-03-16T15:13:56,,,no,
74927,1773699236,2026-03-16T15:13:56,,,no,
74928,1773699236,2026-03-16T15:13:56,,,no,
74929,1773699236,2026-03-16T15:13:56,,,no,
75620,1773699371,2026-03-16T15:16:11,,,yes,
75621,1773699371,2026-03-16T15:16:11,,,yes,
76279,1773699531,2026-03-16T15:18:51,,,no,
76755,1773699614,2026-03-16T15:20:14,,,yes,
78271,1773699932,2026-03-16T15:25:32,,,yes,
78272,1773699932,2026-03-16T15:25:32,,,yes,
78940,1773700065,2026-03-16T15:27:45,,,yes,
79609,1773700192,2026-03-16T15:29:52,,,yes,
80628,1773700337,2026-03-16T15:32:17,,,yes,
81795,1773700593,2026-03-16T15:36:33,,,yes,
82275,1773700715,2026-03-16T15:38:35,,,yes,
82286,1773700718,2026-03-16T15:38:38,,,no,
82350,1773700730,2026-03-16T15:38:50,,,no,
82443,1773700757,2026-03-16T15:39:17,,,no,
82513,1773700773,2026-03-16T15:39:33,,,no,
82514,1773700773,2026-03-16T15:39:33,,,no,
82515,1773700773,2026-03-16T15:39:33,,,no,
82575,1773700790,2026-03-16T15:39:50,,,yes,
83258,1773700997,2026-03-16T15:43:17,,,yes,
83276,1773701004,2026-03-16T15:43:24,,,yes,
83277,1773701004,2026-03-16T15:43:24,,,yes,
83296,1773701014,2026-03-16T15:43:34,,,yes,
84079,1773701199,2026-03-16T15:46:39,,,yes,
84540,1773701327,2026-03-16T15:48:47,,,yes,
85992,1773701758,2026-03-16T15:55:58,,,yes,
85993,1773701758,2026-03-16T15:55:58,,,yes,
87044,1773702062,2026-03-16T16:01:02,,,yes,
87045,1773702062,2026-03-16T16:01:02,,,yes,
87046,1773702062,2026-03-16T16:01:02,,,yes,
87047,1773702062,2026-03-16T16:01:02,,,yes,
88110,1773702338,2026-03-16T16:05:38,,,no,
88212,1773702366,2026-03-16T16:06:06,,,no,
88287,1773702389,2026-03-16T16:06:29,,,no,
88313,1773702396,2026-03-16T16:06:36,,,no,
88349,1773702405,2026-03-16T16:06:45,,,no,
92011,1773703080,2026-03-16T16:18:00,,,no,
95215,1773703580,2026-03-16T16:26:20,,,yes,
96207,1773703769,2026-03-16T16:29:29,,,yes,
96612,1773703858,2026-03-16T16:30:58,,,yes,
98048,1773704151,2026-03-16T16:35:51,,,yes,
99065,1773704280,2026-03-16T16:38:00,,,no,
100631,1773704479,2026-03-16T16:41:19,,,yes,
100793,1773704501,2026-03-16T16:41:41,,,yes,
100816,1773704504,2026-03-16T16:41:44,,,yes,
100948,1773704521,2026-03-16T16:42:01,,,yes,
100949,1773704521,2026-03-16T16:42:01,,,yes,
101187,1773704544,2026-03-16T16:42:24,,,yes,
104919,1773704886,2026-03-16T16:48:06,,,yes,
107950,1773705215,2026-03-16T16:53:35,,,yes,
107951,1773705215,2026-03-16T16:53:35,,,yes,
107952,1773705215,2026-03-16T16:53:35,,,yes,
108458,1773705275,2026-03-16T16:54:35,,,yes,
108897,1773705330,2026-03-16T16:55:30,,,yes,
116306,1773706190,2026-03-16T17:09:50,,,yes,
120343,1773706655,2026-03-16T17:17:35,,,yes,
124668,1773707084,2026-03-16T17:24:44,,,yes,
124982,1773707118,2026-03-16T17:25:18,,,no,
124983,1773707118,2026-03-16T17:25:18,,,no,
126861,1773707329,2026-03-16T17:28:49,,,no,
126967,1773707340,2026-03-16T17:29:00,,,no,
126968,1773707340,2026-03-16T17:29:00,,,no,
131709,1773707829,2026-03-16T17:37:09,,,yes,
147171,1773709542,2026-03-16T18:05:42,,,yes,
147172,1773709542,2026-03-16T18:05:42,,,yes,
147354,1773709570,2026-03-16T18:06:10,,,yes,
147466,1773709585,2026-03-16T18:06:25,,,yes,
147575,1773709596,2026-03-16T18:06:36,,,yes,
147576,1773709596,2026-03-16T18:06:36,,,yes,
149741,1773709845,2026-03-16T18:10:45,,,yes,
151698,1773710111,2026-03-16T18:15:11,,,yes,
153145,1773710283,2026-03-16T18:18:03,,,yes,
153263,1773710298,2026-03-16T18:18:18,,,yes,
157478,1773710718,2026-03-16T18:25:18,,,yes,
158066,1773710775,2026-03-16T18:26:15,,,yes,
160654,1773711043,2026-03-16T18:30:43,,,yes,
161615,1773711154,2026-03-16T18:32:34,,,no,
168236,1773711737,2026-03-16T18:42:17,,,yes,
168237,1773711737,2026-03-16T18:42:17,,,yes,
168238,1773711737,2026-03-16T18:42:17,,,yes,
171352,1773711921,2026-03-16T18:45:21,,,yes,
182301,1773712561,2026-03-16T18:56:01,,,yes,
182302,1773712561,2026-03-16T18:56:01,,,yes,
185842,1773712775,2026-03-16T18:59:35,,,no,
188980,1773712941,2026-03-16T19:02:21,,,no,
188981,1773712941,2026-03-16T19:02:21,,,no,
188982,1773712941,2026-03-16T19:02:21,,,no,
188983,1773712941,2026-03-16T19:02:21,,,no,
199905,1773714062,2026-03-16T19:21:02,,,no,
199906,1773714062,2026-03-16T19:21:02,,,no,
199907,1773714062,2026-03-16T19:21:02,,,no,
199908,1773714062,2026-03-16T19:21:02,,,no,
199909,1773714062,2026-03-16T19:21:02,,,no,
202528,1773714264,2026-03-16T19:24:24,,,yes,
202529,1773714264,2026-03-16T19:24:24,,,yes,
202530,1773714264,2026-03-16T19:24:24,,,yes,
204444,1773714419,2026-03-16T19:26:59,,,no,
204445,1773714419,2026-03-16T19:26:59,,,no,
207110,1773714676,2026-03-16T19:31:16,,,no,
207111,1773714676,2026-03-16T19:31:16,,,no,
208704,1773714853,2026-03-16T19:34:13,,,yes,
216329,1773715608,2026-03-16T19:46:48,,,no,
216330,1773715608,2026-03-16T19:46:48,,,no,
219133,1773715943,2026-03-16T19:52:23,,,no,
219386,1773715969,2026-03-16T19:52:49,,,no,
223093,1773716327,2026-03-16T19:58:47,,,yes,
223094,1773716327,2026-03-16T19:58:47,,,yes,
224099,1773716421,2026-03-16T20:00:21,,,yes,
224677,1773716474,2026-03-16T20:01:14,,,no,
224710,1773716477,2026-03-16T20:01:17,,,yes,
231422,1773717116,2026-03-16T20:11:56,,,yes,
231423,1773717116,2026-03-16T20:11:56,,,yes,
231424,1773717116,2026-03-16T20:11:56,,,yes,
231767,1773717150,2026-03-16T20:12:30,,,yes,
231960,1773717173,2026-03-16T20:12:53,,,yes,
232139,1773717194,2026-03-16T20:13:14,,,yes,
234929,1773717519,2026-03-16T20:18:39,,,yes,
235073,1773717535,2026-03-16T20:18:55,,,yes,
235220,1773717550,2026-03-16T20:19:10,,,yes,
235221,1773717550,2026-03-16T20:19:10,,,yes,
238287,1773717826,2026-03-16T20:23:46,,,yes,
240763,1773718010,2026-03-16T20:26:50,,,no,
240764,1773718010,2026-03-16T20:26:50,,,no,
240766,1773718010,2026-03-16T20:26:50,,,no,
241696,1773718106,2026-03-16T20:28:26,,,no,
243662,1773718382,2026-03-16T20:33:02,,,no,
243663,1773718382,2026-03-16T20:33:02,,,no,
243664,1773718382,2026-03-16T20:33:02,,,no,
243764,1773718391,2026-03-16T20:33:11,,,no,
243765,1773718391,2026-03-16T20:33:11,,,no,
243766,1773718391,2026-03-16T20:33:11,,,no,
243837,1773718397,2026-03-16T20:33:17,,,no,
243838,1773718397,2026-03-16T20:33:17,,,no,
243839,1773718397,2026-03-16T20:33:17,,,no,
245381,1773718592,2026-03-16T20:36:32,,,yes,
245382,1773718592,2026-03-16T20:36:32,,,yes,
245427,1773718598,2026-03-16T20:36:38,,,yes,
245428,1773718598,2026-03-16T20:36:38,,,yes,
245670,1773718628,2026-03-16T20:37:08,,,yes,
245671,1773718628,2026-03-16T20:37:08,,,yes,
249784,1773719091,2026-03-16T20:44:51,,,yes,
249785,1773719091,2026-03-16T20:44:51,,,yes,
249786,1773719091,2026-03-16T20:44:51,,,yes,
253229,1773719306,2026-03-16T20:48:26,,,yes,
257518,1773719696,2026-03-16T20:54:56,,,yes,
266060,1773720081,2026-03-16T21:01:21,,,yes,
267291,1773720158,2026-03-16T21:02:38,,,no,
267292,1773720158,2026-03-16T21:02:38,,,no,
267906,1773720226,2026-03-16T21:03:46,,,no,
268403,1773720278,2026-03-16T21:04:38,,,yes,
268404,1773720278,2026-03-16T21:04:38,,,yes,
268405,1773720278,2026-03-16T21:04:38,,,yes,
280616,1773722734,2026-03-16T21:45:34,,,yes,
280617,1773722748,2026-03-16T21:45:48,,,yes,
280623,1773722983,2026-03-16T21:49:43,,,no,
280624,1773722983,2026-03-16T21:49:43,,,no,
280634,1773724802,2026-03-16T22:20:02,,,yes,
280635,1773724802,2026-03-16T22:20:02,,,yes,
280636,1773726228,2026-03-16T22:43:48,,,yes,
280637,1773726228,2026-03-16T22:43:48,,,yes,
280638,1773726228,2026-03-16T22:43:48,,,yes,
280639,1773726228,2026-03-16T22:43:48,,,yes,
280641,1773727192,2026-03-16T22:59:52,,,no,
280646,1773732167,2026-03-17T00:22:47,,,no,
280655,1773740266,2026-03-17T02:37:46,,,no,
280659,1773741770,2026-03-17T03:02:50,,,no,
280660,1773741770,2026-03-17T03:02:50,,,no,
280663,1773742469,2026-03-17T03:14:29,,,no,
280664,1773743632,2026-03-17T03:33:52,,,yes,
280665,1773743632,2026-03-17T03:33:52,,,yes,
280666,1773744752,2026-03-17T03:52:32,,,no,
280668,1773750865,2026-03-17T05:34:25,,,no,
280670,1773750883,2026-03-17T05:34:43,,,no,
280671,1773750906,2026-03-17T05:35:06,,,no,
280672,1773750920,2026-03-17T05:35:20,,,no,
280673,1773750920,2026-03-17T05:35:20,,,no,
280674,1773751002,2026-03-17T05:36:42,,,no,
280677,1773752048,2026-03-17T05:54:08,,,no,
