Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2279,1774012713,2026-03-20T06:18:33,,,no,
2462,1774012765,2026-03-20T06:19:25,,,yes,
2976,1774012945,2026-03-20T06:22:25,,,yes,
3356,1774013062,2026-03-20T06:24:22,,,yes,
3975,1774013271,2026-03-20T06:27:51,,,yes,
4029,1774013288,2026-03-20T06:28:08,,,yes,
6121,1774013934,2026-03-20T06:38:54,,,yes,
6122,1774013935,2026-03-20T06:38:55,,,yes,
6346,1774013998,2026-03-20T06:39:58,,,yes,
8526,1774014574,2026-03-20T06:49:34,,,yes,
9798,1774014931,2026-03-20T06:55:31,,,yes,
9916,1774014968,2026-03-20T06:56:08,,,yes,
9917,1774014968,2026-03-20T06:56:08,,,yes,
10044,1774015009,2026-03-20T06:56:49,,,yes,
12402,1774015637,2026-03-20T07:07:17,,,yes,
14111,1774016100,2026-03-20T07:15:00,,,yes,
14576,1774016227,2026-03-20T07:17:07,,,yes,
15635,1774016488,2026-03-20T07:21:28,,,yes,
15636,1774016488,2026-03-20T07:21:28,,,yes,
16643,1774016722,2026-03-20T07:25:22,,,yes,
17479,1774016918,2026-03-20T07:28:38,,,yes,
19427,1774017410,2026-03-20T07:36:50,,,yes,
19840,1774017509,2026-03-20T07:38:29,,,yes,
21643,1774017954,2026-03-20T07:45:54,,,yes,
22266,1774018111,2026-03-20T07:48:31,,,yes,
22411,1774018144,2026-03-20T07:49:04,,,yes,
22412,1774018144,2026-03-20T07:49:04,,,yes,
24068,1774018534,2026-03-20T07:55:34,,,yes,
25372,1774018826,2026-03-20T08:00:26,,,yes,
25373,1774018826,2026-03-20T08:00:26,,,yes,
25374,1774018826,2026-03-20T08:00:26,,,yes,
25530,1774018865,2026-03-20T08:01:05,,,no,
25664,1774018891,2026-03-20T08:01:31,,,yes,
25665,1774018891,2026-03-20T08:01:31,,,yes,
25666,1774018891,2026-03-20T08:01:31,,,yes,
28118,1774019423,2026-03-20T08:10:23,,,yes,
28787,1774019574,2026-03-20T08:12:54,,,yes,
28788,1774019574,2026-03-20T08:12:54,,,yes,
29232,1774019666,2026-03-20T08:14:26,,,yes,
29233,1774019666,2026-03-20T08:14:26,,,yes,
29814,1774019783,2026-03-20T08:16:23,,,yes,
30645,1774019960,2026-03-20T08:19:20,,,yes,
30836,1774020004,2026-03-20T08:20:04,,,yes,
31144,1774020065,2026-03-20T08:21:05,,,yes,
31145,1774020065,2026-03-20T08:21:05,,,yes,
33529,1774020522,2026-03-20T08:28:42,,,yes,
33984,1774020611,2026-03-20T08:30:11,,,yes,
33985,1774020611,2026-03-20T08:30:11,,,yes,
33986,1774020611,2026-03-20T08:30:11,,,yes,
34135,1774020638,2026-03-20T08:30:38,,,yes,
34136,1774020638,2026-03-20T08:30:38,,,yes,
34137,1774020638,2026-03-20T08:30:38,,,yes,
34138,1774020638,2026-03-20T08:30:38,,,yes,
34139,1774020638,2026-03-20T08:30:38,,,yes,
34140,1774020638,2026-03-20T08:30:38,,,yes,
34141,1774020638,2026-03-20T08:30:38,,,yes,
34142,1774020638,2026-03-20T08:30:38,,,yes,
34143,1774020638,2026-03-20T08:30:38,,,yes,
34144,1774020638,2026-03-20T08:30:38,,,yes,
34145,1774020638,2026-03-20T08:30:38,,,yes,
34146,1774020638,2026-03-20T08:30:38,,,yes,
34147,1774020638,2026-03-20T08:30:38,,,yes,
34148,1774020638,2026-03-20T08:30:38,,,yes,
34149,1774020638,2026-03-20T08:30:38,,,yes,
34150,1774020638,2026-03-20T08:30:38,,,yes,
34151,1774020638,2026-03-20T08:30:38,,,yes,
34152,1774020638,2026-03-20T08:30:38,,,yes,
34153,1774020638,2026-03-20T08:30:38,,,yes,
34154,1774020638,2026-03-20T08:30:38,,,yes,
34155,1774020638,2026-03-20T08:30:38,,,yes,
34156,1774020638,2026-03-20T08:30:38,,,yes,
34157,1774020638,2026-03-20T08:30:38,,,yes,
34158,1774020638,2026-03-20T08:30:38,,,yes,
34159,1774020638,2026-03-20T08:30:38,,,yes,
34160,1774020638,2026-03-20T08:30:38,,,yes,
34161,1774020638,2026-03-20T08:30:38,,,yes,
34162,1774020638,2026-03-20T08:30:38,,,yes,
34163,1774020638,2026-03-20T08:30:38,,,yes,
34661,1774020735,2026-03-20T08:32:15,,,yes,
36852,1774021088,2026-03-20T08:38:08,,,yes,
37310,1774021166,2026-03-20T08:39:26,,,yes,
39593,1774021482,2026-03-20T08:44:42,,,yes,
39594,1774021482,2026-03-20T08:44:42,,,yes,
39595,1774021482,2026-03-20T08:44:42,,,yes,
40136,1774021551,2026-03-20T08:45:51,,,yes,
40421,1774021590,2026-03-20T08:46:30,,,yes,
40422,1774021590,2026-03-20T08:46:30,,,yes,
40423,1774021590,2026-03-20T08:46:30,,,yes,
40498,1774021602,2026-03-20T08:46:42,,,yes,
40627,1774021622,2026-03-20T08:47:02,,,yes,
41058,1774021679,2026-03-20T08:47:59,,,yes,
41059,1774021679,2026-03-20T08:47:59,,,yes,
41060,1774021679,2026-03-20T08:47:59,,,yes,
41061,1774021679,2026-03-20T08:47:59,,,yes,
41062,1774021679,2026-03-20T08:47:59,,,yes,
41063,1774021679,2026-03-20T08:47:59,,,yes,
41203,1774021698,2026-03-20T08:48:18,,,yes,
41207,1774021699,2026-03-20T08:48:19,,,no,
41784,1774021782,2026-03-20T08:49:42,,,yes,
43322,1774021997,2026-03-20T08:53:17,,,yes,
43479,1774022018,2026-03-20T08:53:38,,,yes,
44124,1774022105,2026-03-20T08:55:05,,,no,
44182,1774022112,2026-03-20T08:55:12,,,yes,
44865,1774022205,2026-03-20T08:56:45,,,no,
47362,1774022558,2026-03-20T09:02:38,,,yes,
48166,1774022659,2026-03-20T09:04:19,,,yes,
48744,1774022729,2026-03-20T09:05:29,,,yes,
51099,1774023031,2026-03-20T09:10:31,,,yes,
52028,1774023134,2026-03-20T09:12:14,,,no,
52092,1774023140,2026-03-20T09:12:20,,,yes,
52550,1774023180,2026-03-20T09:13:00,,,yes,
53282,1774023256,2026-03-20T09:14:16,,,no,
53283,1774023256,2026-03-20T09:14:16,,,no,
53284,1774023256,2026-03-20T09:14:16,,,no,
53285,1774023256,2026-03-20T09:14:16,,,no,
53300,1774023257,2026-03-20T09:14:17,,,yes,
56099,1774023486,2026-03-20T09:18:06,,,yes,
57301,1774023576,2026-03-20T09:19:36,,,yes,
57589,1774023597,2026-03-20T09:19:57,,,yes,
58003,1774023639,2026-03-20T09:20:39,,,yes,
60939,1774023920,2026-03-20T09:25:20,,,yes,
61064,1774023934,2026-03-20T09:25:34,,,yes,
62342,1774024062,2026-03-20T09:27:42,,,yes,
65196,1774024355,2026-03-20T09:32:35,,,yes,
65377,1774024379,2026-03-20T09:32:59,,,no,
65388,1774024380,2026-03-20T09:33:00,,,yes,
66680,1774024538,2026-03-20T09:35:38,,,yes,
67096,1774024583,2026-03-20T09:36:23,,,yes,
67250,1774024600,2026-03-20T09:36:40,,,yes,
67534,1774024627,2026-03-20T09:37:07,,,yes,
69893,1774024875,2026-03-20T09:41:15,,,yes,
70200,1774024902,2026-03-20T09:41:42,,,yes,
70653,1774024947,2026-03-20T09:42:27,,,no,
70766,1774024956,2026-03-20T09:42:36,,,yes,
74448,1774025298,2026-03-20T09:48:18,,,yes,
75085,1774025366,2026-03-20T09:49:26,,,yes,
75392,1774025400,2026-03-20T09:50:00,,,yes,
75393,1774025400,2026-03-20T09:50:00,,,yes,
75551,1774025419,2026-03-20T09:50:19,,,yes,
76273,1774025505,2026-03-20T09:51:45,,,yes,
78918,1774025750,2026-03-20T09:55:50,,,yes,
78919,1774025750,2026-03-20T09:55:50,,,yes,
79285,1774025792,2026-03-20T09:56:32,,,yes,
79677,1774025831,2026-03-20T09:57:11,,,yes,
79726,1774025836,2026-03-20T09:57:16,,,yes,
81323,1774025965,2026-03-20T09:59:25,,,yes,
81324,1774025965,2026-03-20T09:59:25,,,yes,
82094,1774026035,2026-03-20T10:00:35,,,yes,
82120,1774026038,2026-03-20T10:00:38,,,yes,
82121,1774026038,2026-03-20T10:00:38,,,yes,
83534,1774026145,2026-03-20T10:02:25,,,yes,
83976,1774026182,2026-03-20T10:03:02,,,no,
84389,1774026214,2026-03-20T10:03:34,,,yes,
85118,1774026277,2026-03-20T10:04:37,,,yes,
85542,1774026319,2026-03-20T10:05:19,,,yes,
85543,1774026319,2026-03-20T10:05:19,,,yes,
85544,1774026319,2026-03-20T10:05:19,,,yes,
85628,1774026327,2026-03-20T10:05:27,,,no,
85738,1774026337,2026-03-20T10:05:37,,,yes,
85812,1774026345,2026-03-20T10:05:45,,,no,
85813,1774026345,2026-03-20T10:05:45,,,no,
85945,1774026356,2026-03-20T10:05:56,,,yes,
85946,1774026356,2026-03-20T10:05:56,,,yes,
85947,1774026356,2026-03-20T10:05:56,,,yes,
85962,1774026358,2026-03-20T10:05:58,,,yes,
85963,1774026358,2026-03-20T10:05:58,,,yes,
85964,1774026358,2026-03-20T10:05:58,,,yes,
86052,1774026366,2026-03-20T10:06:06,,,no,
86053,1774026366,2026-03-20T10:06:06,,,no,
86138,1774026375,2026-03-20T10:06:15,,,yes,
86627,1774026420,2026-03-20T10:07:00,,,yes,
86628,1774026420,2026-03-20T10:07:00,,,yes,
86977,1774026448,2026-03-20T10:07:28,,,yes,
86978,1774026448,2026-03-20T10:07:28,,,yes,
87048,1774026453,2026-03-20T10:07:33,,,yes,
87049,1774026453,2026-03-20T10:07:33,,,yes,
87050,1774026453,2026-03-20T10:07:33,,,yes,
87142,1774026460,2026-03-20T10:07:40,,,yes,
87156,1774026461,2026-03-20T10:07:41,,,yes,
87274,1774026471,2026-03-20T10:07:51,,,yes,
87275,1774026471,2026-03-20T10:07:51,,,yes,
88024,1774026547,2026-03-20T10:09:07,,,yes,
88025,1774026547,2026-03-20T10:09:07,,,yes,
88026,1774026547,2026-03-20T10:09:07,,,yes,
