Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2457,1774012763,2026-03-20T06:19:23,,,no,
3028,1774012960,2026-03-20T06:22:40,,,yes,
7379,1774014272,2026-03-20T06:44:32,,,no,
7547,1774014299,2026-03-20T06:44:59,,,no,
7766,1774014354,2026-03-20T06:45:54,,,no,
8431,1774014544,2026-03-20T06:49:04,,,yes,
8432,1774014544,2026-03-20T06:49:04,,,yes,
8712,1774014629,2026-03-20T06:50:29,,,yes,
8769,1774014650,2026-03-20T06:50:50,,,yes,
10923,1774015256,2026-03-20T07:00:56,,,yes,
15158,1774016362,2026-03-20T07:19:22,,,no,
16071,1774016592,2026-03-20T07:23:12,,,no,
16993,1774016801,2026-03-20T07:26:41,,,no,
17275,1774016866,2026-03-20T07:27:46,,,no,
17970,1774017038,2026-03-20T07:30:38,,,yes,
18955,1774017295,2026-03-20T07:34:55,,,yes,
19627,1774017461,2026-03-20T07:37:41,,,yes,
19655,1774017467,2026-03-20T07:37:47,,,yes,
22033,1774018050,2026-03-20T07:47:30,,,yes,
22050,1774018053,2026-03-20T07:47:33,,,yes,
22051,1774018053,2026-03-20T07:47:33,,,yes,
24948,1774018729,2026-03-20T07:58:49,,,yes,
24949,1774018729,2026-03-20T07:58:49,,,yes,
26485,1774019075,2026-03-20T08:04:35,,,yes,
35396,1774020869,2026-03-20T08:34:29,,,yes,
40522,1774021606,2026-03-20T08:46:46,,,yes,
40523,1774021606,2026-03-20T08:46:46,,,yes,
40524,1774021606,2026-03-20T08:46:46,,,yes,
41913,1774021800,2026-03-20T08:50:00,,,yes,
42093,1774021825,2026-03-20T08:50:25,,,no,
42726,1774021911,2026-03-20T08:51:51,,,no,
46115,1774022381,2026-03-20T08:59:41,,,yes,
48263,1774022672,2026-03-20T09:04:32,,,yes,
48264,1774022672,2026-03-20T09:04:32,,,yes,
50309,1774022937,2026-03-20T09:08:57,,,yes,
51605,1774023089,2026-03-20T09:11:29,,,no,
51606,1774023089,2026-03-20T09:11:29,,,no,
53469,1774023273,2026-03-20T09:14:33,,,yes,
53494,1774023275,2026-03-20T09:14:35,,,yes,
53495,1774023275,2026-03-20T09:14:35,,,yes,
53873,1774023316,2026-03-20T09:15:16,,,yes,
54176,1774023346,2026-03-20T09:15:46,,,yes,
58136,1774023652,2026-03-20T09:20:52,,,yes,
64342,1774024250,2026-03-20T09:30:50,,,yes,
64343,1774024250,2026-03-20T09:30:50,,,yes,
65805,1774024433,2026-03-20T09:33:53,,,no,
66145,1774024477,2026-03-20T09:34:37,,,no,
66146,1774024477,2026-03-20T09:34:37,,,no,
69374,1774024821,2026-03-20T09:40:21,,,yes,
69375,1774024821,2026-03-20T09:40:21,,,yes,
74485,1774025301,2026-03-20T09:48:21,,,yes,
74486,1774025301,2026-03-20T09:48:21,,,yes,
76012,1774025473,2026-03-20T09:51:13,,,no,
76013,1774025473,2026-03-20T09:51:13,,,no,
76507,1774025530,2026-03-20T09:52:10,,,yes,
77521,1774025623,2026-03-20T09:53:43,,,yes,
81738,1774026004,2026-03-20T10:00:04,,,yes,
81946,1774026022,2026-03-20T10:00:22,,,yes,
81947,1774026022,2026-03-20T10:00:22,,,yes,
81948,1774026022,2026-03-20T10:00:22,,,yes,
81949,1774026022,2026-03-20T10:00:22,,,yes,
82197,1774026045,2026-03-20T10:00:45,,,no,
84899,1774026255,2026-03-20T10:04:15,,,yes,
87354,1774026479,2026-03-20T10:07:59,,,no,
101868,1774027767,2026-03-20T10:29:27,,,yes,
101869,1774027767,2026-03-20T10:29:27,,,yes,
107169,1774028103,2026-03-20T10:35:03,,,yes,
108999,1774028270,2026-03-20T10:37:50,,,yes,
