Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
9,1774271138,2026-03-23T06:05:38,,,no,
10,1774271138,2026-03-23T06:05:38,,,no,
11,1774271138,2026-03-23T06:05:38,,,no,
12,1774271138,2026-03-23T06:05:38,,,no,
13,1774271138,2026-03-23T06:05:38,,,no,
14,1774271138,2026-03-23T06:05:38,,,no,
15,1774271138,2026-03-23T06:05:38,,,no,
16,1774271138,2026-03-23T06:05:38,,,no,
17,1774271138,2026-03-23T06:05:38,,,no,
28,1774271154,2026-03-23T06:05:54,,,no,
50,1774271178,2026-03-23T06:06:18,,,no,
139,1774271366,2026-03-23T06:09:26,,,yes,
140,1774271366,2026-03-23T06:09:26,,,yes,
141,1774271366,2026-03-23T06:09:26,,,yes,
157,1774271384,2026-03-23T06:09:44,,,no,
373,1774271718,2026-03-23T06:15:18,,,yes,
474,1774271872,2026-03-23T06:17:52,,,yes,
542,1774271947,2026-03-23T06:19:07,,,yes,
636,1774272142,2026-03-23T06:22:22,,,yes,
637,1774272142,2026-03-23T06:22:22,,,yes,
719,1774272276,2026-03-23T06:24:36,,,yes,
737,1774272294,2026-03-23T06:24:54,,,yes,
905,1774272523,2026-03-23T06:28:43,,,yes,
999,1774272618,2026-03-23T06:30:18,,,yes,
1058,1774272732,2026-03-23T06:32:12,,,yes,
1064,1774272742,2026-03-23T06:32:22,,,yes,
1334,1774273204,2026-03-23T06:40:04,,,yes,
1347,1774273221,2026-03-23T06:40:21,,,yes,
1474,1774273456,2026-03-23T06:44:16,,,yes,
1591,1774273614,2026-03-23T06:46:54,,,yes,
1903,1774274042,2026-03-23T06:54:02,,,yes,
1971,1774274133,2026-03-23T06:55:33,,,yes,
2009,1774274191,2026-03-23T06:56:31,,,yes,
2010,1774274191,2026-03-23T06:56:31,,,yes,
2011,1774274191,2026-03-23T06:56:31,,,yes,
2012,1774274191,2026-03-23T06:56:31,,,yes,
2013,1774274191,2026-03-23T06:56:31,,,yes,
2014,1774274191,2026-03-23T06:56:31,,,yes,
2015,1774274191,2026-03-23T06:56:31,,,yes,
2016,1774274191,2026-03-23T06:56:31,,,yes,
2017,1774274191,2026-03-23T06:56:31,,,yes,
2018,1774274191,2026-03-23T06:56:31,,,yes,
2019,1774274191,2026-03-23T06:56:31,,,yes,
2020,1774274191,2026-03-23T06:56:31,,,yes,
2025,1774274196,2026-03-23T06:56:36,,,yes,
2033,1774274204,2026-03-23T06:56:44,,,yes,
