Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
832,1774272452,2026-03-23T06:27:32,,,no,
842,1774272452,2026-03-23T06:27:32,,,no,
845,1774272452,2026-03-23T06:27:32,,,no,
846,1774272452,2026-03-23T06:27:32,,,no,
848,1774272452,2026-03-23T06:27:32,,,no,
871,1774272492,2026-03-23T06:28:12,,,no,
873,1774272494,2026-03-23T06:28:14,,,no,
874,1774272494,2026-03-23T06:28:14,,,no,
875,1774272495,2026-03-23T06:28:15,,,no,
879,1774272498,2026-03-23T06:28:18,,,no,
881,1774272498,2026-03-23T06:28:18,,,no,
882,1774272498,2026-03-23T06:28:18,,,no,
887,1774272499,2026-03-23T06:28:19,,,no,
911,1774272524,2026-03-23T06:28:44,,,no,
913,1774272524,2026-03-23T06:28:44,,,no,
916,1774272530,2026-03-23T06:28:50,,,no,
919,1774272530,2026-03-23T06:28:50,,,no,
926,1774272532,2026-03-23T06:28:52,,,no,
931,1774272533,2026-03-23T06:28:53,,,no,
932,1774272533,2026-03-23T06:28:53,,,no,
933,1774272534,2026-03-23T06:28:54,,,no,
934,1774272534,2026-03-23T06:28:54,,,no,
935,1774272534,2026-03-23T06:28:54,,,no,
936,1774272534,2026-03-23T06:28:54,,,no,
937,1774272534,2026-03-23T06:28:54,,,no,
940,1774272536,2026-03-23T06:28:56,,,no,
941,1774272536,2026-03-23T06:28:56,,,no,
942,1774272537,2026-03-23T06:28:57,,,no,
943,1774272537,2026-03-23T06:28:57,,,no,
944,1774272537,2026-03-23T06:28:57,,,no,
945,1774272537,2026-03-23T06:28:57,,,no,
951,1774272544,2026-03-23T06:29:04,,,no,
952,1774272544,2026-03-23T06:29:04,,,no,
953,1774272544,2026-03-23T06:29:04,,,no,
959,1774272551,2026-03-23T06:29:11,,,no,
1108,1774272821,2026-03-23T06:33:41,,,yes,
2158,1774274326,2026-03-23T06:58:46,,,yes,
2682,1774274997,2026-03-23T07:09:57,,,yes,
3402,1774276001,2026-03-23T07:26:41,,,yes,
