Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
51,1774357731,2026-03-24T06:08:51,,,yes,
52,1774357731,2026-03-24T06:08:51,,,yes,
53,1774357731,2026-03-24T06:08:51,,,yes,
163,1774357986,2026-03-24T06:13:06,,,yes,
271,1774358249,2026-03-24T06:17:29,,,yes,
376,1774358475,2026-03-24T06:21:15,,,yes,
434,1774358599,2026-03-24T06:23:19,,,yes,
937,1774359681,2026-03-24T06:41:21,,,yes,
1408,1774360653,2026-03-24T06:57:33,,,yes,
1485,1774360839,2026-03-24T07:00:39,,,yes,
1716,1774361325,2026-03-24T07:08:45,,,yes,
1717,1774361327,2026-03-24T07:08:47,,,yes,
2077,1774362018,2026-03-24T07:20:18,,,yes,
2113,1774362063,2026-03-24T07:21:03,,,yes,
2124,1774362080,2026-03-24T07:21:20,,,yes,
2191,1774362215,2026-03-24T07:23:35,,,yes,
2198,1774362236,2026-03-24T07:23:56,,,yes,
2217,1774362271,2026-03-24T07:24:31,,,yes,
2350,1774362527,2026-03-24T07:28:47,,,yes,
2461,1774362688,2026-03-24T07:31:28,,,yes,
2489,1774362756,2026-03-24T07:32:36,,,yes,
2590,1774362919,2026-03-24T07:35:19,,,yes,
2637,1774362985,2026-03-24T07:36:25,,,yes,
2712,1774363094,2026-03-24T07:38:14,,,yes,
2738,1774363129,2026-03-24T07:38:49,,,yes,
2769,1774363178,2026-03-24T07:39:38,,,yes,
2811,1774363242,2026-03-24T07:40:42,,,yes,
3020,1774363623,2026-03-24T07:47:03,,,yes,
3216,1774364036,2026-03-24T07:53:56,,,yes,
3618,1774364688,2026-03-24T08:04:48,,,yes,
3665,1774364751,2026-03-24T08:05:51,,,yes,
3824,1774365006,2026-03-24T08:10:06,,,yes,
3850,1774365043,2026-03-24T08:10:43,,,yes,
3975,1774365191,2026-03-24T08:13:11,,,yes,
4166,1774365473,2026-03-24T08:17:53,,,yes,
4251,1774365647,2026-03-24T08:20:47,,,yes,
4501,1774366001,2026-03-24T08:26:41,,,no,
4502,1774366001,2026-03-24T08:26:41,,,no,
4569,1774366100,2026-03-24T08:28:20,,,yes,
4599,1774366149,2026-03-24T08:29:09,,,yes,
4669,1774366257,2026-03-24T08:30:57,,,yes,
4677,1774366265,2026-03-24T08:31:05,,,yes,
4703,1774366317,2026-03-24T08:31:57,,,yes,
4787,1774366442,2026-03-24T08:34:02,,,yes,
4810,1774366472,2026-03-24T08:34:32,,,yes,
4863,1774366553,2026-03-24T08:35:53,,,yes,
5019,1774366829,2026-03-24T08:40:29,,,yes,
5031,1774366854,2026-03-24T08:40:54,,,yes,
5043,1774366885,2026-03-24T08:41:25,,,yes,
5121,1774366997,2026-03-24T08:43:17,,,yes,
5218,1774367116,2026-03-24T08:45:16,,,yes,
5237,1774367131,2026-03-24T08:45:31,,,yes,
5274,1774367190,2026-03-24T08:46:30,,,yes,
5376,1774367319,2026-03-24T08:48:39,,,yes,
5377,1774367319,2026-03-24T08:48:39,,,yes,
5387,1774367334,2026-03-24T08:48:54,,,no,
5388,1774367334,2026-03-24T08:48:54,,,no,
5465,1774367459,2026-03-24T08:50:59,,,yes,
5528,1774367563,2026-03-24T08:52:43,,,yes,
5797,1774367893,2026-03-24T08:58:13,,,yes,
5927,1774368073,2026-03-24T09:01:13,,,yes,
5930,1774368083,2026-03-24T09:01:23,,,yes,
5963,1774368112,2026-03-24T09:01:52,,,yes,
6047,1774368208,2026-03-24T09:03:28,,,yes,
6243,1774368386,2026-03-24T09:06:26,,,yes,
6244,1774368386,2026-03-24T09:06:26,,,yes,
6245,1774368386,2026-03-24T09:06:26,,,yes,
6366,1774368486,2026-03-24T09:08:06,,,yes,
6893,1774368811,2026-03-24T09:13:31,,,yes,
7008,1774368898,2026-03-24T09:14:58,,,yes,
7055,1774368927,2026-03-24T09:15:27,,,yes,
7065,1774368934,2026-03-24T09:15:34,,,yes,
7090,1774368957,2026-03-24T09:15:57,,,yes,
7101,1774368964,2026-03-24T09:16:04,,,yes,
