ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775343599,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2773,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16422
1775343600,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2773,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16422
1775343601,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2773,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16422
1775343602,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343603,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343604,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343605,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343606,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2773,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16422
1775343607,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2773,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16422
1775343608,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2773,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16422
1775343609,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343610,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343611,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343612,27,26,27,1380,28,4669,29,2134,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,2382,24,6132,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,15650,16031
1775343613,27,26,27,1380,28,4669,29,1430,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,4382,24,4049,23,6033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,14946,15948
1775343614,27,26,27,1380,28,4669,29,1430,30,6547,31,0,32,360,33,60,34,200,35,0,36,300,37,0,26,1118,25,4774,24,3049,23,5033,22,320,21,20,20,20,19,6,18,0,17,0,16,0,14946,14340
