ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775347199,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,19,0,19,low_activity,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347200,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347201,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347202,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347203,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,low_activity,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347204,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347205,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347206,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,27,0,27,187266,178440,-0.0241,0,0,38,20,34,33,1
1775347207,33,66,0,28,0,28,low_activity,0,28,0,28,low_activity,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,2472,2472,38,20,34,33,1
1775347208,33,66,0,28,0,28,low_activity,0,28,0,28,low_activity,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,2472,2472,38,20,34,33,1
1775347209,33,66,0,0,0,0,no_volume,0,28,0,28,low_activity,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,2472,2472,38,20,34,33,1
1775347210,33,66,0,0,0,0,no_volume,0,28,0,28,low_activity,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,0,2472,38,20,34,33,1
1775347211,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,0,2472,38,20,34,33,1
1775347212,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,0,2472,38,20,34,33,1
1775347213,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,0,2472,38,20,34,33,1
1775347214,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,0,2472,38,20,34,33,1
1775347215,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,0,2472,38,20,34,33,1
1775347216,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189738,180940,-0.0237,0,2472,38,20,34,33,1
1775347217,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189382,181296,-0.0218,-356,-356,38,20,34,33,1
1775347218,33,66,0,0,0,0,no_volume,0,0,0,0,no_volume,0,28,0,28,low_activity,0,0,0,55,0,55,189382,181296,-0.0218,-356,-356,38,20,34,33,1
