ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775343599,72,27,0,0,1387,1387,low_activity,-1.0,0,4101,4101,ok_volume,-0.957,91,4101,4192,ok_volume,0,1387,1387,967,4101,5068,179046,173106,-0.0169,0,0,19,23,73,72,1
1775343600,72,27,0,0,1387,1387,low_activity,-1.0,0,4101,4101,ok_volume,-0.957,91,4101,4192,ok_volume,0,0,0,802,4101,4903,183746,175855,-0.0219,4700,4700,19,23,73,72,1
1775343601,72,27,0,0,1387,1387,low_activity,0,0,1387,1387,low_activity,-0.957,91,4101,4192,ok_volume,0,0,0,802,4101,4903,183746,175855,-0.0219,4700,4700,19,23,73,72,1
1775343602,72,27,0,0,0,0,no_volume,0,0,1387,1387,low_activity,-0.957,91,4101,4192,ok_volume,0,0,0,802,4101,4903,183746,175855,-0.0219,4700,4700,19,23,73,72,1
1775343603,72,27,0,0,929,929,low_activity,-1.0,0,2316,2316,ok_volume,-0.964,91,5030,5121,ok_volume,0,0,0,802,5030,5832,184109,175569,-0.0237,363,5063,19,23,73,72,1
1775343604,71,27,0,0,949,949,low_activity,0,0,949,949,low_activity,-0.965,91,5050,5141,ok_volume,0,20,20,802,5050,5852,184672,175609,-0.0252,926,5626,19,23,73,71,2
1775343605,72,27,0,0,20,20,low_activity,0,0,949,949,low_activity,-1.0,0,5050,5050,ok_volume,0,0,0,802,5050,5852,184672,175629,-0.0251,926,5626,19,24,73,72,1
1775343606,72,27,0,0,20,20,low_activity,0,0,949,949,low_activity,-1.0,0,5050,5050,ok_volume,0,0,0,802,5050,5852,184672,175629,-0.0251,563,5626,19,24,73,72,1
1775343607,72,27,0,30,10,40,low_activity,0,30,30,60,low_activity,-0.988,30,5060,5090,ok_volume,0,10,10,832,5060,5892,184642,175619,-0.025,-30,5596,19,24,73,72,1
1775343608,72,27,0,30,10,40,low_activity,0,30,30,60,low_activity,-0.988,30,5060,5090,ok_volume,0,22,22,832,5082,5914,184652,175568,-0.0252,-20,5606,19,24,73,72,1
