ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1775343599,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343600,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343601,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343602,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343603,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343604,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343605,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343606,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343607,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343608,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343609,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343610,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343611,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343612,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,185034,176997,-0.0222,0,0,27,18,24,23,1
1775343613,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187534,176997,-0.0289,2500,2500,27,18,24,23,1
1775343614,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187534,176997,-0.0289,2500,2500,27,18,24,23,1
1775343615,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187534,176997,-0.0289,2500,2500,27,18,24,23,1
1775343616,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187534,176997,-0.0289,0,2500,27,18,24,23,1
1775343617,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187534,176997,-0.0289,0,2500,27,18,24,23,1
1775343618,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187534,176997,-0.0289,0,2500,27,18,24,23,1
1775343619,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187534,176997,-0.0289,0,2500,27,18,24,23,1
1775343620,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,177317,-0.0271,-320,2180,27,18,24,23,1
1775343621,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,177317,-0.0271,-320,2180,27,18,24,23,1
1775343622,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,176317,-0.03,-320,2180,27,18,24,23,1
1775343623,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,176317,-0.03,0,-320,27,18,24,23,1
1775343624,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,-320,27,18,24,23,1
1775343625,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,-320,27,18,24,23,1
1775343626,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,-320,27,18,24,23,1
1775343627,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,-320,27,18,24,23,1
1775343628,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,-320,27,18,24,23,1
1775343629,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,-320,27,18,24,23,1
1775343630,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,0,27,18,24,23,1
1775343631,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,0,27,18,24,23,1
1775343632,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,175317,-0.0328,0,0,27,18,24,23,1
1775343633,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,174317,-0.0357,0,0,27,18,24,23,1
1775343634,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,174317,-0.0357,0,0,27,18,24,23,1
1775343635,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,174317,-0.0357,0,0,27,18,24,23,1
1775343636,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,174317,-0.0357,0,0,27,18,24,23,1
1775343637,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,174317,-0.0357,0,0,27,18,24,23,1
1775343638,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173317,-0.0385,0,0,27,18,24,23,1
1775343639,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173317,-0.0385,0,0,27,18,24,23,1
1775343640,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173317,-0.0385,0,0,27,18,24,23,1
1775343641,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173317,-0.0385,0,0,27,18,24,23,1
1775343642,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173817,-0.0371,0,0,27,18,24,23,1
1775343643,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173817,-0.0371,0,0,27,18,24,23,1
1775343644,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173817,-0.0371,0,0,27,18,24,23,1
1775343645,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173817,-0.0371,0,0,27,18,24,23,1
1775343646,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173817,-0.0371,0,0,27,18,24,23,1
1775343647,23,76,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,187214,173817,-0.0371,0,0,27,18,24,23,1
