ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773532799,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57688,13207,-0.6274,0,0,42,13,18,17,1
1773532800,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57688,13207,-0.6274,0,0,42,13,18,17,1
1773532801,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57688,13207,-0.6274,0,0,42,13,18,17,1
1773532802,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,-64,-64,42,13,18,17,1
1773532803,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,-64,-64,42,13,18,17,1
1773532804,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,-64,-64,42,13,18,17,1
1773532805,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,-64,42,13,18,17,1
1773532806,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,-64,42,13,18,17,1
1773532807,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,-64,42,13,18,17,1
1773532808,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,-64,42,13,18,17,1
1773532809,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,-64,42,13,18,17,1
1773532810,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,-64,42,13,18,17,1
1773532811,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,-64,42,13,18,17,1
1773532812,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,57624,13207,-0.6271,0,0,42,13,18,17,1
1773532813,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58229,13207,-0.6302,605,605,42,13,18,17,1
1773532814,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58229,13207,-0.6302,605,605,42,13,18,17,1
1773532815,17,82,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50031,13207,-0.5823,-7593,-7593,42,13,18,17,1
1773532816,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58941,12849,-0.642,712,1317,43,11,17,16,1
1773532817,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59029,12849,-0.6425,800,1405,43,11,17,16,1
1773532818,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59346,12849,-0.644,9315,1722,43,11,17,16,1
1773532819,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59346,12849,-0.644,405,1722,43,11,17,16,1
1773532820,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59346,12849,-0.644,317,1722,43,11,17,16,1
1773532821,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59346,12849,-0.644,0,1722,43,11,17,16,1
1773532822,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59346,12849,-0.644,0,1722,43,11,17,16,1
1773532823,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59101,12849,-0.6428,-245,872,43,11,17,16,1
1773532824,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59101,12849,-0.6428,-245,872,43,11,17,16,1
1773532825,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61512,12849,-0.6544,2166,11481,43,11,17,16,1
1773532826,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61512,12849,-0.6544,2411,2571,43,11,17,16,1
1773532827,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61512,12849,-0.6544,2411,2483,43,11,17,16,1
1773532828,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61512,12849,-0.6544,0,2166,43,11,17,16,1
1773532829,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,226,2392,43,12,17,16,1
1773532830,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,226,2392,43,12,17,16,1
1773532831,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,226,2392,43,12,17,16,1
1773532832,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,0,2392,43,12,17,16,1
1773532833,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,0,2637,43,12,17,16,1
1773532834,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,0,2637,43,12,17,16,1
1773532835,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,0,226,43,12,17,16,1
1773532836,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61738,11398,-0.6883,0,226,43,12,17,16,1
1773532837,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,-668,-442,43,12,17,16,1
1773532838,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,-668,-442,43,12,17,16,1
1773532839,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,-668,-668,43,12,17,16,1
1773532840,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,-668,43,12,17,16,1
1773532841,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,-668,43,12,17,16,1
1773532842,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,-668,43,12,17,16,1
1773532843,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,-668,43,12,17,16,1
1773532844,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,-668,43,12,17,16,1
1773532845,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,-668,43,12,17,16,1
1773532846,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,-668,43,12,17,16,1
1773532847,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,0,43,12,17,16,1
1773532848,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,0,43,12,17,16,1
1773532849,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,0,43,12,17,16,1
1773532850,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,0,43,12,17,16,1
1773532851,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,0,43,12,17,16,1
1773532852,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,61070,11398,-0.6854,0,0,43,12,17,16,1
1773532853,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60196,11398,-0.6816,-874,-874,43,12,17,16,1
1773532854,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60196,11398,-0.6816,-874,-874,43,12,17,16,1
1773532855,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,-2748,-2748,43,12,17,16,1
1773532856,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,-1874,-2748,43,12,17,16,1
1773532857,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,-1874,-2748,43,12,17,16,1
1773532858,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,-2748,43,12,17,16,1
1773532859,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,-2748,43,12,17,16,1
1773532860,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,-2748,43,12,17,16,1
1773532861,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,-2748,43,12,17,16,1
1773532862,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,-2748,43,12,17,16,1
1773532863,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,-1874,43,12,17,16,1
1773532864,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,-1874,43,12,17,16,1
1773532865,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,0,43,12,17,16,1
1773532866,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,0,43,12,17,16,1
1773532867,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,58322,11398,-0.673,0,0,43,12,17,16,1
1773532868,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59130,11398,-0.6768,808,808,43,12,17,16,1
1773532869,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,59130,11398,-0.6768,808,808,43,12,17,16,1
1773532870,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,2572,2572,43,12,17,16,1
1773532871,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,1764,2572,43,12,17,16,1
1773532872,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,1764,2572,43,12,17,16,1
1773532873,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,2572,43,12,17,16,1
1773532874,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,2572,43,12,17,16,1
1773532875,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,2572,43,12,17,16,1
1773532876,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,2572,43,12,17,16,1
1773532877,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,2572,43,12,17,16,1
1773532878,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,1764,43,12,17,16,1
1773532879,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,1764,43,12,17,16,1
1773532880,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,0,43,12,17,16,1
1773532881,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,0,43,12,17,16,1
1773532882,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,0,43,12,17,16,1
1773532883,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,60894,11398,-0.6847,0,0,43,12,17,16,1
