ts,price_yes,price_no,3sec_norm_OFI,3sec_yes_vol,3sec_no_vol,3sec_total_vol,3sec_note,5sec_norm_OFI,5sec_yes_vol,5sec_no_vol,5sec_total_vol,5sec_note,30sec_norm_OFI,30sec_yes_vol,30sec_no_vol,30sec_total_vol,30sec_note,1sec_yes_vol,1sec_no_vol,1sec_total_vol,60sec_yes_vol,60sec_no_vol,60sec_total_vol,ask_total_depth,bid_total_depth,depth_imbalance,ask_depth_change_3s,ask_depth_change_10s,ask_levels,bid_levels,best_ask,best_bid,spread
1773536399,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12302,-0.5885,0,0,51,10,17,16,1
1773536400,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12302,-0.5885,0,0,51,10,17,16,1
1773536401,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12302,-0.5885,0,0,51,10,17,16,1
1773536402,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12311,-0.5883,0,0,51,10,17,16,1
1773536403,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536404,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536405,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536406,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536407,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536408,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536409,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536410,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536411,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536412,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536413,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536414,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536415,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536416,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12341,-0.5875,0,0,51,10,17,16,1
1773536417,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,47494,12331,-0.5878,0,0,51,10,17,16,1
1773536418,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12331,-0.6043,2500,2500,52,10,17,16,1
1773536419,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12331,-0.6043,2500,2500,52,10,17,16,1
1773536420,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12331,-0.6043,2500,2500,52,10,17,16,1
1773536421,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12331,-0.6043,0,2500,52,10,17,16,1
1773536422,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12301,-0.6051,0,2500,52,10,17,16,1
1773536423,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12301,-0.6051,0,2500,52,10,17,16,1
1773536424,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12301,-0.6051,0,2500,52,10,17,16,1
1773536425,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12301,-0.6051,0,2500,52,10,17,16,1
1773536426,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12301,-0.6051,0,2500,52,10,17,16,1
1773536427,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12301,-0.6051,0,2500,52,10,17,16,1
1773536428,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49994,12301,-0.6051,0,0,52,10,17,16,1
1773536429,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,172,172,52,11,17,16,1
1773536430,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,172,172,52,11,17,16,1
1773536431,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,172,172,52,11,17,16,1
1773536432,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,0,172,52,11,17,16,1
1773536433,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,0,172,52,11,17,16,1
1773536434,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,0,172,52,11,17,16,1
1773536435,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,0,172,52,11,17,16,1
1773536436,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,50166,14624,-0.5486,0,172,52,11,17,16,1
1773536437,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,-423,-251,52,10,17,16,1
1773536438,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,-423,-251,52,10,17,16,1
1773536439,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,-423,-423,52,10,17,16,1
1773536440,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,-423,52,10,17,16,1
1773536441,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,-423,52,10,17,16,1
1773536442,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,-423,52,10,17,16,1
1773536443,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,-423,52,10,17,16,1
1773536444,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,-423,52,10,17,16,1
1773536445,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,-423,52,10,17,16,1
1773536446,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,-423,52,10,17,16,1
1773536447,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536448,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536449,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536450,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536451,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536452,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536453,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536454,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536455,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536456,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536457,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536458,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536459,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536460,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536461,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536462,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536463,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536464,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536465,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536466,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536467,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536468,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536469,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536470,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536471,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536472,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536473,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536474,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536475,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536476,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
1773536477,16,83,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,no_volume,0,0,0,0,0,0,49743,12552,-0.597,0,0,52,10,17,16,1
