Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
315,1775308137,2026-04-04T06:08:57,31,69,yes,4
1601,1775308922,2026-04-04T06:22:02,31,69,yes,3
75928,1775321504,2026-04-04T09:51:44,31,69,yes,150
107586,1775326647,2026-04-04T11:17:27,31,69,yes,2
107587,1775326647,2026-04-04T11:17:27,31,69,yes,4
116480,1775327681,2026-04-04T11:34:41,31,69,yes,4
120760,1775328242,2026-04-04T11:44:02,30,70,yes,6
122081,1775328403,2026-04-04T11:46:43,29,71,no,6
204967,1775336351,2026-04-04T13:59:11,30,70,yes,17
239012,1775338362,2026-04-04T14:32:42,29,71,no,16
240780,1775338418,2026-04-04T14:33:38,30,70,yes,1
244144,1775338561,2026-04-04T14:36:01,28,72,no,27
288699,1775339960,2026-04-04T14:59:20,29,71,yes,6
288700,1775339960,2026-04-04T14:59:20,29,71,yes,9
349120,1775342583,2026-04-04T15:43:03,29,71,yes,9
371072,1775343654,2026-04-04T16:00:54,29,71,yes,82
389018,1775344544,2026-04-04T16:15:44,29,71,yes,3
402077,1775345168,2026-04-04T16:26:08,29,71,yes,14
448573,1775347087,2026-04-04T16:58:07,29,71,yes,4
448574,1775347087,2026-04-04T16:58:07,29,71,yes,3
448575,1775347087,2026-04-04T16:58:07,29,71,yes,14
448576,1775347087,2026-04-04T16:58:07,29,71,yes,143
478387,1775348050,2026-04-04T17:14:10,30,70,yes,15
479467,1775348091,2026-04-04T17:14:51,30,70,yes,16
518974,1775349294,2026-04-04T17:34:54,30,70,yes,25
518975,1775349294,2026-04-04T17:34:54,31,69,yes,5
518976,1775349294,2026-04-04T17:34:54,31,69,yes,26
518977,1775349294,2026-04-04T17:34:54,32,68,yes,15
518978,1775349294,2026-04-04T17:34:54,32,68,yes,70
518979,1775349294,2026-04-04T17:34:54,32,68,yes,10
518980,1775349294,2026-04-04T17:34:54,33,67,yes,145
519699,1775349321,2026-04-04T17:35:21,29,71,yes,1
527332,1775349639,2026-04-04T17:40:39,24,76,no,2
527347,1775349640,2026-04-04T17:40:40,24,76,no,10
527415,1775349643,2026-04-04T17:40:43,25,75,no,30
527416,1775349643,2026-04-04T17:40:43,24,76,no,96
527641,1775349651,2026-04-04T17:40:51,23,77,no,10
