Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
123,1775308018,2026-04-04T06:06:58,25,75,no,5
1319,1775308738,2026-04-04T06:18:58,26,74,yes,3
8714,1775311214,2026-04-04T07:00:14,25,75,no,26
24099,1775314339,2026-04-04T07:52:19,26,74,yes,18
33512,1775315352,2026-04-04T08:09:12,26,74,yes,142
33513,1775315352,2026-04-04T08:09:12,26,74,yes,40
58849,1775318407,2026-04-04T09:00:07,27,73,yes,88
60228,1775318591,2026-04-04T09:03:11,27,73,yes,71
69317,1775319807,2026-04-04T09:23:27,25,75,no,3
70740,1775320242,2026-04-04T09:30:42,27,73,yes,86
71975,1775320529,2026-04-04T09:35:29,27,73,yes,172
71987,1775320532,2026-04-04T09:35:32,27,73,yes,344
75584,1775321428,2026-04-04T09:50:28,27,73,yes,5
75867,1775321495,2026-04-04T09:51:35,25,75,no,94
75868,1775321495,2026-04-04T09:51:35,25,75,no,41
75869,1775321495,2026-04-04T09:51:35,25,75,no,36
75870,1775321495,2026-04-04T09:51:35,25,75,no,3
75871,1775321495,2026-04-04T09:51:35,25,75,no,171
76173,1775321575,2026-04-04T09:52:55,26,74,yes,10
79085,1775322230,2026-04-04T10:03:50,27,73,yes,14
79086,1775322230,2026-04-04T10:03:50,27,73,yes,15
79953,1775322369,2026-04-04T10:06:09,27,73,yes,5
80151,1775322408,2026-04-04T10:06:48,25,75,no,1
81574,1775322661,2026-04-04T10:11:01,25,75,no,19
81614,1775322670,2026-04-04T10:11:10,25,75,no,2
81634,1775322674,2026-04-04T10:11:14,26,74,yes,28
81635,1775322674,2026-04-04T10:11:14,27,73,yes,5
81636,1775322674,2026-04-04T10:11:14,28,72,yes,1
81637,1775322674,2026-04-04T10:11:14,35,65,yes,7
81710,1775322686,2026-04-04T10:11:26,25,75,no,2
81732,1775322690,2026-04-04T10:11:30,25,75,no,2
81770,1775322697,2026-04-04T10:11:37,27,73,yes,27
81771,1775322697,2026-04-04T10:11:37,28,72,yes,27
81772,1775322697,2026-04-04T10:11:37,28,72,yes,144
82334,1775322827,2026-04-04T10:13:47,27,73,yes,29
82335,1775322827,2026-04-04T10:13:47,27,73,yes,147
82573,1775322879,2026-04-04T10:14:39,27,73,yes,6
83078,1775322994,2026-04-04T10:16:34,27,73,yes,10
83423,1775323064,2026-04-04T10:17:44,27,73,yes,14
83424,1775323064,2026-04-04T10:17:44,27,73,yes,21
83540,1775323085,2026-04-04T10:18:05,27,73,yes,6
83819,1775323148,2026-04-04T10:19:08,27,73,yes,17
83895,1775323160,2026-04-04T10:19:20,28,72,yes,50
84700,1775323330,2026-04-04T10:22:10,28,72,yes,142
84774,1775323344,2026-04-04T10:22:24,26,74,no,13
84775,1775323344,2026-04-04T10:22:24,26,74,no,13
84779,1775323345,2026-04-04T10:22:25,26,74,no,16
84780,1775323345,2026-04-04T10:22:25,25,75,no,14
84798,1775323348,2026-04-04T10:22:28,25,75,no,10
85178,1775323420,2026-04-04T10:23:40,27,73,yes,17
85581,1775323504,2026-04-04T10:25:04,27,73,yes,9
85582,1775323504,2026-04-04T10:25:04,27,73,yes,12
85777,1775323547,2026-04-04T10:25:47,28,72,yes,3
86603,1775323729,2026-04-04T10:28:49,28,72,yes,27
86604,1775323729,2026-04-04T10:28:49,28,72,yes,1
86605,1775323729,2026-04-04T10:28:49,28,72,yes,23
87585,1775323943,2026-04-04T10:32:23,29,71,yes,27
87586,1775323943,2026-04-04T10:32:23,29,71,yes,5
89584,1775324300,2026-04-04T10:38:20,29,71,no,1
91149,1775324486,2026-04-04T10:41:26,31,69,yes,5
91150,1775324486,2026-04-04T10:41:26,31,69,yes,1
91348,1775324506,2026-04-04T10:41:46,32,68,yes,26
91349,1775324506,2026-04-04T10:41:46,32,68,yes,9
91350,1775324506,2026-04-04T10:41:46,32,68,yes,39
91588,1775324537,2026-04-04T10:42:17,32,68,yes,80
91638,1775324544,2026-04-04T10:42:24,32,68,yes,25
92409,1775324663,2026-04-04T10:44:23,21,79,no,6
92418,1775324664,2026-04-04T10:44:24,20,80,no,15
92504,1775324675,2026-04-04T10:44:35,16,84,yes,3
92505,1775324675,2026-04-04T10:44:35,16,84,yes,1
92845,1775324717,2026-04-04T10:45:17,19,81,yes,3
92846,1775324717,2026-04-04T10:45:17,19,81,yes,10
92847,1775324717,2026-04-04T10:45:17,19,81,yes,2
92895,1775324721,2026-04-04T10:45:21,22,78,yes,5
92897,1775324721,2026-04-04T10:45:21,32,68,yes,5
92932,1775324726,2026-04-04T10:45:26,19,81,yes,20
92933,1775324726,2026-04-04T10:45:26,19,81,yes,5
92934,1775324726,2026-04-04T10:45:26,20,80,yes,29
92949,1775324728,2026-04-04T10:45:28,19,81,yes,5
92968,1775324729,2026-04-04T10:45:29,18,82,yes,10
92991,1775324732,2026-04-04T10:45:32,18,82,yes,9
93139,1775324753,2026-04-04T10:45:53,15,85,no,13
93140,1775324753,2026-04-04T10:45:53,15,85,no,25
93141,1775324753,2026-04-04T10:45:53,14,86,no,15
93142,1775324753,2026-04-04T10:45:53,14,86,no,10
93143,1775324753,2026-04-04T10:45:53,14,86,no,11
93144,1775324753,2026-04-04T10:45:53,13,87,no,6
93229,1775324764,2026-04-04T10:46:04,18,82,yes,7
93230,1775324764,2026-04-04T10:46:04,18,82,yes,1
93231,1775324764,2026-04-04T10:46:04,19,81,yes,10
93232,1775324764,2026-04-04T10:46:04,19,81,yes,5
93233,1775324764,2026-04-04T10:46:04,19,81,yes,5
93629,1775324810,2026-04-04T10:46:50,21,79,yes,3
93630,1775324810,2026-04-04T10:46:50,21,79,yes,5
93642,1775324811,2026-04-04T10:46:51,21,79,yes,1
93643,1775324811,2026-04-04T10:46:51,21,79,yes,25
93662,1775324816,2026-04-04T10:46:56,25,75,yes,19
94356,1775324911,2026-04-04T10:48:31,24,76,yes,55
94671,1775324956,2026-04-04T10:49:16,24,76,yes,7
