Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
1273,1773521278,2026-03-14T13:47:58,,,yes,
1827,1773521342,2026-03-14T13:49:02,,,yes,
1853,1773521345,2026-03-14T13:49:05,,,no,
2012,1773521361,2026-03-14T13:49:21,,,yes,
3439,1773521501,2026-03-14T13:51:41,,,yes,
5006,1773521623,2026-03-14T13:53:43,,,yes,
6299,1773521731,2026-03-14T13:55:31,,,yes,
6328,1773521733,2026-03-14T13:55:33,,,yes,
6350,1773521735,2026-03-14T13:55:35,,,yes,
7587,1773521847,2026-03-14T13:57:27,,,yes,
9081,1773521975,2026-03-14T13:59:35,,,yes,
9302,1773521996,2026-03-14T13:59:56,,,yes,
9900,1773522046,2026-03-14T14:00:46,,,yes,
10071,1773522059,2026-03-14T14:00:59,,,yes,
12134,1773522218,2026-03-14T14:03:38,,,yes,
13810,1773522321,2026-03-14T14:05:21,,,yes,
15352,1773522449,2026-03-14T14:07:29,,,yes,
15980,1773522493,2026-03-14T14:08:13,,,yes,
16007,1773522495,2026-03-14T14:08:15,,,yes,
17102,1773522581,2026-03-14T14:09:41,,,yes,
17147,1773522586,2026-03-14T14:09:46,,,yes,
18784,1773522711,2026-03-14T14:11:51,,,yes,
19507,1773522776,2026-03-14T14:12:56,,,no,
20641,1773522875,2026-03-14T14:14:35,,,yes,
20642,1773522875,2026-03-14T14:14:35,,,yes,
22179,1773522975,2026-03-14T14:16:15,,,yes,
22325,1773522985,2026-03-14T14:16:25,,,yes,
22529,1773522999,2026-03-14T14:16:39,,,yes,
23166,1773523053,2026-03-14T14:17:33,,,yes,
25427,1773523168,2026-03-14T14:19:28,,,yes,
26629,1773523230,2026-03-14T14:20:30,,,yes,
27701,1773523305,2026-03-14T14:21:45,,,yes,
28041,1773523332,2026-03-14T14:22:12,,,yes,
28337,1773523358,2026-03-14T14:22:38,,,yes,
28357,1773523360,2026-03-14T14:22:40,,,yes,
28741,1773523399,2026-03-14T14:23:19,,,yes,
29374,1773523454,2026-03-14T14:24:14,,,yes,
32527,1773523686,2026-03-14T14:28:06,,,yes,
34217,1773523812,2026-03-14T14:30:12,,,yes,
34478,1773523841,2026-03-14T14:30:41,,,yes,
34533,1773523846,2026-03-14T14:30:46,,,yes,
34708,1773523863,2026-03-14T14:31:03,,,yes,
35905,1773523971,2026-03-14T14:32:51,,,yes,
36313,1773523996,2026-03-14T14:33:16,,,yes,
37344,1773524056,2026-03-14T14:34:16,,,yes,
39108,1773524203,2026-03-14T14:36:43,,,yes,
40142,1773524298,2026-03-14T14:38:18,,,yes,
40760,1773524359,2026-03-14T14:39:19,,,yes,
43410,1773524584,2026-03-14T14:43:04,,,yes,
44704,1773524672,2026-03-14T14:44:32,,,yes,
45799,1773524760,2026-03-14T14:46:00,,,yes,
45849,1773524765,2026-03-14T14:46:05,,,yes,
46038,1773524782,2026-03-14T14:46:22,,,yes,
46133,1773524794,2026-03-14T14:46:34,,,yes,
46146,1773524794,2026-03-14T14:46:34,,,yes,
47224,1773524892,2026-03-14T14:48:12,,,yes,
47225,1773524892,2026-03-14T14:48:12,,,yes,
47487,1773524910,2026-03-14T14:48:30,,,yes,
48315,1773524974,2026-03-14T14:49:34,,,yes,
49140,1773525032,2026-03-14T14:50:32,,,yes,
49158,1773525033,2026-03-14T14:50:33,,,yes,
49183,1773525035,2026-03-14T14:50:35,,,yes,
50299,1773525086,2026-03-14T14:51:26,,,yes,
50370,1773525089,2026-03-14T14:51:29,,,yes,
53196,1773525213,2026-03-14T14:53:33,,,yes,
53674,1773525233,2026-03-14T14:53:53,,,yes,
55435,1773525316,2026-03-14T14:55:16,,,yes,
55853,1773525341,2026-03-14T14:55:41,,,yes,
55995,1773525350,2026-03-14T14:55:50,,,yes,
57386,1773525417,2026-03-14T14:56:57,,,yes,
57387,1773525417,2026-03-14T14:56:57,,,yes,
57584,1773525426,2026-03-14T14:57:06,,,yes,
57607,1773525428,2026-03-14T14:57:08,,,yes,
57639,1773525430,2026-03-14T14:57:10,,,yes,
57640,1773525430,2026-03-14T14:57:10,,,yes,
58245,1773525458,2026-03-14T14:57:38,,,yes,
58246,1773525458,2026-03-14T14:57:38,,,yes,
60571,1773525604,2026-03-14T15:00:04,,,yes,
60642,1773525611,2026-03-14T15:00:11,,,yes,
61015,1773525643,2026-03-14T15:00:43,,,yes,
61016,1773525643,2026-03-14T15:00:43,,,yes,
61017,1773525643,2026-03-14T15:00:43,,,yes,
61186,1773525660,2026-03-14T15:01:00,,,yes,
61497,1773525687,2026-03-14T15:01:27,,,yes,
61531,1773525690,2026-03-14T15:01:30,,,yes,
62255,1773525741,2026-03-14T15:02:21,,,yes,
62256,1773525741,2026-03-14T15:02:21,,,yes,
62257,1773525741,2026-03-14T15:02:21,,,yes,
62258,1773525741,2026-03-14T15:02:21,,,yes,
62259,1773525741,2026-03-14T15:02:21,,,yes,
62474,1773525755,2026-03-14T15:02:35,,,yes,
62475,1773525755,2026-03-14T15:02:35,,,yes,
62865,1773525776,2026-03-14T15:02:56,,,yes,
63223,1773525790,2026-03-14T15:03:10,,,yes,
64005,1773525820,2026-03-14T15:03:40,,,yes,
64280,1773525836,2026-03-14T15:03:56,,,yes,
65264,1773525891,2026-03-14T15:04:51,,,yes,
65914,1773525946,2026-03-14T15:05:46,,,yes,
68642,1773526101,2026-03-14T15:08:21,,,yes,
68699,1773526109,2026-03-14T15:08:29,,,yes,
69050,1773526143,2026-03-14T15:09:03,,,yes,
69659,1773526195,2026-03-14T15:09:55,,,yes,
70170,1773526237,2026-03-14T15:10:37,,,yes,
70613,1773526272,2026-03-14T15:11:12,,,yes,
70941,1773526295,2026-03-14T15:11:35,,,yes,
71705,1773526366,2026-03-14T15:12:46,,,yes,
71866,1773526378,2026-03-14T15:12:58,,,yes,
72388,1773526433,2026-03-14T15:13:53,,,yes,
72477,1773526445,2026-03-14T15:14:05,,,yes,
73028,1773526497,2026-03-14T15:14:57,,,yes,
73961,1773526588,2026-03-14T15:16:28,,,yes,
74516,1773526636,2026-03-14T15:17:16,,,yes,
75666,1773526732,2026-03-14T15:18:52,,,yes,
76462,1773526799,2026-03-14T15:19:59,,,yes,
78392,1773526967,2026-03-14T15:22:47,,,yes,
79295,1773527053,2026-03-14T15:24:13,,,yes,
79473,1773527074,2026-03-14T15:24:34,,,yes,
80015,1773527123,2026-03-14T15:25:23,,,yes,
80021,1773527123,2026-03-14T15:25:23,,,yes,
80969,1773527215,2026-03-14T15:26:55,,,yes,
81525,1773527280,2026-03-14T15:28:00,,,yes,
82242,1773527352,2026-03-14T15:29:12,,,yes,
82488,1773527379,2026-03-14T15:29:39,,,yes,
82852,1773527399,2026-03-14T15:29:59,,,yes,
84150,1773527504,2026-03-14T15:31:44,,,yes,
85567,1773527595,2026-03-14T15:33:15,,,yes,
85635,1773527603,2026-03-14T15:33:23,,,yes,
85743,1773527615,2026-03-14T15:33:35,,,yes,
85798,1773527619,2026-03-14T15:33:39,,,yes,
86734,1773527705,2026-03-14T15:35:05,,,yes,
86771,1773527708,2026-03-14T15:35:08,,,yes,
87513,1773527784,2026-03-14T15:36:24,,,yes,
87514,1773527784,2026-03-14T15:36:24,,,yes,
87806,1773527815,2026-03-14T15:36:55,,,yes,
87822,1773527816,2026-03-14T15:36:56,,,yes,
88071,1773527841,2026-03-14T15:37:21,,,yes,
89672,1773528066,2026-03-14T15:41:06,,,yes,
90162,1773528142,2026-03-14T15:42:22,,,yes,
90231,1773528153,2026-03-14T15:42:33,,,yes,
90496,1773528185,2026-03-14T15:43:05,,,yes,
90497,1773528185,2026-03-14T15:43:05,,,yes,
90939,1773528235,2026-03-14T15:43:55,,,yes,
90940,1773528235,2026-03-14T15:43:55,,,yes,
91289,1773528276,2026-03-14T15:44:36,,,yes,
91290,1773528276,2026-03-14T15:44:36,,,yes,
91312,1773528279,2026-03-14T15:44:39,,,yes,
91448,1773528298,2026-03-14T15:44:58,,,yes,
92551,1773528418,2026-03-14T15:46:58,,,yes,
93888,1773528526,2026-03-14T15:48:46,,,yes,
94969,1773528629,2026-03-14T15:50:29,,,yes,
95383,1773528661,2026-03-14T15:51:01,,,yes,
95522,1773528680,2026-03-14T15:51:20,,,yes,
95624,1773528690,2026-03-14T15:51:30,,,yes,
95662,1773528695,2026-03-14T15:51:35,,,yes,
95863,1773528713,2026-03-14T15:51:53,,,yes,
95975,1773528724,2026-03-14T15:52:04,,,yes,
96362,1773528763,2026-03-14T15:52:43,,,yes,
96744,1773528801,2026-03-14T15:53:21,,,yes,
96957,1773528823,2026-03-14T15:53:43,,,yes,
97013,1773528828,2026-03-14T15:53:48,,,yes,
97935,1773528933,2026-03-14T15:55:33,,,yes,
98389,1773528986,2026-03-14T15:56:26,,,yes,
98851,1773529047,2026-03-14T15:57:27,,,yes,
99616,1773529137,2026-03-14T15:58:57,,,yes,
99990,1773529175,2026-03-14T15:59:35,,,yes,
99991,1773529175,2026-03-14T15:59:35,,,yes,
100049,1773529179,2026-03-14T15:59:39,,,yes,
100050,1773529179,2026-03-14T15:59:39,,,yes,
100478,1773529212,2026-03-14T16:00:12,,,yes,
100872,1773529243,2026-03-14T16:00:43,,,yes,
100944,1773529251,2026-03-14T16:00:51,,,yes,
101082,1773529266,2026-03-14T16:01:06,,,yes,
101298,1773529283,2026-03-14T16:01:23,,,yes,
101757,1773529328,2026-03-14T16:02:08,,,yes,
101785,1773529331,2026-03-14T16:02:11,,,yes,
102243,1773529367,2026-03-14T16:02:47,,,yes,
102282,1773529372,2026-03-14T16:02:52,,,yes,
102477,1773529397,2026-03-14T16:03:17,,,yes,
102559,1773529404,2026-03-14T16:03:24,,,yes,
102586,1773529406,2026-03-14T16:03:26,,,yes,
102973,1773529448,2026-03-14T16:04:08,,,yes,
103670,1773529528,2026-03-14T16:05:28,,,yes,
103692,1773529531,2026-03-14T16:05:31,,,yes,
104720,1773529652,2026-03-14T16:07:32,,,yes,
105007,1773529682,2026-03-14T16:08:02,,,yes,
105203,1773529702,2026-03-14T16:08:22,,,yes,
105214,1773529703,2026-03-14T16:08:23,,,yes,
105230,1773529704,2026-03-14T16:08:24,,,yes,
105577,1773529738,2026-03-14T16:08:58,,,yes,
105748,1773529751,2026-03-14T16:09:11,,,yes,
105975,1773529773,2026-03-14T16:09:33,,,yes,
106013,1773529777,2026-03-14T16:09:37,,,yes,
106171,1773529791,2026-03-14T16:09:51,,,yes,
106327,1773529804,2026-03-14T16:10:04,,,yes,
