Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
14477,1773522378,2026-03-14T14:06:18,,,yes,
48675,1773525004,2026-03-14T14:50:04,,,yes,
96526,1773528781,2026-03-14T15:53:01,,,yes,
101341,1773529288,2026-03-14T16:01:28,,,yes,
101762,1773529329,2026-03-14T16:02:09,,,yes,
125768,1773533316,2026-03-14T17:08:36,,,yes,
125769,1773533316,2026-03-14T17:08:36,,,yes,
134322,1773534585,2026-03-14T17:29:45,,,yes,
135367,1773534713,2026-03-14T17:31:53,,,yes,
135368,1773534713,2026-03-14T17:31:53,,,yes,
135369,1773534713,2026-03-14T17:31:53,,,yes,
135370,1773534713,2026-03-14T17:31:53,,,yes,
135371,1773534713,2026-03-14T17:31:53,,,yes,
135372,1773534713,2026-03-14T17:31:53,,,yes,
135373,1773534713,2026-03-14T17:31:53,,,yes,
135374,1773534713,2026-03-14T17:31:53,,,yes,
136783,1773534889,2026-03-14T17:34:49,,,yes,
138215,1773535068,2026-03-14T17:37:48,,,yes,
140104,1773535298,2026-03-14T17:41:38,,,yes,
140105,1773535298,2026-03-14T17:41:38,,,yes,
143285,1773535647,2026-03-14T17:47:27,,,yes,
143286,1773535647,2026-03-14T17:47:27,,,yes,
143491,1773535668,2026-03-14T17:47:48,,,yes,
144107,1773535740,2026-03-14T17:49:00,,,yes,
145906,1773535955,2026-03-14T17:52:35,,,yes,
146157,1773535973,2026-03-14T17:52:53,,,yes,
146208,1773535980,2026-03-14T17:53:00,,,yes,
150009,1773536349,2026-03-14T17:59:09,,,yes,
152293,1773536564,2026-03-14T18:02:44,,,yes,
152294,1773536564,2026-03-14T18:02:44,,,yes,
153611,1773536709,2026-03-14T18:05:09,,,yes,
153612,1773536709,2026-03-14T18:05:09,,,yes,
154020,1773536755,2026-03-14T18:05:55,,,yes,
155270,1773536927,2026-03-14T18:08:47,,,yes,
155929,1773537006,2026-03-14T18:10:06,,,yes,
155930,1773537006,2026-03-14T18:10:06,,,yes,
157709,1773537190,2026-03-14T18:13:10,,,yes,
157830,1773537203,2026-03-14T18:13:23,,,yes,
158733,1773537306,2026-03-14T18:15:06,,,yes,
159819,1773537470,2026-03-14T18:17:50,,,yes,
160095,1773537512,2026-03-14T18:18:32,,,yes,
163216,1773537953,2026-03-14T18:25:53,,,no,
163703,1773538032,2026-03-14T18:27:12,,,yes,
163704,1773538032,2026-03-14T18:27:12,,,yes,
163705,1773538032,2026-03-14T18:27:12,,,yes,
163706,1773538032,2026-03-14T18:27:12,,,yes,
163707,1773538032,2026-03-14T18:27:12,,,yes,
163708,1773538032,2026-03-14T18:27:12,,,yes,
163799,1773538045,2026-03-14T18:27:25,,,yes,
163800,1773538045,2026-03-14T18:27:25,,,yes,
163801,1773538045,2026-03-14T18:27:25,,,yes,
163898,1773538058,2026-03-14T18:27:38,,,no,
164245,1773538113,2026-03-14T18:28:33,,,yes,
164253,1773538115,2026-03-14T18:28:35,,,yes,
164271,1773538116,2026-03-14T18:28:36,,,yes,
164504,1773538146,2026-03-14T18:29:06,,,no,
164812,1773538184,2026-03-14T18:29:44,,,no,
164889,1773538191,2026-03-14T18:29:51,,,no,
164949,1773538201,2026-03-14T18:30:01,,,yes,
164950,1773538201,2026-03-14T18:30:01,,,yes,
164951,1773538201,2026-03-14T18:30:01,,,yes,
164952,1773538201,2026-03-14T18:30:01,,,yes,
165072,1773538216,2026-03-14T18:30:16,,,yes,
165073,1773538216,2026-03-14T18:30:16,,,yes,
165219,1773538233,2026-03-14T18:30:33,,,no,
166552,1773538377,2026-03-14T18:32:57,,,yes,
166553,1773538377,2026-03-14T18:32:57,,,yes,
166554,1773538377,2026-03-14T18:32:57,,,yes,
166830,1773538411,2026-03-14T18:33:31,,,yes,
167040,1773538432,2026-03-14T18:33:52,,,no,
167041,1773538432,2026-03-14T18:33:52,,,yes,
167375,1773538463,2026-03-14T18:34:23,,,yes,
168679,1773538634,2026-03-14T18:37:14,,,yes,
168828,1773538651,2026-03-14T18:37:31,,,yes,
168829,1773538651,2026-03-14T18:37:31,,,yes,
169774,1773538783,2026-03-14T18:39:43,,,yes,
170827,1773538962,2026-03-14T18:42:42,,,yes,
171253,1773539032,2026-03-14T18:43:52,,,yes,
171575,1773539086,2026-03-14T18:44:46,,,yes,
171740,1773539118,2026-03-14T18:45:18,,,yes,
172176,1773539173,2026-03-14T18:46:13,,,yes,
172177,1773539173,2026-03-14T18:46:13,,,yes,
172408,1773539204,2026-03-14T18:46:44,,,yes,
173323,1773539379,2026-03-14T18:49:39,,,yes,
173394,1773539391,2026-03-14T18:49:51,,,yes,
174221,1773539538,2026-03-14T18:52:18,,,yes,
174395,1773539571,2026-03-14T18:52:51,,,yes,
174997,1773539678,2026-03-14T18:54:38,,,yes,
175036,1773539684,2026-03-14T18:54:44,,,yes,
175182,1773539703,2026-03-14T18:55:03,,,yes,
175216,1773539708,2026-03-14T18:55:08,,,no,
175658,1773539762,2026-03-14T18:56:02,,,yes,
175686,1773539764,2026-03-14T18:56:04,,,yes,
175687,1773539764,2026-03-14T18:56:04,,,yes,
175785,1773539776,2026-03-14T18:56:16,,,yes,
176807,1773539902,2026-03-14T18:58:22,,,yes,
176911,1773539915,2026-03-14T18:58:35,,,yes,
177326,1773539965,2026-03-14T18:59:25,,,yes,
178098,1773540056,2026-03-14T19:00:56,,,yes,
178698,1773540144,2026-03-14T19:02:24,,,yes,
178699,1773540144,2026-03-14T19:02:24,,,yes,
178700,1773540144,2026-03-14T19:02:24,,,yes,
179228,1773540212,2026-03-14T19:03:32,,,yes,
179229,1773540212,2026-03-14T19:03:32,,,yes,
179281,1773540218,2026-03-14T19:03:38,,,yes,
179326,1773540225,2026-03-14T19:03:45,,,no,
179402,1773540236,2026-03-14T19:03:56,,,no,
179403,1773540236,2026-03-14T19:03:56,,,no,
179435,1773540240,2026-03-14T19:04:00,,,no,
179527,1773540246,2026-03-14T19:04:06,,,yes,
179528,1773540246,2026-03-14T19:04:06,,,yes,
179529,1773540246,2026-03-14T19:04:06,,,yes,
179530,1773540246,2026-03-14T19:04:06,,,yes,
179550,1773540249,2026-03-14T19:04:09,,,no,
179551,1773540249,2026-03-14T19:04:09,,,no,
179559,1773540249,2026-03-14T19:04:09,,,no,
179562,1773540250,2026-03-14T19:04:10,,,no,
179572,1773540251,2026-03-14T19:04:11,,,no,
179573,1773540251,2026-03-14T19:04:11,,,no,
179814,1773540286,2026-03-14T19:04:46,,,no,
179815,1773540286,2026-03-14T19:04:46,,,no,
179890,1773540295,2026-03-14T19:04:55,,,yes,
179891,1773540295,2026-03-14T19:04:55,,,yes,
180164,1773540326,2026-03-14T19:05:26,,,yes,
180165,1773540326,2026-03-14T19:05:26,,,yes,
180187,1773540329,2026-03-14T19:05:29,,,yes,
180231,1773540333,2026-03-14T19:05:33,,,yes,
180232,1773540333,2026-03-14T19:05:33,,,yes,
180243,1773540334,2026-03-14T19:05:34,,,yes,
180244,1773540334,2026-03-14T19:05:34,,,yes,
180252,1773540334,2026-03-14T19:05:34,,,yes,
180460,1773540347,2026-03-14T19:05:47,,,yes,
180892,1773540389,2026-03-14T19:06:29,,,yes,
180893,1773540389,2026-03-14T19:06:29,,,yes,
180894,1773540389,2026-03-14T19:06:29,,,yes,
180895,1773540389,2026-03-14T19:06:29,,,yes,
180896,1773540389,2026-03-14T19:06:29,,,yes,
180897,1773540389,2026-03-14T19:06:29,,,yes,
181098,1773540416,2026-03-14T19:06:56,,,yes,
181099,1773540416,2026-03-14T19:06:56,,,yes,
181250,1773540437,2026-03-14T19:07:17,,,yes,
181396,1773540456,2026-03-14T19:07:36,,,yes,
181438,1773540460,2026-03-14T19:07:40,,,yes,
181527,1773540471,2026-03-14T19:07:51,,,yes,
181555,1773540475,2026-03-14T19:07:55,,,yes,
181574,1773540477,2026-03-14T19:07:57,,,yes,
181632,1773540486,2026-03-14T19:08:06,,,yes,
181633,1773540486,2026-03-14T19:08:06,,,yes,
181710,1773540495,2026-03-14T19:08:15,,,no,
181758,1773540499,2026-03-14T19:08:19,,,no,
181759,1773540499,2026-03-14T19:08:19,,,no,
181760,1773540499,2026-03-14T19:08:19,,,no,
182046,1773540531,2026-03-14T19:08:51,,,yes,
182360,1773540561,2026-03-14T19:09:21,,,yes,
182571,1773540591,2026-03-14T19:09:51,,,yes,
182592,1773540593,2026-03-14T19:09:53,,,yes,
182605,1773540595,2026-03-14T19:09:55,,,yes,
182761,1773540612,2026-03-14T19:10:12,,,no,
182762,1773540612,2026-03-14T19:10:12,,,no,
182797,1773540618,2026-03-14T19:10:18,,,yes,
182926,1773540635,2026-03-14T19:10:35,,,yes,
182927,1773540635,2026-03-14T19:10:35,,,yes,
182928,1773540635,2026-03-14T19:10:35,,,yes,
182929,1773540635,2026-03-14T19:10:35,,,yes,
183177,1773540667,2026-03-14T19:11:07,,,yes,
183199,1773540669,2026-03-14T19:11:09,,,yes,
183299,1773540681,2026-03-14T19:11:21,,,yes,
183300,1773540681,2026-03-14T19:11:21,,,yes,
183301,1773540681,2026-03-14T19:11:21,,,yes,
183302,1773540681,2026-03-14T19:11:21,,,yes,
183303,1773540681,2026-03-14T19:11:21,,,yes,
183304,1773540681,2026-03-14T19:11:21,,,yes,
183305,1773540681,2026-03-14T19:11:21,,,yes,
183306,1773540681,2026-03-14T19:11:21,,,yes,
183526,1773540711,2026-03-14T19:11:51,,,yes,
183706,1773540734,2026-03-14T19:12:14,,,yes,
183750,1773540742,2026-03-14T19:12:22,,,yes,
183875,1773540758,2026-03-14T19:12:38,,,yes,
183876,1773540758,2026-03-14T19:12:38,,,yes,
183877,1773540758,2026-03-14T19:12:38,,,yes,
184010,1773540781,2026-03-14T19:13:01,,,yes,
184443,1773540847,2026-03-14T19:14:07,,,yes,
184477,1773540851,2026-03-14T19:14:11,,,no,
184478,1773540851,2026-03-14T19:14:11,,,no,
184479,1773540851,2026-03-14T19:14:11,,,no,
184555,1773540861,2026-03-14T19:14:21,,,no,
184556,1773540861,2026-03-14T19:14:21,,,no,
184557,1773540861,2026-03-14T19:14:21,,,no,
184629,1773540870,2026-03-14T19:14:30,,,yes,
184630,1773540870,2026-03-14T19:14:30,,,yes,
184968,1773540894,2026-03-14T19:14:54,,,yes,
185150,1773540916,2026-03-14T19:15:16,,,yes,
185408,1773540951,2026-03-14T19:15:51,,,no,
185438,1773540954,2026-03-14T19:15:54,,,yes,
185591,1773540974,2026-03-14T19:16:14,,,yes,
185673,1773540982,2026-03-14T19:16:22,,,yes,
185674,1773540982,2026-03-14T19:16:22,,,yes,
185675,1773540982,2026-03-14T19:16:22,,,yes,
186063,1773541019,2026-03-14T19:16:59,,,yes,
186131,1773541023,2026-03-14T19:17:03,,,yes,
186629,1773541063,2026-03-14T19:17:43,,,yes,
186630,1773541063,2026-03-14T19:17:43,,,yes,
187574,1773541139,2026-03-14T19:18:59,,,yes,
188340,1773541209,2026-03-14T19:20:09,,,no,
188341,1773541209,2026-03-14T19:20:09,,,no,
188342,1773541209,2026-03-14T19:20:09,,,no,
188343,1773541209,2026-03-14T19:20:09,,,no,
188364,1773541210,2026-03-14T19:20:10,,,yes,
188366,1773541210,2026-03-14T19:20:10,,,yes,
188370,1773541210,2026-03-14T19:20:10,,,no,
188371,1773541210,2026-03-14T19:20:10,,,no,
188376,1773541210,2026-03-14T19:20:10,,,no,
188377,1773541210,2026-03-14T19:20:10,,,no,
188378,1773541210,2026-03-14T19:20:10,,,no,
188386,1773541212,2026-03-14T19:20:12,,,no,
188400,1773541212,2026-03-14T19:20:12,,,no,
188401,1773541212,2026-03-14T19:20:12,,,no,
188402,1773541212,2026-03-14T19:20:12,,,no,
188409,1773541212,2026-03-14T19:20:12,,,no,
188427,1773541213,2026-03-14T19:20:13,,,no,
188428,1773541213,2026-03-14T19:20:13,,,no,
188429,1773541213,2026-03-14T19:20:13,,,no,
188430,1773541213,2026-03-14T19:20:13,,,no,
188431,1773541213,2026-03-14T19:20:13,,,no,
188439,1773541213,2026-03-14T19:20:13,,,no,
188440,1773541213,2026-03-14T19:20:13,,,no,
188441,1773541213,2026-03-14T19:20:13,,,no,
188442,1773541213,2026-03-14T19:20:13,,,no,
188443,1773541213,2026-03-14T19:20:13,,,no,
188444,1773541213,2026-03-14T19:20:13,,,no,
188445,1773541213,2026-03-14T19:20:13,,,no,
188446,1773541213,2026-03-14T19:20:13,,,no,
188447,1773541213,2026-03-14T19:20:13,,,no,
188448,1773541213,2026-03-14T19:20:13,,,no,
188449,1773541213,2026-03-14T19:20:13,,,no,
188453,1773541213,2026-03-14T19:20:13,,,no,
188454,1773541213,2026-03-14T19:20:13,,,no,
188455,1773541213,2026-03-14T19:20:13,,,no,
188456,1773541213,2026-03-14T19:20:13,,,no,
188457,1773541213,2026-03-14T19:20:13,,,no,
188458,1773541213,2026-03-14T19:20:13,,,no,
188459,1773541213,2026-03-14T19:20:13,,,no,
188460,1773541213,2026-03-14T19:20:13,,,no,
188462,1773541213,2026-03-14T19:20:13,,,no,
188463,1773541213,2026-03-14T19:20:13,,,no,
188464,1773541213,2026-03-14T19:20:13,,,no,
188465,1773541213,2026-03-14T19:20:13,,,no,
188473,1773541215,2026-03-14T19:20:15,,,no,
188474,1773541215,2026-03-14T19:20:15,,,no,
188478,1773541215,2026-03-14T19:20:15,,,no,
188479,1773541215,2026-03-14T19:20:15,,,no,
188487,1773541215,2026-03-14T19:20:15,,,no,
188488,1773541215,2026-03-14T19:20:15,,,no,
188492,1773541215,2026-03-14T19:20:15,,,no,
188493,1773541215,2026-03-14T19:20:15,,,no,
188501,1773541215,2026-03-14T19:20:15,,,no,
188504,1773541215,2026-03-14T19:20:15,,,no,
188791,1773541237,2026-03-14T19:20:37,,,no,
188792,1773541237,2026-03-14T19:20:37,,,no,
188843,1773541243,2026-03-14T19:20:43,,,no,
188844,1773541243,2026-03-14T19:20:43,,,no,
188845,1773541243,2026-03-14T19:20:43,,,no,
188846,1773541243,2026-03-14T19:20:43,,,no,
188847,1773541243,2026-03-14T19:20:43,,,no,
188877,1773541245,2026-03-14T19:20:45,,,yes,
188878,1773541245,2026-03-14T19:20:45,,,yes,
188879,1773541245,2026-03-14T19:20:45,,,yes,
188880,1773541245,2026-03-14T19:20:45,,,yes,
188952,1773541252,2026-03-14T19:20:52,,,yes,
189047,1773541261,2026-03-14T19:21:01,,,yes,
189095,1773541264,2026-03-14T19:21:04,,,no,
189128,1773541269,2026-03-14T19:21:09,,,no,
189129,1773541269,2026-03-14T19:21:09,,,no,
189130,1773541269,2026-03-14T19:21:09,,,no,
189131,1773541269,2026-03-14T19:21:09,,,no,
189132,1773541269,2026-03-14T19:21:09,,,no,
189133,1773541269,2026-03-14T19:21:09,,,no,
189134,1773541269,2026-03-14T19:21:09,,,no,
189135,1773541269,2026-03-14T19:21:09,,,no,
189152,1773541272,2026-03-14T19:21:12,,,yes,
189166,1773541273,2026-03-14T19:21:13,,,yes,
189171,1773541273,2026-03-14T19:21:13,,,yes,
189175,1773541273,2026-03-14T19:21:13,,,no,
189176,1773541273,2026-03-14T19:21:13,,,no,
189262,1773541281,2026-03-14T19:21:21,,,no,
189311,1773541287,2026-03-14T19:21:27,,,yes,
189325,1773541287,2026-03-14T19:21:27,,,yes,
189330,1773541287,2026-03-14T19:21:27,,,yes,
189425,1773541298,2026-03-14T19:21:38,,,no,
189426,1773541298,2026-03-14T19:21:38,,,no,
189459,1773541301,2026-03-14T19:21:41,,,yes,
189460,1773541301,2026-03-14T19:21:41,,,yes,
189461,1773541301,2026-03-14T19:21:41,,,yes,
189462,1773541301,2026-03-14T19:21:41,,,yes,
189501,1773541305,2026-03-14T19:21:45,,,yes,
189502,1773541305,2026-03-14T19:21:45,,,yes,
189503,1773541305,2026-03-14T19:21:45,,,yes,
189530,1773541308,2026-03-14T19:21:48,,,no,
189865,1773541337,2026-03-14T19:22:17,,,no,
190225,1773541370,2026-03-14T19:22:50,,,no,
190309,1773541376,2026-03-14T19:22:56,,,yes,
190390,1773541384,2026-03-14T19:23:04,,,yes,
190391,1773541384,2026-03-14T19:23:04,,,yes,
190392,1773541384,2026-03-14T19:23:04,,,yes,
190393,1773541384,2026-03-14T19:23:04,,,yes,
190394,1773541384,2026-03-14T19:23:04,,,yes,
190395,1773541384,2026-03-14T19:23:04,,,yes,
190396,1773541384,2026-03-14T19:23:04,,,yes,
190397,1773541384,2026-03-14T19:23:04,,,yes,
190432,1773541387,2026-03-14T19:23:07,,,yes,
190434,1773541387,2026-03-14T19:23:07,,,yes,
190435,1773541387,2026-03-14T19:23:07,,,yes,
190450,1773541387,2026-03-14T19:23:07,,,yes,
190473,1773541387,2026-03-14T19:23:07,,,yes,
190474,1773541387,2026-03-14T19:23:07,,,yes,
190475,1773541387,2026-03-14T19:23:07,,,yes,
190476,1773541387,2026-03-14T19:23:07,,,yes,
190477,1773541387,2026-03-14T19:23:07,,,yes,
190478,1773541387,2026-03-14T19:23:07,,,yes,
190486,1773541387,2026-03-14T19:23:07,,,no,
190489,1773541387,2026-03-14T19:23:07,,,no,
190490,1773541387,2026-03-14T19:23:07,,,no,
190491,1773541387,2026-03-14T19:23:07,,,no,
190492,1773541387,2026-03-14T19:23:07,,,no,
190582,1773541390,2026-03-14T19:23:10,,,no,
190637,1773541395,2026-03-14T19:23:15,,,yes,
190653,1773541397,2026-03-14T19:23:17,,,yes,
190654,1773541397,2026-03-14T19:23:17,,,yes,
190707,1773541402,2026-03-14T19:23:22,,,yes,
190763,1773541406,2026-03-14T19:23:26,,,yes,
190764,1773541406,2026-03-14T19:23:26,,,yes,
190786,1773541408,2026-03-14T19:23:28,,,yes,
190807,1773541410,2026-03-14T19:23:30,,,yes,
190814,1773541411,2026-03-14T19:23:31,,,yes,
190847,1773541413,2026-03-14T19:23:33,,,no,
190859,1773541414,2026-03-14T19:23:34,,,yes,
191100,1773541431,2026-03-14T19:23:51,,,yes,
191128,1773541433,2026-03-14T19:23:53,,,yes,
191229,1773541440,2026-03-14T19:24:00,,,yes,
191230,1773541440,2026-03-14T19:24:00,,,yes,
191324,1773541447,2026-03-14T19:24:07,,,no,
191325,1773541447,2026-03-14T19:24:07,,,no,
191326,1773541447,2026-03-14T19:24:07,,,no,
191327,1773541447,2026-03-14T19:24:07,,,no,
191328,1773541447,2026-03-14T19:24:07,,,no,
191329,1773541447,2026-03-14T19:24:07,,,no,
191330,1773541447,2026-03-14T19:24:07,,,no,
191331,1773541447,2026-03-14T19:24:07,,,no,
191332,1773541447,2026-03-14T19:24:07,,,no,
191333,1773541447,2026-03-14T19:24:07,,,no,
191334,1773541447,2026-03-14T19:24:07,,,no,
191335,1773541447,2026-03-14T19:24:07,,,no,
191348,1773541447,2026-03-14T19:24:07,,,no,
191369,1773541449,2026-03-14T19:24:09,,,yes,
191439,1773541454,2026-03-14T19:24:14,,,yes,
191443,1773541455,2026-03-14T19:24:15,,,yes,
191471,1773541457,2026-03-14T19:24:17,,,yes,
191500,1773541459,2026-03-14T19:24:19,,,no,
191504,1773541459,2026-03-14T19:24:19,,,yes,
