Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
22342,1773522986,2026-03-14T14:16:26,,,yes,
40174,1773524302,2026-03-14T14:38:22,,,yes,
59146,1773525502,2026-03-14T14:58:22,,,yes,
59147,1773525502,2026-03-14T14:58:22,,,yes,
59468,1773525520,2026-03-14T14:58:40,,,yes,
59469,1773525520,2026-03-14T14:58:40,,,yes,
61210,1773525662,2026-03-14T15:01:02,,,yes,
61211,1773525662,2026-03-14T15:01:02,,,yes,
61777,1773525707,2026-03-14T15:01:47,,,yes,
62992,1773525781,2026-03-14T15:03:01,,,yes,
87375,1773527772,2026-03-14T15:36:12,,,yes,
87376,1773527772,2026-03-14T15:36:12,,,yes,
87377,1773527772,2026-03-14T15:36:12,,,yes,
89675,1773528066,2026-03-14T15:41:06,,,no,
89883,1773528096,2026-03-14T15:41:36,,,no,
90646,1773528202,2026-03-14T15:43:22,,,yes,
90647,1773528202,2026-03-14T15:43:22,,,yes,
106018,1773529778,2026-03-14T16:09:38,,,yes,
106019,1773529778,2026-03-14T16:09:38,,,yes,
110835,1773530320,2026-03-14T16:18:40,,,yes,
110836,1773530320,2026-03-14T16:18:40,,,yes,
114914,1773530816,2026-03-14T16:26:56,,,yes,
114915,1773530816,2026-03-14T16:26:56,,,yes,
117842,1773531299,2026-03-14T16:34:59,,,yes,
117843,1773531299,2026-03-14T16:34:59,,,yes,
124845,1773533096,2026-03-14T17:04:56,,,yes,
124969,1773533127,2026-03-14T17:05:27,,,no,
127083,1773533611,2026-03-14T17:13:31,,,yes,
127084,1773533611,2026-03-14T17:13:31,,,yes,
129512,1773533922,2026-03-14T17:18:42,,,yes,
129531,1773533923,2026-03-14T17:18:43,,,yes,
131085,1773534069,2026-03-14T17:21:09,,,yes,
133379,1773534446,2026-03-14T17:27:26,,,yes,
139259,1773535199,2026-03-14T17:39:59,,,yes,
143349,1773535653,2026-03-14T17:47:33,,,no,
143744,1773535694,2026-03-14T17:48:14,,,yes,
144977,1773535849,2026-03-14T17:50:49,,,yes,
146104,1773535968,2026-03-14T17:52:48,,,yes,
146105,1773535968,2026-03-14T17:52:48,,,yes,
146786,1773536054,2026-03-14T17:54:14,,,yes,
154657,1773536847,2026-03-14T18:07:27,,,yes,
155746,1773536980,2026-03-14T18:09:40,,,no,
163062,1773537932,2026-03-14T18:25:32,,,yes,
163315,1773537971,2026-03-14T18:26:11,,,yes,
163316,1773537971,2026-03-14T18:26:11,,,yes,
163317,1773537971,2026-03-14T18:26:11,,,yes,
166724,1773538396,2026-03-14T18:33:16,,,yes,
166725,1773538396,2026-03-14T18:33:16,,,yes,
166855,1773538414,2026-03-14T18:33:34,,,yes,
166856,1773538414,2026-03-14T18:33:34,,,yes,
167148,1773538442,2026-03-14T18:34:02,,,yes,
168602,1773538624,2026-03-14T18:37:04,,,yes,
168603,1773538624,2026-03-14T18:37:04,,,yes,
169673,1773538767,2026-03-14T18:39:27,,,yes,
171448,1773539068,2026-03-14T18:44:28,,,yes,
171449,1773539068,2026-03-14T18:44:28,,,yes,
171450,1773539068,2026-03-14T18:44:28,,,yes,
171655,1773539102,2026-03-14T18:45:02,,,no,
172009,1773539155,2026-03-14T18:45:55,,,yes,
172010,1773539155,2026-03-14T18:45:55,,,yes,
172725,1773539271,2026-03-14T18:47:51,,,yes,
172726,1773539271,2026-03-14T18:47:51,,,yes,
172727,1773539271,2026-03-14T18:47:51,,,yes,
172766,1773539277,2026-03-14T18:47:57,,,yes,
173312,1773539376,2026-03-14T18:49:36,,,yes,
175980,1773539798,2026-03-14T18:56:38,,,yes,
178297,1773540091,2026-03-14T19:01:31,,,yes,
180954,1773540398,2026-03-14T19:06:38,,,yes,
180955,1773540398,2026-03-14T19:06:38,,,yes,
180956,1773540398,2026-03-14T19:06:38,,,yes,
181873,1773540512,2026-03-14T19:08:32,,,yes,
181874,1773540512,2026-03-14T19:08:32,,,yes,
181875,1773540512,2026-03-14T19:08:32,,,yes,
182611,1773540596,2026-03-14T19:09:56,,,yes,
183809,1773540751,2026-03-14T19:12:31,,,no,
185055,1773540903,2026-03-14T19:15:03,,,yes,
185530,1773540966,2026-03-14T19:16:06,,,yes,
187665,1773541148,2026-03-14T19:19:08,,,yes,
187860,1773541166,2026-03-14T19:19:26,,,yes,
188010,1773541180,2026-03-14T19:19:40,,,yes,
188722,1773541230,2026-03-14T19:20:30,,,yes,
188724,1773541230,2026-03-14T19:20:30,,,no,
189216,1773541278,2026-03-14T19:21:18,,,yes,
190405,1773541384,2026-03-14T19:23:04,,,yes,
191427,1773541453,2026-03-14T19:24:13,,,no,
191428,1773541453,2026-03-14T19:24:13,,,no,
192268,1773541520,2026-03-14T19:25:20,,,yes,
192599,1773541544,2026-03-14T19:25:44,,,yes,
192600,1773541544,2026-03-14T19:25:44,,,yes,
193988,1773541635,2026-03-14T19:27:15,,,no,
195171,1773541727,2026-03-14T19:28:47,,,no,
196748,1773541824,2026-03-14T19:30:24,,,yes,
197438,1773541863,2026-03-14T19:31:03,,,yes,
197439,1773541863,2026-03-14T19:31:03,,,yes,
197440,1773541863,2026-03-14T19:31:03,,,yes,
197441,1773541863,2026-03-14T19:31:03,,,yes,
197442,1773541863,2026-03-14T19:31:03,,,yes,
197443,1773541863,2026-03-14T19:31:03,,,yes,
197450,1773541863,2026-03-14T19:31:03,,,no,
197534,1773541867,2026-03-14T19:31:07,,,yes,
197535,1773541867,2026-03-14T19:31:07,,,yes,
198732,1773541941,2026-03-14T19:32:21,,,no,
202577,1773542165,2026-03-14T19:36:05,,,yes,
202578,1773542165,2026-03-14T19:36:05,,,yes,
202579,1773542165,2026-03-14T19:36:05,,,yes,
202842,1773542181,2026-03-14T19:36:21,,,yes,
203424,1773542213,2026-03-14T19:36:53,,,yes,
203425,1773542213,2026-03-14T19:36:53,,,yes,
205044,1773542288,2026-03-14T19:38:08,,,yes,
205251,1773542297,2026-03-14T19:38:17,,,yes,
205252,1773542297,2026-03-14T19:38:17,,,yes,
206017,1773542341,2026-03-14T19:39:01,,,yes,
207470,1773542429,2026-03-14T19:40:29,,,yes,
207515,1773542432,2026-03-14T19:40:32,,,yes,
207856,1773542451,2026-03-14T19:40:51,,,yes,
210417,1773542585,2026-03-14T19:43:05,,,yes,
210865,1773542602,2026-03-14T19:43:22,,,yes,
211005,1773542609,2026-03-14T19:43:29,,,no,
212095,1773542654,2026-03-14T19:44:14,,,yes,
212789,1773542677,2026-03-14T19:44:37,,,yes,
213065,1773542691,2026-03-14T19:44:51,,,yes,
213401,1773542706,2026-03-14T19:45:06,,,yes,
213402,1773542706,2026-03-14T19:45:06,,,yes,
214249,1773542743,2026-03-14T19:45:43,,,yes,
214250,1773542743,2026-03-14T19:45:43,,,yes,
214251,1773542743,2026-03-14T19:45:43,,,yes,
214828,1773542781,2026-03-14T19:46:21,,,yes,
215028,1773542793,2026-03-14T19:46:33,,,yes,
215418,1773542822,2026-03-14T19:47:02,,,yes,
215579,1773542834,2026-03-14T19:47:14,,,no,
215580,1773542834,2026-03-14T19:47:14,,,no,
215639,1773542838,2026-03-14T19:47:18,,,yes,
216179,1773542880,2026-03-14T19:48:00,,,yes,
216607,1773542917,2026-03-14T19:48:37,,,yes,
216608,1773542917,2026-03-14T19:48:37,,,yes,
217183,1773542960,2026-03-14T19:49:20,,,yes,
218668,1773543053,2026-03-14T19:50:53,,,yes,
219229,1773543082,2026-03-14T19:51:22,,,yes,
219624,1773543100,2026-03-14T19:51:40,,,yes,
219625,1773543100,2026-03-14T19:51:40,,,yes,
221606,1773543187,2026-03-14T19:53:07,,,yes,
221607,1773543187,2026-03-14T19:53:07,,,yes,
221868,1773543200,2026-03-14T19:53:20,,,yes,
221869,1773543200,2026-03-14T19:53:20,,,yes,
221870,1773543200,2026-03-14T19:53:20,,,yes,
221872,1773543200,2026-03-14T19:53:20,,,yes,
221881,1773543200,2026-03-14T19:53:20,,,yes,
221882,1773543200,2026-03-14T19:53:20,,,yes,
221943,1773543203,2026-03-14T19:53:23,,,yes,
