Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2592,1773521419,2026-03-14T13:50:19,,,yes,
6194,1773521718,2026-03-14T13:55:18,,,yes,
11876,1773522199,2026-03-14T14:03:19,,,yes,
14669,1773522396,2026-03-14T14:06:36,,,yes,
20271,1773522844,2026-03-14T14:14:04,,,yes,
20493,1773522866,2026-03-14T14:14:26,,,yes,
22977,1773523033,2026-03-14T14:17:13,,,yes,
26307,1773523213,2026-03-14T14:20:13,,,yes,
27162,1773523262,2026-03-14T14:21:02,,,yes,
33356,1773523743,2026-03-14T14:29:03,,,yes,
33684,1773523770,2026-03-14T14:29:30,,,yes,
35030,1773523896,2026-03-14T14:31:36,,,yes,
35031,1773523896,2026-03-14T14:31:36,,,yes,
35032,1773523896,2026-03-14T14:31:36,,,yes,
45085,1773524704,2026-03-14T14:45:04,,,yes,
45442,1773524733,2026-03-14T14:45:33,,,yes,
50055,1773525074,2026-03-14T14:51:14,,,yes,
60302,1773525581,2026-03-14T14:59:41,,,yes,
60430,1773525593,2026-03-14T14:59:53,,,yes,
62267,1773525742,2026-03-14T15:02:22,,,yes,
62457,1773525754,2026-03-14T15:02:34,,,yes,
64194,1773525832,2026-03-14T15:03:52,,,yes,
70443,1773526256,2026-03-14T15:10:56,,,yes,
71546,1773526348,2026-03-14T15:12:28,,,yes,
73155,1773526514,2026-03-14T15:15:14,,,yes,
74303,1773526618,2026-03-14T15:16:58,,,yes,
74380,1773526626,2026-03-14T15:17:06,,,yes,
76559,1773526809,2026-03-14T15:20:09,,,yes,
80945,1773527211,2026-03-14T15:26:51,,,yes,
81632,1773527294,2026-03-14T15:28:14,,,yes,
83132,1773527428,2026-03-14T15:30:28,,,yes,
83359,1773527446,2026-03-14T15:30:46,,,yes,
88187,1773527851,2026-03-14T15:37:31,,,yes,
88514,1773527896,2026-03-14T15:38:16,,,yes,
89168,1773527993,2026-03-14T15:39:53,,,yes,
89901,1773528098,2026-03-14T15:41:38,,,yes,
91753,1773528332,2026-03-14T15:45:32,,,yes,
91830,1773528341,2026-03-14T15:45:41,,,yes,
92621,1773528425,2026-03-14T15:47:05,,,yes,
93287,1773528478,2026-03-14T15:47:58,,,yes,
94274,1773528564,2026-03-14T15:49:24,,,yes,
94543,1773528593,2026-03-14T15:49:53,,,yes,
95868,1773528714,2026-03-14T15:51:54,,,yes,
96026,1773528727,2026-03-14T15:52:07,,,yes,
96326,1773528760,2026-03-14T15:52:40,,,yes,
96700,1773528798,2026-03-14T15:53:18,,,yes,
97442,1773528875,2026-03-14T15:54:35,,,yes,
97781,1773528918,2026-03-14T15:55:18,,,yes,
98719,1773529031,2026-03-14T15:57:11,,,yes,
100886,1773529244,2026-03-14T16:00:44,,,yes,
101980,1773529347,2026-03-14T16:02:27,,,yes,
102117,1773529358,2026-03-14T16:02:38,,,yes,
102599,1773529408,2026-03-14T16:03:28,,,yes,
102600,1773529408,2026-03-14T16:03:28,,,yes,
102763,1773529427,2026-03-14T16:03:47,,,yes,
102764,1773529427,2026-03-14T16:03:47,,,yes,
103252,1773529479,2026-03-14T16:04:39,,,yes,
104034,1773529574,2026-03-14T16:06:14,,,yes,
104053,1773529578,2026-03-14T16:06:18,,,yes,
104302,1773529608,2026-03-14T16:06:48,,,yes,
