ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1775258999,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,1302,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489588
1775259000,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,1302,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489588
1775259001,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,1302,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489588
1775259002,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,1302,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489588
1775259003,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,1302,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489588
1775259004,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,1302,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489588
1775259005,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,1302,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489588
1775259006,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,952,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489238
1775259007,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,952,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489238
1775259008,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,952,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489238
1775259009,90,89,90,968399,91,809511,92,194857,93,12111,94,10626,95,11745,96,42107,97,8129,98,80650,99,690803,100,0,89,952,88,175211,87,244871,86,57798,85,1191,84,7000,83,0,82,0,81,0,80,2215,79,0,2828938,489238
