ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773520173,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773520174,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773520175,11,10,11,7944,12,13851,13,1614,14,1540,15,5197,16,30,17,37507,18,50,19,80,20,25152,21,1,10,5125,9,8306,8,6168,7,5426,6,5699,5,17107,4,25731,3,48114,2,88018,1,609711,0,0,92966,819405
1773520176,11,10,11,7944,12,13851,13,1614,14,610,15,6138,16,30,17,22507,18,15050,19,80,20,25152,21,1,10,5401,9,8306,8,6168,7,5426,6,5699,5,17107,4,25731,3,48114,2,88018,1,609711,0,0,92977,819681
1773520177,11,10,11,7791,12,21780,13,5143,14,610,15,6188,16,30,17,22507,18,15050,19,80,20,25152,21,1,10,5401,9,8306,8,6168,7,5426,6,5699,5,17107,4,25731,3,48114,2,88018,1,609711,0,0,104332,819681
1773520178,11,10,11,7791,12,19137,13,4207,14,610,15,6688,16,381,17,22507,18,15050,19,80,20,25152,21,1,10,5401,9,8306,8,6168,7,5426,6,5699,5,17458,4,25731,3,48114,2,88018,1,609711,0,0,101604,820032
1773520179,11,10,11,7791,12,19137,13,4207,14,610,15,6688,16,381,17,22657,18,15050,19,80,20,25152,21,1,10,5125,9,8306,8,6168,7,5426,6,5699,5,17608,4,25731,3,48114,2,88018,1,609711,0,0,101754,819906
1773520180,11,10,11,7706,12,19137,13,4207,14,610,15,6688,16,381,17,22657,18,15050,19,80,20,25152,21,1,10,5125,9,7370,8,6168,7,5426,6,5699,5,17608,4,25731,3,48114,2,88018,1,609711,0,0,101669,818970
1773520181,11,10,11,20492,12,19137,13,4207,14,960,15,5747,16,982,17,22657,18,15050,19,80,20,25152,21,1,10,5400,9,7370,8,6168,7,5426,6,5699,5,17608,4,33231,3,40614,2,88018,1,609711,0,0,114465,819245
1773520182,11,10,11,20461,12,19137,13,4207,14,960,15,5697,16,1032,17,22657,18,15050,19,80,20,25152,21,1,10,5400,9,7370,8,6168,7,5426,6,5699,5,17608,4,33231,3,40614,2,88018,1,609711,0,0,114434,819245
1773520183,11,10,11,7512,12,11207,13,1564,14,564,15,5197,16,1632,17,7657,18,15050,19,80,20,25152,21,1,10,2775,9,3019,8,6168,7,5030,6,5699,5,17608,4,18231,3,10614,2,88018,1,609711,0,0,75616,766873
1773520184,11,10,11,7297,12,11207,13,1564,14,5846,15,10479,16,4273,17,7657,18,15050,19,15080,20,25152,21,1,10,5403,9,8301,8,6168,7,5030,6,20699,5,17257,4,18231,3,40614,2,88018,1,609711,0,0,103606,819432
1773520185,11,10,11,7290,12,11207,13,1564,14,6782,15,10979,16,4273,17,7657,18,15050,19,15080,20,25152,21,1,10,5403,9,8301,8,6168,7,5030,6,20699,5,17257,4,18231,3,40614,2,88018,1,609711,0,0,105035,819432
1773520186,11,10,11,7146,12,11207,13,4205,14,6582,15,8538,16,1632,17,8053,18,15050,19,15080,20,25152,21,1,10,5403,9,8301,8,6564,7,5030,6,20699,5,17257,4,18231,3,40614,2,88018,1,609711,0,0,102646,819828
1773520187,11,10,11,7146,12,11207,13,4205,14,6582,15,8538,16,2028,17,7657,18,15050,19,15080,20,25152,21,1,10,5403,9,8301,8,6564,7,5030,6,20699,5,17257,4,18231,3,40614,2,88018,1,609711,0,0,102646,819828
1773520188,11,10,11,7146,12,11207,13,4205,14,6432,15,7838,16,2028,17,7657,18,31950,19,15080,20,25152,21,1,10,5153,9,8301,8,6564,7,5030,6,20699,5,17257,4,18231,3,40614,2,88018,1,609711,0,0,118696,819578
1773520189,11,10,11,7149,12,11207,13,4205,14,6432,15,7838,16,2028,17,7657,18,48850,19,15080,20,25152,21,1,10,2679,9,8301,8,6564,7,5030,6,20699,5,17257,4,18231,3,55614,2,73018,1,609711,0,0,135599,817104
1773520190,11,10,11,7149,12,11207,13,4205,14,6432,15,7838,16,2028,17,7657,18,48850,19,15080,20,25152,21,1,10,2679,9,8291,8,6564,7,5030,6,20699,5,17257,4,18231,3,55614,2,73018,1,609711,0,0,135599,817094
1773520191,11,10,11,7149,12,12059,13,3458,14,6432,15,7751,16,2028,17,7657,18,31950,19,15080,20,25152,21,1,10,2324,9,7355,8,8421,7,5030,6,20699,5,17257,4,18231,3,55614,2,73018,1,609711,0,0,118717,817660
1773520192,11,10,11,6989,12,12059,13,3458,14,6539,15,7641,16,2028,17,7657,18,15050,19,15080,20,25152,21,1,10,2311,9,7244,8,6564,7,5030,6,20699,5,17257,4,18231,3,55614,2,73018,1,609711,0,0,101654,815679
1773520193,11,10,11,2711,12,12059,13,3468,14,6464,15,7641,16,2028,17,7657,18,15050,19,15080,20,25152,21,1,10,2311,9,7244,8,6564,7,5030,6,20699,5,17257,4,18231,3,55614,2,73018,1,609711,0,0,97311,815679
1773520194,11,10,11,2711,12,12059,13,5434,14,5471,15,7641,16,2028,17,7657,18,30050,19,80,20,25152,21,1,10,2296,9,7244,8,6564,7,5030,6,5699,5,32257,4,18231,3,55614,2,73018,1,609711,0,0,98284,815664
1773520195,11,10,11,2711,12,1059,13,13357,14,22028,15,7641,16,2028,17,7657,18,30050,19,80,20,25152,21,1,10,2296,9,7244,8,6564,7,5030,6,5699,5,32257,4,18231,3,55614,2,73018,1,609711,0,0,111764,815664
1773520196,11,10,11,2628,12,1059,13,13357,14,22028,15,7641,16,2028,17,7657,18,30050,19,80,20,25152,21,1,10,2296,9,7244,8,6564,7,5030,6,5699,5,32257,4,18231,3,55614,2,73018,1,609711,0,0,111681,815664
1773520197,11,10,11,2628,12,1059,13,13357,14,22028,15,7691,16,1978,17,7657,18,30050,19,80,20,25152,21,1,10,2296,9,7244,8,6564,7,5030,6,5699,5,32257,4,18231,3,55614,2,73018,1,609711,0,0,111681,815664
1773520198,11,10,11,2628,12,1059,13,13357,14,22028,15,8632,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,2296,9,7244,8,6664,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,111520,815743
1773520199,11,10,11,2615,12,1409,13,13357,14,22028,15,8632,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,111857,820267
1773520200,11,10,11,2615,12,1409,13,11495,14,22958,15,7691,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,109984,820267
1773520201,11,10,11,2615,12,1409,13,11495,14,22958,15,7691,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,109984,820267
1773520202,11,10,11,2522,12,1409,13,13356,14,23008,15,7641,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,111752,820267
1773520203,11,10,11,2522,12,1409,13,11381,14,23115,15,7641,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,109884,820267
1773520204,11,10,11,2522,12,1409,13,11495,14,23008,15,7641,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,109891,820267
1773520205,11,10,11,2522,12,1409,13,11495,14,23008,15,7641,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,109891,820267
1773520206,11,10,11,2522,12,1409,13,11495,14,23008,15,7641,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609711,0,0,109891,820267
1773520207,11,10,11,2522,12,1409,13,11495,14,23008,15,7641,16,1026,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609697,0,0,109891,820253
1773520208,11,10,11,2497,12,1409,13,11495,14,23008,15,7641,16,17926,17,7507,18,30050,19,80,20,25152,21,1,10,4809,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609712,0,0,126766,820268
1773520209,11,10,11,2510,12,1409,13,11495,14,23008,15,7641,16,34226,17,7507,18,30050,19,80,20,25152,21,1,10,2309,9,7244,8,8675,7,5159,6,5699,5,32107,4,18231,3,55614,2,73018,1,609712,0,0,143079,817768
1773520210,11,10,11,2510,12,1409,13,13241,14,22894,15,7641,16,34226,17,7507,18,30050,19,80,20,25152,21,1,10,2308,9,7244,8,8562,7,5030,6,5699,5,32107,4,18231,3,55614,2,73018,1,609712,0,0,144711,817525
1773520211,11,10,11,2510,12,1059,13,13331,14,22994,15,7641,16,776,17,7507,18,30050,19,80,20,25152,21,1,10,2308,9,7244,8,8312,7,5030,6,5782,5,32107,4,18231,3,55614,2,73018,1,609712,0,0,111101,817358
1773520212,11,10,11,2493,12,1059,13,13396,14,22919,15,7641,16,776,17,7507,18,30050,19,80,20,25152,21,1,10,2308,9,7244,8,8312,7,5159,6,5782,5,32107,4,18231,3,55614,2,73018,1,609712,0,0,111074,817487
1773520213,11,10,11,2493,12,1059,13,13396,14,20278,15,2641,16,776,17,7507,18,30050,19,80,20,30152,21,1,10,2308,9,7244,8,8312,7,5159,6,5782,5,27107,4,18231,3,55614,2,73018,1,609712,0,0,108433,812487
1773520214,11,10,11,5131,12,3697,13,5682,14,12750,15,5000,16,380,17,22507,18,15050,19,80,20,25152,21,1,10,2638,9,7266,8,7916,7,5524,6,5782,5,17107,4,33231,3,55614,2,73018,1,609712,0,0,95430,817808
1773520215,11,10,11,5480,12,3697,13,5617,14,12750,15,5000,16,380,17,22507,18,15050,19,80,20,25152,21,1,10,2638,9,7266,8,7916,7,5774,6,5782,5,17107,4,33231,3,55614,2,73018,1,609712,0,0,95714,818058
1773520216,11,10,11,14978,12,3697,13,3766,14,12750,15,5000,16,380,17,22507,18,15050,19,80,20,25152,21,1,10,2638,9,7266,8,7916,7,5774,6,5782,5,17107,4,33231,3,55614,2,73018,1,609712,0,0,103361,818058
1773520217,11,10,11,14824,12,3697,13,4735,14,11770,15,5000,16,380,17,22507,18,15050,19,80,20,25152,21,1,10,2638,9,7266,8,7916,7,5774,6,5782,5,17107,4,33231,3,55614,2,73018,1,609712,0,0,103196,818058
1773520218,11,10,11,14740,12,6335,13,6635,14,11770,15,5000,16,380,17,22507,18,15050,19,80,20,25152,21,1,10,2638,9,7266,8,7916,7,5774,6,5782,5,17107,4,33231,3,55614,2,73018,1,609712,0,0,107650,818058
1773520219,11,10,11,14390,12,6685,13,6635,14,11770,15,5000,16,380,17,22507,18,15050,19,80,20,25152,21,1,10,2638,9,9766,8,8166,7,5524,6,5782,5,17107,4,33231,3,55614,2,73018,1,609712,0,0,107650,820558
1773520220,11,9,11,14391,12,4047,13,5169,14,11375,15,5350,16,15030,17,7507,18,15050,19,80,20,25152,21,1,9,6934,8,13631,7,5129,6,6177,5,17107,4,10731,3,78114,2,73018,1,609712,0,0,-1,0,103152,820553
1773520221,11,9,11,7450,12,4047,13,5169,14,11375,15,5350,16,15030,17,7507,18,15050,19,80,20,25152,21,1,9,6934,8,13631,7,5129,6,6177,5,17107,4,10731,3,78114,2,73018,1,609712,0,0,-1,0,96211,820553
ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773521000,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773521001,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
1773521002,5,4,5,66740,6,23642,7,3768,8,1169,9,2074,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161283,651173
1773521003,5,4,5,66740,6,23642,7,3768,8,1169,9,2074,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161283,651173
1773521004,5,4,5,66733,6,23642,7,3768,8,1169,9,2074,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161276,651173
1773521005,5,4,5,66733,6,23642,7,3768,8,1169,9,2074,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161276,651173
1773521006,5,4,5,66733,6,23642,7,3768,8,1169,9,2074,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161276,651173
1773521007,5,4,5,66708,6,23642,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161251,651173
1773521008,5,4,5,66508,6,23642,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161051,651173
1773521009,5,4,5,66508,6,23642,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7739,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161051,651173
1773521010,5,4,5,66508,6,23642,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7549,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161051,650983
1773521011,5,4,5,66508,6,23642,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7549,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161051,650983
1773521012,5,4,5,66508,6,23642,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7546,3,19276,2,25433,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161051,650980
1773521013,5,4,5,66507,6,23600,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7530,3,19276,2,25508,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,161008,651039
1773521014,5,4,5,66479,6,23600,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,0,4,7530,3,19276,2,25508,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,160980,651039
1773521015,5,4,5,66437,6,23600,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,4,4,7530,3,19276,2,25508,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,160942,651039
1773521016,5,4,5,66437,6,23600,7,3768,8,1554,9,1689,10,314,11,23398,12,17050,13,0,14,23128,15,4,4,7530,3,19276,2,25508,1,598725,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,-6,0,160942,651039
