ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1773874799,6,5,6,1043841,7,1384272,8,154643,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254310,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2704037,1775299
1773874800,6,5,6,1043841,7,1384272,8,154643,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254310,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2704037,1775299
1773874801,6,5,6,1043841,7,1384272,8,154643,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254310,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2704037,1775299
1773874802,6,5,6,1043841,7,1384272,8,154643,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254310,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2704037,1775299
1773874803,6,5,6,1043841,7,1384272,8,154643,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254310,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2704037,1775299
1773874804,6,5,6,1043841,7,1384272,8,154643,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254310,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2704037,1775299
1773874805,6,5,6,1043841,7,1384272,8,154643,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254310,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2704037,1775299
1773874806,6,5,6,1043945,7,1384272,8,161982,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254206,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2711480,1775195
1773874807,6,5,6,1043945,7,1384272,8,161982,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254206,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2711480,1775195
1773874808,6,5,6,1043945,7,1384272,8,163942,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254206,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2713440,1775195
1773874809,6,5,6,1043945,7,1384272,8,163942,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254206,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2713440,1775195
1773874810,6,5,6,1043920,7,1384272,8,163942,9,20919,10,8395,11,7745,12,82445,13,250,14,302,15,792,16,433,5,5855,4,254206,3,615812,2,6422,1,892900,0,0,-1,0,-2,0,-3,0,-4,0,-5,0,2713415,1775195
