ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774306799,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306800,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306801,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306802,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306803,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306804,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306805,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306806,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306807,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66450,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181198
1774306808,89,88,89,227599,90,1117358,91,199029,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,38585,86,65198,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2129558,181098
1774306809,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306810,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306811,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306812,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306813,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306814,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306815,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306816,89,88,89,227599,90,1102358,91,198227,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,55598,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2113756,167954
1774306817,89,88,89,227599,90,1102358,91,195044,92,9878,93,10120,94,10894,95,12030,96,2414,97,8519,98,55271,99,476446,88,66350,87,35041,86,65048,85,5692,84,2500,83,106,82,0,81,57,80,2120,79,300,78,190,2110573,177404
