ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774304999,92,91,92,254519,93,220254,94,654615,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,228471,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1712698,746865
1774305000,92,91,92,254519,93,220254,94,654615,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,228471,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1712698,746865
1774305001,92,91,92,254519,93,220254,94,627546,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,224858,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1685629,743252
1774305002,92,91,92,254519,93,220254,94,627546,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,224858,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1685629,743252
1774305003,92,91,92,254519,93,220254,94,627546,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,224858,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1685629,743252
1774305004,92,91,92,254519,93,220254,94,627546,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,229014,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1685629,747408
1774305005,92,91,92,254519,93,220254,94,654518,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,229014,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1712601,747408
1774305006,92,91,92,254519,93,220254,94,654518,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,229014,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1712601,747408
1774305007,92,91,92,254519,93,220254,94,654518,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,229014,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1712601,747408
1774305008,92,91,92,254519,93,220254,94,654518,95,117039,96,14050,97,13537,98,49853,99,388831,100,0,101,0,102,0,91,61645,90,447599,89,229014,88,6383,87,626,86,5,85,136,84,2000,83,0,82,0,81,0,1712601,747408
