ts,best_ask,best_bid,ask_price_0,ask_size_0,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10,bid_price_0,bid_size_0,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_depth_10,bid_depth_10
1774391399,93,92,93,80780,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2752,87,757,86,947,85,351,84,2300,83,359,82,2742,3363235,1177032
1774391400,93,92,93,80780,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2752,87,757,86,947,85,351,84,2300,83,359,82,2742,3363235,1177032
1774391401,93,92,93,80780,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363235,1177020
1774391402,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177020
1774391403,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177020
1774391404,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177020
1774391405,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177020
1774391406,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177020
1774391407,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177020
1774391408,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639615,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177020
1774391409,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391410,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391411,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391412,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391413,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391414,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391415,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391416,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391417,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391418,93,92,93,80754,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363209,1177031
1774391419,93,92,93,80623,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363078,1177031
1774391420,93,92,93,80618,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363073,1177031
1774391421,93,92,93,80618,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363073,1177031
1774391422,93,92,93,80618,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363073,1177031
1774391423,93,92,93,80618,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363073,1177031
1774391424,93,92,93,80618,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363073,1177031
1774391425,93,92,93,80618,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363073,1177031
1774391426,93,92,93,80618,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3363073,1177031
1774391427,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1177031
1774391428,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1177031
1774391429,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1177031
1774391430,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1177031
1774391431,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1177031
1774391432,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1177031
1774391433,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639626,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1177031
1774391434,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391435,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391436,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391437,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391438,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391439,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391440,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391441,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391442,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391443,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391444,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391445,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391446,93,92,93,80511,94,777934,95,1002806,96,741072,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
1774391447,93,92,93,80511,94,777934,95,1002306,96,741572,97,20869,98,84720,99,655054,100,0,101,0,102,0,103,0,92,639476,91,513597,90,11461,89,2151,88,2740,87,757,86,947,85,351,84,2300,83,359,82,2742,3362966,1176881
